# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.278
metadata : {}


# id : NWRW1800000030.278.1.1
[태평로] 우리를 가두는 '열린 인터넷'

[태평로]	[/SS+태평로/NNP+]/SS
우리를	우리/NP+를/JKO
가두는	가두/VV+는/ETM
'열린	'/SS+열리/VV+ㄴ/ETM
인터넷'	인터넷/NNG+'/SS


# id : NWRW1800000030.278.2.1
가입자가 8억명을 넘어선 페이스북이 드디어 야심을 드러냈다.

가입자가	가입자/NNG+가/JKS
8억명을	8/SN+억/NR+명/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
페이스북이	페이스북/NNP+이/JKS
드디어	드디어/MAG
야심을	야심/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.278.2.2
더 이상 친목·교제 웹사이트가 아니다.

더	더/MAG
이상	이상/NNG
친목·교제	친목/NNG+·/SP+교제/NNG
웹사이트가	웹/NNG+사이트/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.278.2.3
페이스북의 창업자 마크 저커버그는 지난 22일 연례 개발자 총회에서 페이스북에서 음악·동영상 다운로드, 쇼핑은 물론 뉴스 읽기까지 가능하게 기능별 앱을 도입하겠다고 밝혔다.

페이스북의	페이스북/NNP+의/JKG
창업자	창업자/NNG
마크	마크/NNP
저커버그는	저커버그/NNP+는/JX
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
연례	연례/NNG
개발자	개발자/NNG
총회에서	총회/NNG+에서/JKB
페이스북에서	페이스북/NNP+에서/JKB
음악·동영상	음악/NNG+·/SP+동영상/NNG
다운로드,	다운로드/NNG+,/SP
쇼핑은	쇼핑/NNG+은/JX
물론	물론/MAG
뉴스	뉴스/NNG
읽기까지	읽/VV+기/ETN+까지/JX
가능하게	가능/NNG+하/XSA+게/EC
기능별	기능/NNG+별/XSN
앱을	앱/NNG+을/JKO
도입하겠다고	도입/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.278.2.4
사용자는 페이스북 친구 중에서 누가 어떤 노래를 좋아하고, 무슨 뉴스를 읽고, 어떤 검색결과에 만족했으며, 어느 광고에 노출됐는지 다 알게 된다.

사용자는	사용자/NNG+는/JX
페이스북	페이스북/NNP
친구	친구/NNG
중에서	중/NNB+에서/JKB
누가	누구/NP+가/JKS
어떤	어떤/MMD
노래를	노래/NNG+를/JKO
좋아하고,	좋아하/VV+고/EC+,/SP
무슨	무슨/MMD
뉴스를	뉴스/NNG+를/JKO
읽고,	읽/VV+고/EC+,/SP
검색결과에	검색/NNG+결과/NNG+에/JKB
만족했으며,	만족/NNG+하/XSA+았/EP+으며/EC+,/SP
어느	어느/MMD
광고에	광고/NNG+에/JKB
노출됐는지	노출/NNG+되/XSV+었/EP+는지/EF
다	다/MAG
알게	알/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.278.2.5
국내에서도 한 언론사와 쇼핑몰이 페이스북 앱 개발에 나섰다.

국내에서도	국내/NNG+에서/JKB+도/JX
한	한/MMN
언론사와	언론사/NNG+와/JC
쇼핑몰이	쇼핑몰/NNG+이/JKS
페이스북	페이스북/NNP
앱	앱/NNG
개발에	개발/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.278.2.6
페이스북이 꿈꾸는 세상은 이렇다.

페이스북이	페이스북/NNP+이/JKS
꿈꾸는	꿈꾸/VV+는/ETM
세상은	세상/NNG+은/JX
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000030.278.2.7
이용자들이 필요한 온라인 활동을 페이스북 안에서 다 해결할 수 있게 한다는 것이다.

이용자들이	이용자/NNG+들/XSN+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
온라인	온라인/NNG
활동을	활동/NNG+을/JKO
페이스북	페이스북/NNP
안에서	안/NNG+에서/JKB
다	다/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.278.2.8
물론 그 안에 들어오지 않으면, 이 모든 '편의'는 없다.

물론	물론/MAG
그	그/MMD
안에	안/NNG+에/JKB
들어오지	들어오/VV+지/EC
않으면,	않/VX+으면/EC+,/SP
이	이/MMD
모든	모든/MMN
'편의'는	'/SS+편의/NNG+'/SS+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.278.3.1
구글의 CEO 에릭 슈미트는 회사 창립 13주년을 앞두고 지난주 미국 상원의 반(反)독점 청문회에 불려 나왔다.

구글의	구글/NNP+의/JKG
CEO	CEO/SL
에릭	에릭/NNP
슈미트는	슈미트/NNP+는/JX
회사	회사/NNG
창립	창립/NNG
13주년을	13/SN+주년/NNB+을/JKO
앞두고	앞두/VV+고/EC
지난주	지난주/NNG
미국	미국/NNP
상원의	상원/NNG+의/JKG
반(反)독점	반/XPN+(/SS+反/SH+)/SS+독점/NNG
청문회에	청문회/NNG+에/JKB
불려	불리/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.278.3.2
광고·티켓·음식점 정보·음악 다운로드 등 500여개의 사업을 하는 구글이 검색시장의 우월적 지위를 이용해, 자사 비즈니스를 검색결과 상위 30%에 배치하는 것 아니냐는 의혹 때문이었다.

광고·티켓·음식점	광고/NNG+·/SP+티켓/NNG+·/SP+음식점/NNG
정보·음악	정보/NNG+·/SP+음악/NNG
다운로드	다운로드/NNG
등	등/NNB
500여개의	500/SN+여/XSN+개/NNB+의/JKG
사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
구글이	구글/NNP+이/JKS
검색시장의	검색/NNG+시장/NNG+의/JKG
우월적	우월/NNG+적/XSN
지위를	지위/NNG+를/JKO
이용해,	이용/NNG+하/XSV+아/EC+,/SP
자사	자사/NNG
비즈니스를	비즈니스/NNG+를/JKO
검색결과	검색/NNG+결과/NNG
상위	상위/NNG
30%에	30/SN+%/SW+에/JKB
배치하는	배치/NNG+하/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
의혹	의혹/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.278.3.3
국내 사정도 다르지 않다.

국내	국내/NNG
사정도	사정/NNG+도/JX
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.278.3.4
