# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.268
metadata : {}


# id : NWRW1800000022.268.1.1
[도서] 주식회사 대한민국 이제 다시 시작이다

[도서]	[/SS+도서/NNG+]/SS
주식회사	주식회사/NNG
대한민국	대한민국/NNP
이제	이제/MAG
다시	다시/MAG
시작이다	시작/NNG+이/VCP+다/EF


# id : NWRW1800000022.268.2.1
● 삼정KPMG경제연구원 지음|원앤원북스|267쪽|1만3000원

●	●/SW
삼정KPMG경제연구원	삼정KPMG경제연구원/NNP
지음|원앤원북스|267쪽|1만3000원	짓/VV+음/ETN+|/SW+원앤원북스/NNP+|/SW+267/SN+쪽/NNG+|/SW+1/SN+만/NR+3000/SN+원/NNB


# id : NWRW1800000022.268.3.1
굳이 경제전문가의 도움말이 없어도 한국 경제가 위험과 기회의 기로에 있다는 것은 알 수 있다.

굳이	굳이/MAG
경제전문가의	경제/NNG+전문가/NNG+의/JKG
도움말이	도움말/NNG+이/JKS
없어도	없/VA+어도/EC
한국	한국/NNP
경제가	경제/NNG+가/JKS
위험과	위험/NNG+과/JC
기회의	기회/NNG+의/JKG
기로에	기로/NNG+에/JKB
있다는	있/VA+다는/ETM
것은	것/NNB+은/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.268.3.2
문제는 2009년 현재 한국경제의 실상과 잠재력을 정확히 평가한 바탕 위에서 어디로 가야 하는지에 대한 합의가 분명치 않다는 점이다.

문제는	문제/NNG+는/JX
2009년	2009/SN+년/NNB
현재	현재/MAG
한국경제의	한국/NNP+경제/NNG+의/JKG
실상과	실상/NNG+과/JC
잠재력을	잠재력/NNG+을/JKO
정확히	정확히/MAG
평가한	평가/NNG+하/XSV+ㄴ/ETM
바탕	바탕/NNG
위에서	위/NNG+에서/JKB
어디로	어디/NP+로/JKB
가야	가/VV+아야/EC
하는지에	하/VX+는지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
합의가	합의/NNG+가/JKS
분명치	분명/MAG+하/XSA+지/EC
않다는	않/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.268.4.1
적어도 이 책은 어떤 문제들을 해결할 때 한국 경제가 위험에서 벗어나 기회의 땅으로 접어들 수 있는지를 명료하게 제시한다.

적어도	적어도/MAG
이	이/MMD
책은	책/NNG+은/JX
어떤	어떤/MMD
