# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.347
metadata : {}


# id : NWRW1800000045.347.1.1
洪 다음은 이완구… 관련자 잇단 소환

洪	洪/SH
다음은	다음/NNG+은/JX
이완구…	이완구/NNP+…/SE
관련자	관련자/NNG
잇단	잇달/VV+ㄴ/ETM
소환	소환/NNG


# id : NWRW1800000045.347.2.1
[성완종 게이트/홍준표 8일 소환] 李 재선거때 3000만원 받은 의혹… 캠프 자원봉사자 - 前운전기사 조사

[성완종	[/SS+성완종/NNP
게이트/홍준표	게이트/NNG+//SP+홍준표/NNP
8일	8/SN+일/NNB
소환]	소환/NNG+]/SS
李	李/SH
재선거때	재/XPN+선거/NNG+때/NNG
3000만원	3000/SN+만/NR+원/NNB
받은	받/VV+은/ETM
의혹…	의혹/NNG+…/SE
캠프	캠프/NNG
자원봉사자	자원봉사자/NNG
-	-/SO
前운전기사	前/SH+운전기사/NNG
조사	조사/NNG


# id : NWRW1800000045.347.3.1
고 성완종 경남기업 회장에게서 3000만 원을 받은 의혹을 사고 있는 이완구 전 국무총리 주변 인사들에 대한 검찰 소환 조사도 6일 본격적으로 시작됐다.

고	고/MMA
성완종	성완종/NNP
경남기업	경남기업/NNP
회장에게서	회장/NNG+에게서/JKB
3000만	3000/SN+만/NR
원을	원/NNB+을/JKO
받은	받/VV+은/ETM
의혹을	의혹/NNG+을/JKO
사고	사/VV+고/EC
있는	있/VX+는/ETM
이완구	이완구/NNP
전	전/MMD
국무총리	국무총리/NNG
주변	주변/NNG
인사들에	인사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
검찰	검찰/NNG
소환	소환/NNG
조사도	조사/NNG+도/JX
6일	6/SN+일/NNB
본격적으로	본격/NNG+적/XSN+으로/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.347.4.1
성 회장의 정관계 로비 및 금품수수 의혹을 수사 중인 검찰 특별수사팀(팀장 문무일 검사장)은 이 전 총리가 2013년 4월 충남 부여-청양 국회의원 재선거에 출마했을 당시 이 전 총리의 선거 캠프에서 자원 봉사했던 한모 씨를 이날 참고인 신분으로 불러 조사했다.

성	성/NNP
회장의	회장/NNG+의/JKG
정관계	정관계/NNG
로비	로비/NNG
및	및/MAG
금품수수	금품/NNG+수수/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
검찰	검찰/NNG
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
문무일	문무일/NNP
검사장)은	검사장/NNG+)/SS+은/JX
이	이/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
2013년	2013/SN+년/NNB
4월	4/SN+월/NNB
충남	충남/NNP
부여-청양	부여/NNP+-/SO+청양/NNP
국회의원	국회/NNG+의원/NNG
재선거에	재/XPN+선거/NNG+에/JKB
출마했을	출마/NNG+하/XSV+았/EP+을/ETM
당시	당시/NNG
총리의	총리/NNG+의/JKG
선거	선거/NNG
캠프에서	캠프/NNG+에서/JKB
자원	자원/NNG
봉사했던	봉사/NNG+하/XSV+았/EP+던/ETM
한모	한/NNP+모/NP
씨를	씨/NNB+를/JKO
이날	이날/NNG
참고인	참고인/NNG
신분으로	신분/NNG+으로/JKB
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.347.4.2
한 씨는 지난달 20일 채널A와의 인터뷰에서 “도의원들만 몇 분 계신 상황에서 성완종 의원을 제가 딱 봤죠.

한	한/NNP
씨는	씨/NNB+는/JX
지난달	지난달/NNG
20일	20/SN+일/NNB
채널A와의	채널A/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“도의원들만	“/SS+도/NNG+의원/NNG+들/XSN+만/JX
몇	몇/NR
분	분/NNB
계신	계시/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
성완종	성완종/NNP
의원을	의원/NNG+을/JKO
제가	제/NP+가/JKS
딱	딱/MAG
봤죠.	보/VV+았/EP+죠/EF+./SF


# id : NWRW1800000045.347.4.3
관심을 갖고 있었기 때문에 딱 보니까 성 의원이라고 안 거예요”라고 말한 적이 있다.

관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
있었기	있/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
딱	딱/MAG
보니까	보/VV+니까/EC
성	성/NNP
의원이라고	의원/NNG+이/VCP+라고/EC
안	알/VV+ㄴ/ETM
거예요”라고	거/NNB+이/VCP+에요/EF+”/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.347.5.1
검찰은 또 이 전 총리의 옛 운전기사 윤모 씨도 이날 소환해 조사했다.

검찰은	검찰/NNG+은/JX
또	또/MAG
이	이/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
옛	옛/MMA
운전기사	운전기사/NNG
윤모	윤/NNP+모/NP
씨도	씨/NNB+도/JX
이날	이날/NNG
소환해	소환/NNG+하/XSV+아/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.347.5.2
그동안 윤 씨는 일부 언론과의 인터뷰에서 “그날(4월 4일) 충남 홍성에서 열린 충남도청 신청사 개청식을 마치자마자 부여 사무실로 왔다”면서 “성 회장 비서들이 ‘의원님’이 아니라 ‘회장님’이라고 말하는 게 독특했고, 이 전 총리가 성 회장을 독대한 것으로 기억한다”고 말했다.

그동안	그동안/NNG
윤	윤/NNP
씨는	씨/NNB+는/JX
일부	일부/NNG
언론과의	언론/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“그날(4월	“/SS+그날/NNG+(/SS+4/SN+월/NNB
4일)	4/SN+일/NNB+)/SS
충남	충남/NNP
홍성에서	홍성/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
충남도청	충남도청/NNP
신청사	신/XPN+청사/NNG
개청식을	개청식/NNG+을/JKO
마치자마자	마치/VV+자마자/EC
부여	부여/NNP
사무실로	사무실/NNG+로/JKB
왔다”면서	오/VV+았/EP+다/EF+”/SS+면서/EC
“성	“/SS+성/NNP
회장	회장/NNG
비서들이	비서/NNG+들/XSN+이/JKS
‘의원님’이	‘/SS+의원/NNG+님/XSN+’/SS+이/JKC
아니라	아니/VCN+라/EC
‘회장님’이라고	‘/SS+회장/NNG+님/XSN+’/SS+이라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
독특했고,	독특/NNG+하/XSA+았/EP+고/EC+,/SP
이	이/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
성	성/NNP
회장을	회장/NNG+을/JKO
독대한	독대/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
기억한다”고	기억/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.347.6.1
검찰은 이들을 상대로 이 전 총리와 성 회장이 독대를 했는지, 당시 돈을 주고받은 정황이 있었는지 등을 조사했다.

검찰은	검찰/NNG+은/JX
이들을	이/NP+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
이	이/NNP
전	전/MMD
총리와	총리/NNG+와/JC
성	성/NNP
회장이	회장/NNG+이/JKS
독대를	독대/NNG+를/JKO
했는지,	하/VV+았/EP+는지/EF+,/SP
당시	당시/NNG
돈을	돈/NNG+을/JKO
주고받은	주고받/VV+은/ETM
정황이	정황/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EF
등을	등/NNB+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


