# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.320
metadata : {}


# id : NWRW1800000022.320.1.1
[만물상] 1918년 한국의 스페인독감

[만물상]	[/SS+만물상/NNG+]/SS
1918년	1918/SN+년/NNB
한국의	한국/NNP+의/JKG
스페인독감	스페인/NNP+독감/NNG


# id : NWRW1800000022.320.2.1
'감기 사망자가 2000명이다.

'감기	'/SS+감기/NNG
사망자가	사망자/NNG+가/JKS
2000명이다.	2000/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.320.2.2
온 가족이 앓아 누워 죽은 사람을 묻을 사람이 없는 형편이다.

온	온/MMN
가족이	가족/NNG+이/JKS
앓아	앓/VV+아/EC
누워	눕/VV+어/EC
죽은	죽/VV+은/ETM
사람을	사람/NNG+을/JKO
묻을	묻/VV+을/ETM
사람이	사람/NNG+이/JKS
없는	없/VA+는/ETM
형편이다.	형편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.320.2.3
경찰서와 군청에서 감기에 대한 강의를 하려 했으나 사람들이 모두 앓아 들을 사람이 없다.

경찰서와	경찰서/NNG+와/JC
군청에서	군청/NNG+에서/JKB
감기에	감기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강의를	강의/NNG+를/JKO
하려	하/VV+려/EC
했으나	하/VX+았/EP+으나/EC
사람들이	사람/NNG+들/XSN+이/JKS
모두	모두/MAG
앓아	앓/VV+아/EC
들을	듣/VV+을/ETM
사람이	사람/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.320.2.4
예산, 홍성서도 지금껏 추수를 못해 품삯이 이원오십전까지 올랐다.'

예산,	예산/NNP+,/SP
홍성서도	홍성/NNP+서/JKB+도/JX
지금껏	지금껏/MAG
추수를	추수/NNG+를/JKO
못해	못/MAG+하/VV+아/EC
품삯이	품삯/NNG+이/JKS
이원오십전까지	이/NR+원/NNB+오십/NR+전/NNB+까지/JX
올랐다.'	오르/VV+았/EP+다/EF+./SF+'/SS


# id : NWRW1800000022.320.2.5
스페인 독감이 한반도까지 휩쓸던 1918년 12월 총독부 기관지 매일신보에 '충남 서산 한 개 군에만 8만명의 환자'라는 제목으로 실린 기사다.

스페인	스페인/NNP
독감이	독감/NNG+이/JKS
한반도까지	한반도/NNP+까지/JX
휩쓸던	휩쓸/VV+던/ETM
1918년	1918/SN+년/NNB
12월	12/SN+월/NNB
총독부	총독부/NNG
기관지	기관지/NNG
매일신보에	매일신보/NNP+에/JKB
'충남	'/SS+충남/NNP
서산	서산/NNP
한	한/MMN
개	개/NNB
군에만	군/NNG+에/JKB+만/JX
8만명의	8/SN+만/NR+명/NNB+의/JKG
환자'라는	환자/NNG+'/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
실린	실리/VV+ㄴ/ETM
기사다.	기사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.320.3.1
▶스페인 독감은 미국과 유럽처럼 그해 9월부터 크게 번졌다.

▶스페인	▶/SW+스페인/NNP
독감은	독감/NNG+은/JX
미국과	미국/NNP+과/JC
유럽처럼	유럽/NNP+처럼/JKB
그해	그해/NNG
9월부터	9/SN+월/NNB+부터/JX
크게	크/VA+게/EC
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.320.3.2
'악성의 유행병, 몹시 아픈 감기'라는 매일신보 기사는 '9월 23일부터 평북 강계군에 유행성 감기로 300명의 환자가 발생했고 특징은 머리와 밑관절 등이 몹시 아프다더라'라고 했다.

'악성의	'/SS+악성/NNG+의/JKG
유행병,	유행병/NNG+,/SP
몹시	몹시/MAG
아픈	아프/VA+ㄴ/ETM
감기'라는	감기/NNG+'/SS+이/VCP+라는/ETM
매일신보	매일신보/NNP
기사는	기사/NNG+는/JX
'9월	'/SS+9/SN+월/NNB
23일부터	23/SN+일/NNB+부터/JX
평북	평북/NNP
강계군에	강계군/NNP+에/JKB
유행성	유행/NNG+성/XSN
감기로	감기/NNG+로/JKB
300명의	300/SN+명/NNB+의/JKG
환자가	환자/NNG+가/JKS
발생했고	발생/NNG+하/XSV+았/EP+고/EC
특징은	특징/NNG+은/JX
머리와	머리/NNG+와/JC
밑관절	밑/NNG+관절/NNG
등이	등/NNB+이/JKS
아프다더라'라고	아프/VA+다더라/EF+'/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.320.3.3
경성(서울)서도 9월에 이미 환자가 나왔고 11월엔 평양 인구 절반이 감기로 고생한다는 기사도 있다.

경성(서울)서도	경성/NNP+(/SS+서울/NNP+)/SS+서/JKB+도/JX
9월에	9/SN+월/NNB+에/JKB
이미	이미/MAG
환자가	환자/NNG+가/JKS
나왔고	나오/VV+았/EP+고/EC
11월엔	11/SN+월/NNB+에/JKB+ㄴ/JX
평양	평양/NNP
