# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.269
metadata : {}


# id : NWRW1800000030.269.1.1
[조선데스크] '국회 4.0'은 언제

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
'국회	'/SS+국회/NNG
4.0'은	4/SN+./SP+0/SN+'/SS+은/JX
언제	언제/MAG


# id : NWRW1800000030.269.2.1
이런 공청회였다면 좋았을 것이다.

이런	이런/MMD
공청회였다면	공청회/NNG+이/VCP+었/EP+다면/EC
좋았을	좋/VA+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.3.1
"대기업 오너들이 매년 수백억원씩 받는 배당금은 어디에 쓰시나요?" "10대 그룹 계열사의 비정규직 근로자 비율은 왜 자꾸 늘고 있나요?" "대기업들이 만든 공익재단에 총수 일가의 사재(私財)는 왜 별로 출연되지 않나요?"

"대기업	"/SS+대/XPN+기업/NNG
오너들이	오너/NNG+들/XSN+이/JKS
매년	매년/MAG
수백억원씩	수백억/NR+원/NNB+씩/XSN
받는	받/VV+는/ETM
배당금은	배당금/NNG+은/JX
어디에	어디/NP+에/JKB
쓰시나요?"	쓰/VV+시/EP+나/EF+요/JX+?/SF+"/SS
"10대	"/SS+10/SN+대/NNG
그룹	그룹/NNG
계열사의	계열사/NNG+의/JKG
비정규직	비/XPN+정규직/NNG
근로자	근로자/NNG
비율은	비율/NNG+은/JX
왜	왜/MAG
자꾸	자꾸/MAG
늘고	늘/VV+고/EC
있나요?"	있/VX+나/EF+요/JX+?/SF+"/SS
"대기업들이	"/SS+대/XPN+기업/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
공익재단에	공익/NNG+재단/NNG+에/JKB
총수	총수/NNG
일가의	일가/NNG+의/JKG
사재(私財)는	사재/NNG+(/SS+私財/SH+)/SS+는/JX
별로	별로/MAG
출연되지	출연/NNG+되/XSV+지/EC
않나요?"	않/VX+나요/EF+?/SF+"/SS


