# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.317
metadata : {}


# id : NWRW1800000053.317.1.1
安 약진에 긴장한 文측… ‘양자대결 여론조사’에 반발

安	安/SH
약진에	약진/NNG+에/JKB
긴장한	긴장/NNG+하/XSV+ㄴ/ETM
文측…	文/SH+측/NNB+…/SE
‘양자대결	‘/SS+양자/NNG+대결/NNG
여론조사’에	여론/NNG+조사/NNG+’/SS+에/JKB
반발	반발/NNG


# id : NWRW1800000053.317.2.1
文캠프 ‘양강구도 차단’ 신경전

文캠프	文/SH+캠프/NNG
‘양강구도	‘/SS+양/MMN+강/NNB+구도/NNG
차단’	차단/NNG+’/SS
신경전	신경전/NNG


# id : NWRW1800000053.317.3.1
더불어민주당 문재인 후보와 국민의당 안철수 후보가 접전을 벌이는 여론조사 결과가 5일 연이어 발표되자 문 후보 측은 바짝 긴장하는 모습이다.

더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
후보와	후보/NNG+와/JC
국민의당	국민의당/NNP
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
접전을	접전/NNG+을/JKO
벌이는	벌이/VV+는/ETM
여론조사	여론/NNG+조사/NNG
결과가	결과/NNG+가/JKS
5일	5/SN+일/NNB
연이어	연잇/VV+어/EC
발표되자	발표/NNG+되/XSV+자/EC
문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
바짝	바짝/MAG
긴장하는	긴장/NNG+하/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.317.3.2
겉으로는 “크게 신경 쓰지 않는다”며 무덤덤한 반응이었지만 안 후보의 상승세에 촉각을 곤두세우며 민감한 반응도 보였다.

겉으로는	겉/NNG+으로/JKB+는/JX
“크게	“/SS+크/VA+게/EC
신경	신경/NNG
쓰지	쓰/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
무덤덤한	무덤덤/NNG+하/XSA+ㄴ/ETM
반응이었지만	반응/NNG+이/VCP+었/EP+지만/EC
안	안/NNP
후보의	후보/NNG+의/JKG
상승세에	상승세/NNG+에/JKB
촉각을	촉각/NNG+을/JKO
곤두세우며	곤두세우/VV+며/EC
민감한	민감/NNG+하/XSA+ㄴ/ETM
반응도	반응/NNG+도/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.317.4.1
민주당은 이날 언론의 양자대결을 가정한 여론조사를 문제 삼고 나섰다.

민주당은	민주당/NNP+은/JX
이날	이날/NNG
언론의	언론/NNG+의/JKG
양자대결을	양자/NNG+대결/NNG+을/JKO
가정한	가정/NNG+하/XSV+ㄴ/ETM
여론조사를	여론/NNG+조사/NNG+를/JKO
문제	문제/NNG
삼고	삼/VV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.317.4.2
실현 가능성이 낮은 가정을 전제로 여론조사를 했다며 조사 방식의 신뢰도를 지적한 것이다.

실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
낮은	낮/VA+은/ETM
가정을	가정/NNG+을/JKO
전제로	전제/NNG+로/JKB
여론조사를	여론/NNG+조사/NNG+를/JKO
했다며	하/VV+았/EP+다며/EC
조사	조사/NNG
방식의	방식/NNG+의/JKG
신뢰도를	신뢰도/NNG+를/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.317.4.3
우상호 원내대표는 이날 최고위원회의에서 “자유한국당, 바른정당, 국민의당 단일화를 전제로 여론조사를 하고 발표하는 것은 실현 가능하지 않은 구도를 담은 것이라 문제”라고 주장했다.

우상호	우상호/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“자유한국당,	“/SS+자유한국당/NNP+,/SP
바른정당,	바른정당/NNP+,/SP
국민의당	국민의당/NNP
단일화를	단일/NNG+화/XSN+를/JKO
전제로	전제/NNG+로/JKB
여론조사를	여론/NNG+조사/NNG+를/JKO
하고	하/VV+고/EC
발표하는	발표/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
실현	실현/NNG
가능하지	가능/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
구도를	구도/NNG+를/JKO
담은	담/VV+은/ETM
것이라	것/NNB+이/VCP+라/EC
문제”라고	문제/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.4.4
문 후보 측은 또 단일화 과정을 설명하지 않고 후보 이름만 불러주며 하는 여론조사 방식에도 문제를 제기했다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
또	또/MAG
단일화	단일/NNG+화/XSN
과정을	과정/NNG+을/JKO
설명하지	설명/NNG+하/XSV+지/EC
않고	않/VX+고/EC
이름만	이름/NNG+만/JX
불러주며	부르/VV+어/EC+주/VX+며/EC
하는	하/VV+는/ETM
여론조사	여론/NNG+조사/NNG
방식에도	방식/NNG+에/JKB+도/JX
문제를	문제/NNG+를/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.4.5
‘문재인과 안철수 중 누구를 지지하느냐’로 물어선 안 되고, ‘홍준표, 유승민과 단일화한 안철수와 문재인 중 누구를 지지하느냐’고 질문해야 한다는 것이다.

‘문재인과	‘/SS+문재인/NNP+과/JC
안철수	안철수/NNP
중	중/NNB
누구를	누구/NP+를/JKO
지지하느냐’로	지지/NNG+하/XSV+느냐/EF+’/SS+로/JKB
물어선	물/VV+어서/EC+ㄴ/JX
안	안/MAG
되고,	되/VV+고/EC+,/SP
‘홍준표,	‘/SS+홍준표/NNP+,/SP
유승민과	유승민/NNP+과/JKB
단일화한	단일/NNG+화/XSN+하/XSV+ㄴ/ETM
안철수와	안철수/NNP+와/JC
문재인	문재인/NNP
지지하느냐’고	지지/NNG+하/XSV+느냐/EF+’/SS+고/JKQ
질문해야	질문/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.317.5.1
하지만 민주당과 문 후보 측이 보인 태도는 지금까지와는 다르다는 지적이 나온다.

하지만	하지만/MAJ
민주당과	민주당/NNP+과/JC
문	문/NNP
후보	후보/NNG
측이	측/NNB+이/JKS
보인	보이/VV+ㄴ/ETM
태도는	태도/NNG+는/JX
지금까지와는	지금/NNG+까지/JX+와/JKB+는/JX
다르다는	다르/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.317.5.2
그간 많은 여론조사에서 문 후보가 양자 대결 1위를 줄곧 지킬 때는 공개적으로 이의를 제기하지 않았기 때문이다.

그간	그/NP+간/XSN
많은	많/VA+은/ETM
여론조사에서	여론/NNG+조사/NNG+에서/JKB
문	문/NNP
후보가	후보/NNG+가/JKS
양자	양자/NNG
대결	대결/NNG
1위를	1/SN+위/NNB+를/JKO
줄곧	줄곧/MAG
지킬	지키/VV+ㄹ/ETM
때는	때/NNG+는/JX
공개적으로	공개/NNG+적/XSN+으로/JKB
이의를	이의/NNG+를/JKO
제기하지	제기/NNG+하/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.317.5.3
최근 안 후보의 급상승으로 일부 양자 대결 조사에서 안 후보에게 밀리거나 격차가 좁혀진 것으로 나오자 조사방식 문제를 제기하고 나섰다는 것이다.

최근	최근/NNG
안	안/NNP
후보의	후보/NNG+의/JKG
급상승으로	급상승/NNG+으로/JKB
일부	일부/NNG
양자	양자/NNG
대결	대결/NNG
조사에서	조사/NNG+에서/JKB
후보에게	후보/NNG+에게/JKB
밀리거나	밀리/VV+거나/EC
격차가	격차/NNG+가/JKS
좁혀진	좁히/VV+어/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
나오자	나오/VV+자/EC
조사방식	조사/NNG+방식/NNG
문제를	문제/NNG+를/JKO
제기하고	제기/NNG+하/XSV+고/EC
나섰다는	나서/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.317.5.4
여론조사 전문가들의 견해는 엇갈린다.

여론조사	여론/NNG+조사/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
견해는	견해/NNG+는/JX
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.317.5.5
다만 현재 언론에서 발표되고 있는 문-안 양자대결은 대선 구도 자체가 문-안 대결로 좁혀지고 있는 추세적 흐름을 보여주는 것이어서 크게 논란을 삼을 이유가 없다는 견해가 적지 않다.

다만	다만/MAG
현재	현재/MAG
언론에서	언론/NNG+에서/JKB
발표되고	발표/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
문-안	문/NNP+-/SO+안/NNP
양자대결은	양자/NNG+대결/NNG+은/JX
대선	대선/NNG
구도	구도/NNG
자체가	자체/NNG+가/JKS
대결로	대결/NNG+로/JKB
좁혀지고	좁히/VV+어/EC+지/VX+고/EC
추세적	추세/NNG+적/XSN
흐름을	흐름/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이어서	것/NNB+이/VCP+어서/EC
크게	크/VA+게/EC
논란을	논란/NNG+을/JKO
삼을	삼/VV+을/ETM
이유가	이유/NNG+가/JKS
없다는	없/VA+다는/ETM
견해가	견해/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.317.6.1
당 안팎에선 그동안 양자 구도 여론조사에 별다른 반응을 보이지 않던 문 후보 측이 뒤늦게 발끈한다는 지적도 있다.

당	당/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
그동안	그동안/NNG
양자	양자/NNG
구도	구도/NNG
여론조사에	여론/NNG+조사/NNG+에/JKB
별다른	별다르/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이지	보이/VV+지/EC
않던	않/VX+던/ETM
문	문/NNP
후보	후보/NNG
측이	측/NNB+이/JKS
뒤늦게	뒤늦/VA+게/EC
발끈한다는	발끈/MAG+하/XSV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.317.6.2
야권 관계자는 “2002년 노무현 후보와 정몽준 후보의 단일화도 예상 밖이었다”며 “처음부터 양자 대결을 문제 삼은 것도 아니고, 이제 와 저러는 것은 의도가 보인다”고 비판했다.

야권	야권/NNG
관계자는	관계자/NNG+는/JX
“2002년	“/SS+2002/SN+년/NNB
노무현	노무현/NNP
후보와	후보/NNG+와/JC
정몽준	정몽준/NNP
후보의	후보/NNG+의/JKG
단일화도	단일/NNG+화/XSN+도/JX
예상	예상/NNG
밖이었다”며	밖/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“처음부터	“/SS+처음/NNG+부터/JX
양자	양자/NNG
대결을	대결/NNG+을/JKO
문제	문제/NNG
삼은	삼/VV+은/ETM
것도	것/NNB+도/JX
아니고,	아니/VCN+고/EC+,/SP
이제	이제/MAG
와	오/VV+아/EC
저러는	저러/VV+는/ETM
것은	것/NNB+은/JX
의도가	의도/NNG+가/JKS
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.7.1
여기에다 문 후보에게는 각 당의 대선 후보가 확정된 이후 검증공세도 거세지고 있다.

여기에다	여기/NP+에다/JKB
문	문/NNP
후보에게는	후보/NNG+에게/JKB+는/JX
각	각/MMD
당의	당/NNG+의/JKG
대선	대선/NNG
후보가	후보/NNG+가/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
검증공세도	검증/NNG+공세/NNG+도/JX
거세지고	거세지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.317.7.2
이날 문 후보가 2003년 대통령민정수석비서관 재직 시절 노무현 당시 대통령의 사돈 배병렬 씨의 음주운전 사고를 은폐하려 했다는 의혹이 제기됐다.

이날	이날/NNG
문	문/NNP
후보가	후보/NNG+가/JKS
2003년	2003/SN+년/NNB
대통령민정수석비서관	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG
재직	재직/NNG
시절	시절/NNG
노무현	노무현/NNP
당시	당시/NNG
대통령의	대통령/NNG+의/JKG
사돈	사돈/NNG
배병렬	배병렬/NNP
씨의	씨/NNB+의/JKG
음주운전	음주/NNG+운전/NNG
사고를	사고/NNG+를/JKO
은폐하려	은폐/NNG+하/XSV+려/EC
했다는	하/VX+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.317.7.3
이에 대해 문 후보 캠프 김경수 대변인은 “사고 당일 이호철 당시 민정비서관이 사고 내용을 보고받았지만 민정수석이던 문 후보에게 보고하지 않고 사안을 종결했다”고 선을 그었다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
문	문/NNP
후보	후보/NNG
캠프	캠프/NNG
김경수	김경수/NNP
대변인은	대변인/NNG+은/JX
“사고	“/SS+사고/NNG
당일	당일/NNG
이호철	이호철/NNP
당시	당시/NNG
민정비서관이	민정/NNG+비서관/NNG+이/JKS
사고	사고/NNG
내용을	내용/NNG+을/JKO
보고받았지만	보고/NNG+받/XSV+았/EP+지만/EC
민정수석이던	민정/NNG+수석/NNG+이/VCP+던/ETM
후보에게	후보/NNG+에게/JKB
