# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.128
metadata : {}


# id : NWRW1800000040.128.1.1
<font color=#C21A1A>단독</font> “불상 돌려줘”…일 쓰시마, 조선통신사 행사 33년 만에 중단

<font	</SS+font/SL
color=#C21A1A>단독</font>	color/SL+=/SW+#/SW+C/SL+21/SN+A/SL+1/SN+A/SL+>/SS+단독/NNG+</SS+//SP+font/SL+>/SS
“불상	“/SS+불상/NNG
돌려줘”…일	돌려주/VV+어/EC+”/SS+…/SE+일/NNP
쓰시마,	쓰시마/NNP+,/SP
조선통신사	조선/NNP+통신사/NNG
행사	행사/NNG
33년	33/SN+년/NNB
만에	만/NNB+에/JKB
중단	중단/NNG


# id : NWRW1800000040.128.2.1
‘아리랑축제’ 표현도 삭제

‘아리랑축제’	‘/SS+아리랑/NNG+축제/NNG+’/SS
표현도	표현/NNG+도/JX
삭제	삭제/NNG


# id : NWRW1800000040.128.3.1
일본 의원·각료들이 2차대전 전범 제사를 지내는 야스쿠니신사를 집단 참배하며 한-일 관계가 경색된 가운데, 일본 쓰시마시와 민간단체가 ‘한국 절도단이 대마도에서 훔쳐간 불상을 한국 정부가 반환하지 않는다’는 이유로 1980년부터 해마다 여름 축제 때 열어온 조선통신사 행렬 재현 행사를 33년 만에 중단하기로 결정한 것으로 밝혀졌다.

일본	일본/NNP
의원·각료들이	의원/NNG+·/SP+각료/NNG+들/XSN+이/JKS
2차대전	2/SN+차/NNB+대전/NNG
전범	전범/NNG
제사를	제사/NNG+를/JKO
지내는	지내/VV+는/ETM
야스쿠니신사를	야스쿠니신사/NNP+를/JKO
집단	집단/NNG
참배하며	참배/NNG+하/XSV+며/EC
한-일	한-일/NNP
관계가	관계/NNG+가/JKS
경색된	경색/NNG+되/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
쓰시마시와	쓰시마시/NNP+와/JC
민간단체가	민간단체/NNG+가/JKS
‘한국	‘/SS+한국/NNP
절도단이	절도단/NNG+이/JKS
대마도에서	대마도/NNP+에서/JKB
훔쳐간	훔치/VV+어/EC+가/VX+ㄴ/ETM
불상을	불상/NNG+을/JKO
한국	한국/NNP
정부가	정부/NNG+가/JKS
반환하지	반환/NNG+하/XSV+지/EC
않는다’는	않/VX+는다/EF+’/SS+는/ETM
이유로	이유/NNG+로/JKB
1980년부터	1980/SN+년/NNB+부터/JX
해마다	해마다/MAG
여름	여름/NNG
축제	축제/NNG
때	때/NNG
열어온	열/VV+어/EC+오/VX+ㄴ/ETM
조선통신사	조선/NNP+통신사/NNG
행렬	행렬/NNG
재현	재현/NNG
행사를	행사/NNG+를/JKO
33년	33/SN+년/NNB
만에	만/NNB+에/JKB
중단하기로	중단/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.128.3.2
또 여름 축제 이름에서 ‘아리랑축제’라는 표현을 삭제하기로 했다.

또	또/MAG
여름	여름/NNG
축제	축제/NNG
이름에서	이름/NNG+에서/JKB
‘아리랑축제’라는	‘/SS+아리랑/NNG+축제/NNG+’/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
삭제하기로	삭제/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


