# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.390
metadata : {}


# id : NWRW1800000036.390.1.1
박영준, 또 다른 업체서도 ‘1억 용돈’

박영준,	박영준/NNP+,/SP
또	또/MAG
다른	다른/MMD
업체서도	업체/NNG+서/JKB+도/JX
‘1억	‘/SS+1/SN+억/NR
용돈’	용돈/NNG+’/SS


# id : NWRW1800000036.390.2.1
[한겨레] 검찰, 업체 대표 진술 확보

[한겨레]	[/SS+한겨레/NNP+]/SS
검찰,	검찰/NNG+,/SP
업체	업체/NNG
대표	대표/NNG
진술	진술/NNG
확보	확보/NNG


# id : NWRW1800000036.390.3.1
“청탁 대가인지 아직 미지수”

“청탁	“/SS+청탁/NNG
대가인지	대가/NNG+이/VCP+ㄴ지/EC
아직	아직/MAG
미지수”	미지수/NNG+”/SS


# id : NWRW1800000036.390.4.1
대검찰청 중앙수사부(부장 최재경)는 파이시티 인허가 청탁과 함께 1억7000만원을 받은 혐의(특정범죄 가중처벌법의 알선수재)로 구속한 박영준(52) 전 국무총리실 국무차장이 2008년 6월 청와대에서 나온 뒤 다른 업체들로부터 1억여원을 받은 정황을 포착하고 수사중인 것으로 10일 확인됐다.

대검찰청	대/XPN+검찰청/NNG
중앙수사부(부장	중앙/NNG+수사부/NNG+(/SS+부장/NNG
최재경)는	최재경/NNP+)/SS+는/JX
파이시티	파이시티/NNP
인허가	인허가/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
1억7000만원을	1/SN+억/NR+7000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의(특정범죄	혐의/NNG+(/SS+특정/NNG+범죄/NNG
가중처벌법의	가중/NNG+처벌법/NNG+의/JKG
알선수재)로	알선/NNG+수재/NNG+)/SS+로/JKB
구속한	구속/NNG+하/XSV+ㄴ/ETM
박영준(52)	박영준/NNP+(/SS+52/SN+)/SS
전	전/MMD
국무총리실	국무총리실/NNG
국무차장이	국무/NNG+차장/NNG+이/JKS
2008년	2008/SN+년/NNB
6월	6/SN+월/NNB
청와대에서	청와대/NNP+에서/JKB
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
다른	다른/MMD
업체들로부터	업체/NNG+들/XSN+로부터/JKB
1억여원을	1/SN+억/NR+여/XSN+원/NNB+을/JKO
정황을	정황/NNG+을/JKO
포착하고	포착/NNG+하/XSV+고/EC
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
10일	10/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.390.5.1
검찰은 파이시티 쪽 브로커 이아무개(60·구속기소)씨가 발행한 100만원짜리 수표 20장이 세탁된 이아무개(59) 제이엔테크 회장의 연결계좌에서, 여러 차례에 걸쳐 1억여원이 수표로 입금된 내역을 확인하고 자금 출처를 쫓고 있다.

검찰은	검찰/NNG+은/JX
파이시티	파이시티/NNP
쪽	쪽/NNB
브로커	브로커/NNG
이아무개(60·구속기소)씨가	이/NNP+아무개/NP+(/SS+60/SN+·/SP+구속/NNG+기소/NNG+)/SS+씨/NNB+가/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
100만원짜리	100/SN+만/NR+원/NNB+짜리/XSN
수표	수표/NNG
20장이	20/SN+장/NNB+이/JKS
세탁된	세탁/NNG+되/XSV+ㄴ/ETM
이아무개(59)	이/NNP+아무개/NP+(/SS+59/SN+)/SS
제이엔테크	제이엔테크/NNP
회장의	회장/NNG+의/JKG
연결계좌에서,	연결/NNG+계좌/NNG+에서/JKB+,/SP
여러	여러/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
1억여원이	1/SN+억/NR+여/XSN+원/NNB+이/JKS
수표로	수표/NNG+로/JKB
입금된	입금/NNG+되/XSV+ㄴ/ETM
내역을	내역/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
자금	자금/NNG
출처를	출처/NNG+를/JKO
쫓고	쫓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.390.5.2
이 돈은 박 전 차장이 2008년 2~6월 청와대 기획조정비서관을 마치고 난 뒤 수백만~수천만원씩 나뉘어 입금된 것으로 알려졌다.

이	이/MMD
돈은	돈/NNG+은/JX
박	박/NNP
전	전/MMD
차장이	차장/NNG+이/JKS
2008년	2008/SN+년/NNB
2~6월	2/SN+~/SO+6/SN+월/NNB
청와대	청와대/NNP
기획조정비서관을	기획/NNG+조정/NNG+비서관/NNG+을/JKO
마치고	마치/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
수백만~수천만원씩	수백만/NR+~/SO+수천만/NR+원/NNB+씩/XSN
나뉘어	나뉘/VV+어/EC
입금된	입금/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.390.6.1
검찰은 박 전 차장의 자금관리인으로 지목된 이 회장이 박 전 차장 몫으로 업체들이 전달한 수표를 현금화한 것으로 의심하고 최근 입금자들을 불러 돈의 성격을 집중 추궁했다.

검찰은	검찰/NNG+은/JX
박	박/NNP
전	전/MMD
차장의	차장/NNG+의/JKG
자금관리인으로	자금/NNG+관리인/NNG+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
이	이/NNP
회장이	회장/NNG+이/JKS
차장	차장/NNG
몫으로	몫/NNG+으로/JKB
업체들이	업체/NNG+들/XSN+이/JKS
전달한	전달/NNG+하/XSV+ㄴ/ETM
수표를	수표/NNG+를/JKO
현금화한	현금/NNG+화/XSN+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
의심하고	의심/NNG+하/XSV+고/EC
최근	최근/MAG
입금자들을	입금자/NNG+들/XSN+을/JKO
불러	부르/VV+어/EC
돈의	돈/NNG+의/JKG
성격을	성격/NNG+을/JKO
집중	집중/NNG
추궁했다.	추궁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.390.6.2
돈을 입금한 업체 대표 일부는 “박 전 차장이 공직을 나왔을 때 용돈 명목으로 돈을 건넸다”고 진술한 것으로 전해졌다.

돈을	돈/NNG+을/JKO
입금한	입금/NNG+하/XSV+ㄴ/ETM
업체	업체/NNG
대표	대표/NNG
일부는	일부/NNG+는/JX
“박	“/SS+박/NNP
전	전/MMD
차장이	차장/NNG+이/JKS
공직을	공직/NNG+을/JKO
나왔을	나오/VV+았/EP+을/ETM
때	때/NNG
용돈	용돈/NNG
명목으로	명목/NNG+으로/JKB
건넸다”고	건네/VV+었/EP+다/EF+”/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.390.6.3
대검 관계자는 “아직까지 박 전 차장이 파이시티 외 다른 업체에서 청탁 대가로 금품을 받은 부분은 드러난 것이 없다”고 말했다.

대검	대검/NNG
관계자는	관계자/NNG+는/JX
“아직까지	“/SS+아직/MAG+까지/JX
박	박/NNP
전	전/MMD
차장이	차장/NNG+이/JKS
파이시티	파이시티/NNP
외	외/NNB
다른	다른/MMD
업체에서	업체/NNG+에서/JKB
청탁	청탁/NNG
대가로	대가/NNG+로/JKB
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
부분은	부분/NNG+은/JX
드러난	드러나/VV+ㄴ/ETM
것이	것/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.390.7.1
검찰은 중국 상하이에 머물고 있는 이 회장이 귀국하는 대로 이 돈의 출처와 대가성 여부를 확인해 박 전 차장의 혐의에 추가할지 여부를 검토중이다.

검찰은	검찰/NNG+은/JX
중국	중국/NNP
상하이에	상하이/NNP+에/JKB
