# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.267
metadata : {}


# id : NWRW1800000037.267.1.1
[횡설수설/민동용]만원사례 극장의 추억

[횡설수설/민동용]만원사례	[/SS+횡설수설/NNG+//SP+민동용/NNP+]/SS+만원사례/NNG
극장의	극장/NNG+의/JKG
추억	추억/NNG


# id : NWRW1800000037.267.2.1
1990년 추석을 나흘 앞둔 토요일 이른 아침 서울 을지로4가 국도극장(현 국도호텔 자리) 매표소에서 시작된 줄은 극장을 끼고 조명기구상점이 밀집한 골목으로 50m쯤 꺾어져 들어갔다.

1990년	1990/SN+년/NNB
추석을	추석/NNG+을/JKO
나흘	나흘/NNG
앞둔	앞두/VV+ㄴ/ETM
토요일	토요일/NNG
이른	이르/VA+ㄴ/ETM
아침	아침/NNG
서울	서울/NNP
을지로4가	을지로4가/NNP
국도극장(현	국도극장/NNP+(/SS+현/MMD
국도호텔	국도호텔/NNP
자리)	자리/NNG+)/SS
매표소에서	매표소/NNG+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
줄은	줄/NNB+은/JX
극장을	극장/NNG+을/JKO
끼고	끼/VV+고/EC
조명기구상점이	조명/NNG+기구/NNG+상점/NNG+이/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
골목으로	골목/NNG+으로/JKB
50m쯤	50/SN+m/SW+쯤/XSN
꺾어져	꺾어지/VV+어/EC
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.267.2.2
‘이렇게 사람이 많이 올 영화가 아닌데….’

‘이렇게	‘/SS+이렇/VA+게/EC
사람이	사람/NNG+이/JKS
많이	많이/MAG
올	오/VV+ㄹ/ETM
영화가	영화/NNG+가/JKC
아닌데….’	아니/VCN+ㄴ데/EF+…/SE+./SF+’/SS


# id : NWRW1800000037.267.2.3
의아하던 마음은 곧 풀렸다.

의아하던	의아/NNG+하/XSA+던/ETM
마음은	마음/NNG+은/JX
곧	곧/MAG
풀렸다.	풀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.267.2.4
조조(早朝) 관객 100명에 한해 호화 팸플릿을 준다는 광고를 보고 온 사람들이 대부분이었다.

조조(早朝)	조조/NNG+(/SS+早朝/SH+)/SS
관객	관객/NNG
100명에	100/SN+명/NNB+에/JKB
한해	한/NNG+하/XSV+아/EC
호화	호화/NNG
팸플릿을	팸플릿/NNG+을/JKO
준다는	주/VV+ㄴ다는/ETM
광고를	광고/NNG+를/JKO
보고	보/VV+고/EC
온	오/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
대부분이었다.	대/XPN+부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.267.2.5
이런 방법을 쓰면서까지 영화사는 개봉일에 극장 앞이 사람으로 가득하길 바랐다.

이런	이런/MMD
방법을	방법/NNG+을/JKO
쓰면서까지	쓰/VV+면서/EC+까지/JX
영화사는	영화사/NNG+는/JX
