# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.114
metadata : {}


# id : NWRW1800000053.114.1.1
첫 사랑의 추억, 맑은 수채화처럼 풀어내

첫	첫/MMN
사랑의	사랑/NNG+의/JKG
추억,	추억/NNG+,/SP
맑은	맑/VA+은/ETM
수채화처럼	수채화/NNG+처럼/JKB
풀어내	풀어내/VV+어/EF


# id : NWRW1800000053.114.2.1
리틀 잭

리틀	리틀/NNP
잭	잭/NNP


# id : NWRW1800000053.114.3.1
맑은 수채화 같다.

맑은	맑/VA+은/ETM
수채화	수채화/NNG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000053.114.3.2
창작 뮤지컬 ‘리틀 잭’은 1960년대 영국을 배경으로 밴드 ‘리틀 잭’의 보컬인 잭이 세상을 떠난 첫사랑 줄리에 대한 기억을 잔잔하게 풀어간다.

창작	창작/NNG
뮤지컬	뮤지컬/NNG
‘리틀	‘/SS+리틀/NNP
잭’은	잭/NNP+’/SS+은/JX
1960년대	1960/SN+년대/NNB
영국을	영국/NNP+을/JKO
배경으로	배경/NNG+으로/JKB
밴드	밴드/NNG
잭’의	잭/NNP+’/SS+의/JKG
보컬인	보컬/NNG+이/VCP+ㄴ/ETM
잭이	잭/NNP+이/JKS
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
첫사랑	첫사랑/NNG
줄리에	줄리/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
기억을	기억/NNG+을/JKO
잔잔하게	잔잔하/VA+게/EC
풀어간다.	풀/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.114.3.3
극은 소극장에서 열리는 콘서트 형식으로 진행된다.

극은	극/NNG+은/JX
소극장에서	소/XPN+극장/NNG+에서/JKB
열리는	열리/VV+는/ETM
콘서트	콘서트/NNG
형식으로	형식/NNG+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.114.4.1
잭은 펑크를 낸 피아노 연주자를 대신해 온 줄리를 본 순간 곧바로 사랑에 빠져든다.

잭은	잭/NNP+은/JX
펑크를	펑크/NNG+를/JKO
낸	내/VV+ㄴ/ETM
피아노	피아노/NNG
연주자를	연주자/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
줄리를	줄리/NNP+를/JKO
본	보/VV+ㄴ/ETM
순간	순간/NNG
곧바로	곧바로/MAG
사랑에	사랑/NNG+에/JKB
빠져든다.	빠져들/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.114.4.2
미국에 사는 줄리는 몸이 아파 요양하기 위해 영국에 온 것.

미국에	미국/NNP+에/JKB
사는	살/VV+는/ETM
줄리는	줄리/NNP+는/JX
몸이	몸/NNG+이/JKS
아파	아프/VA+아/EC
요양하기	요양/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
영국에	영국/NNP+에/JKB
온	오/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.114.4.3
대기업 오너인 줄리 아버지의 강한 반대로 두 사람은 소식도 모른 채 헤어지지만 결국 다시 만나 얼마 남지 않은 시간을 함께 보내며 추억을 쌓아간다.

대기업	대/XPN+기업/NNG
오너인	오너/NNG+이/VCP+ㄴ/ETM
줄리	줄리/NNP
아버지의	아버지/NNG+의/JKG
강한	강하/VA+ㄴ/ETM
반대로	반대/NNG+로/JKB
두	두/MMN
사람은	사람/NNG+은/JX
소식도	소식/NNG+도/JX
모른	모르/VV+ㄴ/ETM
채	채/NNB
헤어지지만	헤어지/VV+지만/EC
결국	결국/MAG
다시	다시/MAG
만나	만나/VV+아/EC
얼마	얼마/NNG
남지	남/VV+지/EC
않은	않/VX+은/ETM
시간을	시간/NNG+을/JKO
함께	함께/MAG
보내며	보내/VV+며/EC
추억을	추억/NNG+을/JKO
쌓아간다.	쌓/VV+아/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.114.4.4
줄거리는 옥경선 작가가 황순원의 ‘소나기’를 모티브로 만들었다.

줄거리는	줄거리/NNG+는/JX
옥경선	옥경선/NNP
작가가	작가/NNG+가/JKS
황순원의	황순원/NNP+의/JKG
‘소나기’를	‘/SS+소나기/NNP+’/SS+를/JKO
모티브로	모티브/NNG+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.114.5.1
충격적인 소재와 화려한 볼거리가 넘치는 작품들 속에서 ‘리틀 잭’은 기름기를 걷어내고 인공 감미료 없이 담백하게 맛을 낸 음식을 마주하는 기분을 느끼게 만든다.

충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
소재와	소재/NNG+와/JC
화려한	화려하/VA+ㄴ/ETM
볼거리가	볼거리/NNG+가/JKS
넘치는	넘치/VV+는/ETM
작품들	작품/NNG+들/XSN
속에서	속/NNG+에서/JKB
‘리틀	‘/SS+리틀/NNP
잭’은	잭/NNP+’/SS+은/JX
기름기를	기름/NNG+기/XSN+를/JKO
걷어내고	걷/VV+어/EC+내/VX+고/EC
인공	인공/NNG
감미료	감미료/NNG
없이	없이/MAG
담백하게	담백하/VA+게/EC
맛을	맛/NNG+을/JKO
낸	내/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
마주하는	마주/MAG+하/XSV+는/ETM
기분을	기분/NNG+을/JKO
느끼게	느끼/VV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.114.5.2
잭과 줄리가 설레는 마음으로 가만가만 이어가는 대화는 처음 사랑을 시작한 이들이 나누는 이야기와 별반 다르지 않다.

잭과	잭/NNP+과/JKB
줄리가	줄리/NNP+가/JKS
설레는	설레/VV+는/ETM
