# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.48
metadata : {}


# id : NWRW1800000029.48.1.1
넌 PC 쓰니?

넌	너/NP+ㄴ/JX
PC	PC/SL
쓰니?	쓰/VV+니/EF+?/SF


# id : NWRW1800000029.48.1.2
난 CC로 바꿀 거야

난	나/NP+ㄴ/JX
CC로	CC/SL+로/JKB
바꿀	바꾸/VV+ㄹ/ETM
거야	거/NNB+이/VCP+야/EF


# id : NWRW1800000029.48.2.1
삼성전자 ‘클라우드 모니터’ 첫 공개

삼성전자	삼성전자/NNP
‘클라우드	‘/SS+클라우드/NNG
모니터’	모니터/NNG+’/SS
첫	첫/MMN
공개	공개/NNG


# id : NWRW1800000029.48.3.1
컴퓨터 사용 방식을 혁명적으로 바꾸고 있는 ‘클라우드 컴퓨팅(Cloud Computing)’ 기술이 일상 속으로 성큼 들어오고 있다.

컴퓨터	컴퓨터/NNG
사용	사용/NNG
방식을	방식/NNG+을/JKO
혁명적으로	혁명/NNG+적/XSN+으로/JKB
바꾸고	바꾸/VV+고/EC
있는	있/VX+는/ETM
‘클라우드	‘/SS+클라우드/NNG
컴퓨팅(Cloud	컴퓨팅/NNG+(/SS+Cloud/SL
Computing)’	Computing/SL+)/SS+’/SS
기술이	기술/NNG+이/JKS
일상	일상/NNG
속으로	속/NNG+으로/JKB
성큼	성큼/MAG
들어오고	들어오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.48.3.2
이 기술이 적용된 다양한 제품과 서비스가 앞다퉈 나오고 있기 때문이다.

이	이/MMD
기술이	기술/NNG+이/JKS
적용된	적용/NNG+되/XSV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품과	제품/NNG+과/JC
서비스가	서비스/NNG+가/JKS
앞다퉈	앞다투/VV+어/EC
나오고	나오/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.4.1
클라우드 컴퓨팅은 PC에 프로그램을 깔고 데이터를 저장하던 방식에서 벗어나 인터넷 네트워크상에 모든 정보를 저장하고 사용자가 필요할 때마다 찾아 쓰는 시스템이다.

클라우드	클라우드/NNG
컴퓨팅은	컴퓨팅/NNG+은/JX
PC에	PC/SL+에/JKB
프로그램을	프로그램/NNG+을/JKO
깔고	깔/VV+고/EC
데이터를	데이터/NNG+를/JKO
저장하던	저장/NNG+하/XSV+던/ETM
방식에서	방식/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
인터넷	인터넷/NNG
네트워크상에	네트워크/NNG+상/XSN+에/JKB
모든	모든/MMN
정보를	정보/NNG+를/JKO
저장하고	저장/NNG+하/XSV+고/EC
사용자가	사용자/NNG+가/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
때마다	때/NNG+마다/JX
찾아	찾/VV+아/EC
쓰는	쓰/VV+는/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.4.2
데이터 업데이트 및 보안이 효과적이며 언제 어디서나 인터넷만 연결되면 업무 처리가 가능하다는 많은 장점 때문에 세계의 정보기술(IT) 기업들은 관련 서비스 및 장비 개발에 열을 올리고 있다.

데이터	데이터/NNG
업데이트	업데이트/NNG
및	및/MAG
보안이	보안/NNG+이/JKS
효과적이며	효과/NNG+적/XSN+이/VCP+며/EC
언제	언제/NP
어디서나	어디/NP+서/JKB+나/JX
인터넷만	인터넷/NNG+만/JX
연결되면	연결/NNG+되/XSV+면/EC
업무	업무/NNG
처리가	처리/NNG+가/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
많은	많/VA+은/ETM
장점	장점/NNG
때문에	때문/NNB+에/JKB
세계의	세계/NNG+의/JKG
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
기업들은	기업/NNG+들/XSN+은/JX
관련	관련/NNG
서비스	서비스/NNG
장비	장비/NNG
개발에	개발/NNG+에/JKB
열을	열/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.48.5.1
삼성전자는 19일 ‘가상 데스크톱’ 시스템을 탑재한 ‘클라우드 모니터’ NC220을 발표했다.

삼성전자는	삼성전자/NNP+는/JX
