# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.33
metadata : {}


# id : NWRW1800000037.33.1.1
오바마, 니코틴 껌 씹다 걸리고… 비욘세, 립싱크로 美 국가 불러

오바마,	오바마/NNP+,/SP
니코틴	니코틴/NNG
껌	껌/NNG
씹다	씹/VV+다/EC
걸리고…	걸리/VV+고/EC+…/SE
비욘세,	비욘세/NNP+,/SP
립싱크로	립싱크/NNG+로/JKB
美	美/SH
국가	국가/NNG
불러	부르/VV+어/EF


# id : NWRW1800000037.33.2.1
■ 오바마 취임식 ‘옥에 티’

■	■/SW
오바마	오바마/NNP
취임식	취임식/NNG
‘옥에	‘/SS+옥/NNG+에/JKB
티’	티/NNG+’/SS


# id : NWRW1800000037.33.3.1
21일 열린 버락 오바마 미국 대통령의 2기 취임식에서 2가지의 ‘옥에 티’가 화제다.

21일	21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
2기	2/SN+기/NNG
취임식에서	취임식/NNG+에서/JKB
2가지의	2/SN+가지/NNB+의/JKG
‘옥에	‘/SS+옥/NNG+에/JKB
티’가	티/NNG+’/SS+가/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.33.4.1
논란까지 불러일으킨 것은 오바마 대통령이 취임행사에서 껌을 씹은 행위다.

논란까지	논란/NNG+까지/JX
불러일으킨	불러일으키/VV+ㄴ/ETM
것은	것/NNB+은/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
취임행사에서	취임/NNG+행사/NNG+에서/JKB
껌을	껌/NNG+을/JKO
씹은	씹/VV+은/ETM
행위다.	행위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.33.4.2
참관대에서 부인 미셸 여사, 두 딸 등과 함께 취임 퍼레이드를 지켜보면서 열심히 껌을 씹는 모습이 카메라에 잡혔다.

참관대에서	참관/NNG+대/NNG+에서/JKB
부인	부인/NNG
미셸	미셸/NNP
여사,	여사/NNG+,/SP
두	두/MMN
딸	딸/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
취임	취임/NNG
퍼레이드를	퍼레이드/NNG+를/JKO
지켜보면서	지켜보/VV+면서/EC
열심히	열심히/MAG
껌을	껌/NNG+을/JKO
씹는	씹/VV+는/ETM
모습이	모습/NNG+이/JKS
카메라에	카메라/NNG+에/JKB
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.33.4.3
비교적 자유로운 퍼레이드 참관식이지만 그래도 공식 취임행사에서 껌을 씹는 것에 대해 “무례하다”는 지적이 나오고 있다.

비교적	비교/NNG+적/XSN
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
퍼레이드	퍼레이드/NNG
참관식이지만	참관식/NNG+이/VCP+지만/EC
그래도	그러/VV+어도/EC
공식	공식/NNG
취임행사에서	취임/NNG+행사/NNG+에서/JKB
껌을	껌/NNG+을/JKO
씹는	씹/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
“무례하다”는	“/SS+무례/NNG+하/XSA+다/EF+”/SS+는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.33.5.1
이 껌은 취임행사에 지친 오바마 대통령이 담배 생각이 간절해서 씹은 니코틴 껌이었을 것이라는 추측이 많다.

이	이/MMD
껌은	껌/NNG+은/JX
취임행사에	취임/NNG+행사/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
담배	담배/NNG
생각이	생각/NNG+이/JKS
간절해서	간절하/VA+아서/EC
씹은	씹/VV+은/ETM
니코틴	니코틴/NNG
껌이었을	껌/NNG+이/VCP+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
추측이	추측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.33.5.2
4년 전 금연한 오바마 대통령은 담배 생각이 날 때마다 니코틴 껌을 자주 씹어왔으며 집무실 책상에도 니코틴 껌이 놓여 있는 것으로 알려졌다.

4년	4/SN+년/NNB
전	전/NNG
금연한	금연/NNG+하/XSV+ㄴ/ETM
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
담배	담배/NNG
생각이	생각/NNG+이/JKS
날	나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
니코틴	니코틴/NNG
껌을	껌/NNG+을/JKO
자주	자주/MAG
씹어왔으며	씹/VV+어/EC+오/VX+았/EP+으며/EC
집무실	집무실/NNG
책상에도	책상/NNG+에/JKB+도/JX
껌이	껌/NNG+이/JKS
놓여	놓이/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.33.5.3
취임행사에서 껌을 씹은 오바마 대통령에 대해 “부적절하다”는 비난도 있지만 “소탈하다” “자연스러운 모습”이라는 평도 나오고 있다고 ABC방송은 전했다.

취임행사에서	취임/NNG+행사/NNG+에서/JKB
껌을	껌/NNG+을/JKO
씹은	씹/VV+은/ETM
오바마	오바마/NNP
대통령에	대통령/NNG+에/JKB
대해	대하/VV+아/EC
“부적절하다”는	“/SS+부적절하/VA+다/EF+”/SS+는/ETM
비난도	비난/NNG+도/JX
있지만	있/VA+지만/EC
“소탈하다”	“/SS+소탈하/VA+다/EF+”/SS
“자연스러운	“/SS+자연/NNG+스럽/XSA+ㄴ/ETM
모습”이라는	모습/NNG+”/SS+이/VCP+라는/ETM
평도	평/NNG+도/JX
나오고	나오/VV+고/EC
있다고	있/VX+다고/EC
ABC방송은	ABC방송/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.33.6.1
취임식에서 미국 국가를 열창한 흑인 여가수 비욘세(사진)도 ‘옥에 티’로 꼽혔다.

취임식에서	취임식/NNG+에서/JKB
미국	미국/NNP
국가를	국가/NNG+를/JKO
열창한	열창/NNG+하/XSV+ㄴ/ETM
흑인	흑인/NNG
여가수	여가수/NNG
비욘세(사진)도	비욘세/NNP+(/SS+사진/NNG+)/SS+도/JX
‘옥에	‘/SS+옥/NNG+에/JKB
티’로	티/NNG+’/SS+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.33.6.2
이날 국가는 사전 녹음한 것을 틀어놓은 것으로 비욘세는 입만 뻥긋거린 ‘립싱크’를 했다는 사실이 밝혀졌다.

이날	이날/NNG
국가는	국가/NNG+는/JX
사전	사전/NNG
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
틀어놓은	틀/VV+어/EC+놓/VX+은/ETM
것으로	것/NNB+으로/JKB
비욘세는	비욘세/NNP+는/JX
입만	입/NNG+만/JX
뻥긋거린	뻥긋거리/VV+ㄴ/ETM
‘립싱크’를	‘/SS+립싱크/NNG+’/SS+를/JKO
했다는	하/VV+았/EP+다는/ETM
사실이	사실/NNG+이/JKS
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.33.7.1
반주를 담당했던 해병대 군악대 측은 22일 “비욘세가 사전에 노래 연습을 할 시간이 없어서 라이브 공연은 바람직하지 않다는 결론을 내렸다”고 밝혔다.

반주를	반주/NNG+를/JKO
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
해병대	해병대/NNG
군악대	군악대/NNG
측은	측/NNB+은/JX
22일	22/SN+일/NNB
“비욘세가	“/SS+비욘세/NNP+가/JKS
사전에	사전/NNG+에/JKB
노래	노래/NNG
연습을	연습/NNG+을/JKO
할	하/VV+ㄹ/ETM
시간이	시간/NNG+이/JKS
없어서	없/VA+어서/EC
라이브	라이브/NNG
공연은	공연/NNG+은/JX
바람직하지	바람직하/VA+지/EC
