# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.406
metadata : {}


# id : NWRW1800000032.406.1.1
‘조선대 교수 해킹’ 기무사, 이미 2년전부터 뒷조사

‘조선대	‘/SS+조선대/NNP
교수	교수/NNG
해킹’	해킹/NNG+’/SS
기무사,	기무사/NNG+,/SP
이미	이미/MAG
2년전부터	2/SN+년/NNB+전/NNG+부터/JX
뒷조사	뒷조사/NNG


# id : NWRW1800000032.406.2.1
2009년 경찰에 범죄경력 조회…“쌍용차 사찰했던 이들” 증언도

2009년	2009/SN+년/NNB
경찰에	경찰/NNG+에/JKB
범죄경력	범죄/NNG+경력/NNG
조회…“쌍용차	조회/NNG+…/SE+“/SS+쌍용차/NNP
사찰했던	사찰/NNG+하/XSV+았/EP+던/ETM
이들”	이/NNB+들/XSN+”/SS
증언도	증언/NNG+도/JX


# id : NWRW1800000032.406.3.1
최근 논란이 되고 있는 국군기무사령부의 기광서 조선대 교수 사찰 의혹과 관련해 기무사가 이미 2년 전부터 기 교수의 뒤를 캐온 것으로 드러났다.

최근	최근/MAG
논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
국군기무사령부의	국군/NNG+기무/NNG+사령부/NNG+의/JKG
기광서	기광서/NNP
조선대	조선대/NNP
교수	교수/NNG
사찰	사찰/NNG
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
기무사가	기무사/NNG+가/JKS
이미	이미/MAG
2년	2/SN+년/NNB
전부터	전/NNG+부터/JX
기	기/NNP
교수의	교수/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
캐온	캐/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.406.3.2
기무사 차원의 조직적 사찰 정황을 뒷받침하는 것이다.

기무사	기무사/NNG
차원의	차원/NNG+의/JKG
조직적	조직/NNG+적/XSN
사찰	사찰/NNG
정황을	정황/NNG+을/JKO
뒷받침하는	뒷받침/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.406.3.3
또 2009년 쌍용차 집회 참가자를 사찰했던 이들이 기 교수 사찰을 주도했다는 증언도 나왔다.

또	또/MAG
2009년	2009/SN+년/NNB
쌍용차	쌍용차/NNP
집회	집회/NNG
참가자를	참가자/NNG+를/JKO
사찰했던	사찰/NNG+하/XSV+았/EP+던/ETM
이들이	이/NNB+들/XSN+이/JKS
기	기/NNP
교수	교수/NNG
사찰을	사찰/NNG+을/JKO
주도했다는	주도/NNG+하/XSV+았/EP+다는/ETM
증언도	증언/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.406.4.1
