# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.73
metadata : {}


# id : NWRW1800000052.73.1.1
“미, 2주전 실험준비 알았다”

“미,	“/SS+미/NNP+,/SP
2주전	2/SN+주/NNB+전/NNG
실험준비	실험/NNG+준비/NNG
알았다”	알/VV+았/EP+다/EF+”/SS


# id : NWRW1800000052.73.2.1
NBC, 미군 고위 관계자 인용 보도

NBC,	NBC/SL+,/SP
미군	미군/NNG
고위	고위/NNG
관계자	관계자/NNG
인용	인용/NNG
보도	보도/NNG


# id : NWRW1800000052.73.3.1
“공기시료 채취 위해 무인기 띄워”

“공기시료	“/SS+공기/NNG+시료/NNG
채취	채취/NNG
위해	위하/VV+아/EC
무인기	무인기/NNG
띄워”	띄우/VV+어/EF+”/SS


# id : NWRW1800000052.73.4.1
미국이 2주 전부터 북한이 4차 핵실험을 준비하고 있다는 사실을 알고 있었다는 주장이 나왔다.

미국이	미국/NNP+이/JKS
2주	2/SN+주/NNB
전부터	전/NNG+부터/JX
북한이	북한/NNP+이/JKS
4차	4/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있었다는	있/VX+었/EP+다는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.73.5.1
미국 <엔비시>(NBC) 방송은 6일(현지시각) 한 미군 고위 관계자가 “2주 동안 (북한의) 핵실험 준비 사실을 인지하고, 핵실험장 인근에서 기준치가 될 공기 시료를 채취하기 위해 무인기(드론)를 띄웠다”고 말했다고 보도했다.

미국	미국/NNP
<엔비시>(NBC)	</SS+엔비시/NNP+>/SS+(/SS+NBC/SL+)/SS
방송은	방송/NNG+은/JX
6일(현지시각)	6/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
한	한/MMN
미군	미군/NNG
고위	고위/NNG
관계자가	관계자/NNG+가/JKS
“2주	“/SS+2/SN+주/NNB
동안	동안/NNG
(북한의)	(/SS+북한/NNP+의/JKG+)/SS
핵실험	핵/NNG+실험/NNG
준비	준비/NNG
사실을	사실/NNG+을/JKO
인지하고,	인지/NNG+하/XSV+고/EC+,/SP
핵실험장	핵/NNG+실험장/NNG
인근에서	인근/NNG+에서/JKB
기준치가	기준/NNG+치/XSN+가/JKC
될	되/VV+ㄹ/ETM
공기	공기/NNG
시료를	시료/NNG+를/JKO
채취하기	채취/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
무인기(드론)를	무인기/NNG+(/SS+드론/NNG+)/SS+를/JKO
띄웠다”고	띄우/VV+었/EP+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.73.5.2
이 관계자는 핵실험 뒤인 6일 미국 쪽이 공기 시료를 채취해 삼중수소 흔적을 탐색할 예정이라고 밝혔다.

이	이/MMD
관계자는	관계자/NNG+는/JX
핵실험	핵/NNG+실험/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
6일	6/SN+일/NNB
미국	미국/NNP
쪽이	쪽/NNB+이/JKS
공기	공기/NNG
시료를	시료/NNG+를/JKO
채취해	채취/NNG+하/XSV+아/EC
삼중수소	삼중/NNG+수소/NNG
흔적을	흔적/NNG+을/JKO
탐색할	탐색/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.73.6.1
삼중수소는 수소폭탄의 주요 원료이자 핵융합 반응의 연료로 쓰이는데, 공기 시료에서 삼중수소가 검출되면 북한이 수소폭탄 실험을 진행했는지 확인할 수 있다.

삼중수소는	삼중/NNG+수소/NNG+는/JX
수소폭탄의	수소/NNG+폭탄/NNG+의/JKG
주요	주요/NNG
원료이자	원료/NNG+이/VCP+자/EC
핵융합	핵융합/NNG
반응의	반응/NNG+의/JKG
연료로	연료/NNG+로/JKB
쓰이는데,	쓰이/VV+는데/EC+,/SP
공기	공기/NNG
시료에서	시료/NNG+에서/JKB
삼중수소가	삼중/NNG+수소/NNG+가/JKS
검출되면	검출/NNG+되/XSV+면/EC
북한이	북한/NNP+이/JKS
수소폭탄	수소/NNG+폭탄/NNG
실험을	실험/NNG+을/JKO
진행했는지	진행/NNG+하/XSV+았/EP+는지/EF
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.73.6.2
<엔비시>방송은 “무인기가 채취한 공기 시료들이 곧 전문가들에게 실제 무슨 일이 있었는지 단서를 제공할 것”이라고 전했다.

<엔비시>방송은	</SS+엔비시/NNP+>/SS+방송/NNG+은/JX
“무인기가	“/SS+무인기/NNG+가/JKS
채취한	채취/NNG+하/XSV+ㄴ/ETM
공기	공기/NNG
시료들이	시료/NNG+들/XSN+이/JKS
곧	곧/MAG
전문가들에게	전문가/NNG+들/XSN+에게/JKB
실제	실제/NNG
무슨	무슨/MMD
일이	일/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EF
단서를	단서/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.73.7.1
미국 온라인 매체인 <데일리 비스트>도 미 국방부와 정보당국 관계자 등의 말을 인용해, 미국이 북한의 핵실험이 임박했다는 사실을 알고 있었다고 보도했다.

미국	미국/NNP
온라인	온라인/NNG
매체인	매체/NNG+이/VCP+ㄴ/ETM
<데일리	</SS+데일리/NNP
비스트>도	비스트/NNP+>/SS+도/JX
미	미/NNP
국방부와	국방부/NNG+와/JC
정보당국	정보/NNG+당국/NNG
관계자	관계자/NNG
등의	등/NNB+의/JKG
말을	말/NNG+을/JKO
인용해,	인용/NNG+하/XSV+아/EC+,/SP
미국이	미국/NNP+이/JKS
북한의	북한/NNP+의/JKG
핵실험이	핵/NNG+실험/NNG+이/JKS
임박했다는	임박/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.73.7.2
이 매체는 “수소폭탄을 개발했다는 최근 북한의 주장과 관련해 당국자들이 어떤 종류의 실험이든 예상하고 있었다”고 전했다.

이	이/MMD
매체는	매체/NNG+는/JX
“수소폭탄을	“/SS+수소/NNG+폭탄/NNG+을/JKO
개발했다는	개발/NNG+하/XSV+았/EP+다는/ETM
최근	최근/MAG
북한의	북한/NNP+의/JKG
주장과	주장/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
당국자들이	당국자/NNG+들/XSN+이/JKS
어떤	어떤/MMD
종류의	종류/NNG+의/JKG
실험이든	실험/NNG+이든/JX
예상하고	예상/NNG+하/XSV+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.73.7.3
한 당국자는 이 매체에 “몇달동안 (핵실험 관련) 보고들이 있었다”고 말했다.

한	한/MMN
당국자는	당국자/NNG+는/JX
이	이/MMD
매체에	매체/NNG+에/JKB
“몇달동안	“/SS+몇/NR+달/NNB+동안/NNG
(핵실험	(/SS+핵/NNG+실험/NNG
관련)	관련/NNG+)/SS
보고들이	보고/NNG+들/XSN+이/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.73.7.4
다만 “(북한이) 이 특정한 날짜를 택한 것에는 놀랐다”고 덧붙였다.

다만	다만/MAG
“(북한이)	“/SS+(/SS+북한/NNP+이/JKS+)/SS
이	이/MMD
특정한	특정/NNG+하/XSA+ㄴ/ETM
날짜를	날짜/NNG+를/JKO
택한	택하/VV+ㄴ/ETM
것에는	것/NNB+에/JKB+는/JX
놀랐다”고	놀라/VV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.73.7.5
제프리 루이스 미 비확산센터 소장도 “지난달 정보 분석가와 무기 전문가들 사이에 (북한의) 핵실험 가능성에 대한 우려가 많았다”고 말했다.

제프리	제프리/NNP
루이스	루이스/NNP
미	미/NNP
비확산센터	비/XPN+확산/NNG+센터/NNG
소장도	소장/NNG+도/JX
“지난달	“/SS+지난달/NNG
정보	정보/NNG
분석가와	분석가/NNG+와/JC
무기	무기/NNG
전문가들	전문가/NNG+들/XSN
사이에	사이/NNG+에/JKB
(북한의)	(/SS+북한/NNP+의/JKG+)/SS
핵실험	핵/NNG+실험/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
많았다”고	많/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


