# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.36
metadata : {}


# id : NWRW1800000037.36.1.1
日기자 ‘中 해양강국 전략’ 문제삼자 中 “외국도발엔 더 강경대응”

日기자	日/SH+기자/NNG
‘中	‘/SS+中/SH
해양강국	해양/NNG+강국/NNG
전략’	전략/NNG+’/SS
문제삼자	문제/NNG+삼/VV+자/EC
中	中/SH
“외국도발엔	“/SS+외국/NNG+도발/NNG+에/JKB+ㄴ/JX
더	더/MAG
강경대응”	강경/NNG+대응/NNG+”/SS


# id : NWRW1800000037.36.2.1
■ 최대정치행사 兩會 이틀째

■	■/SW
최대정치행사	최대/NNG+정치/NNG+행사/NNG
兩會	兩會/SH
이틀째	이틀/NNG+째/XSN


# id : NWRW1800000037.36.3.1
최대 연례 정치행사인 양회(兩會·전국인민대표대회와 전국인민정치협상회의)에 돌입한 중국이 공개 기자회견에서 일본 기자를 망신 주며 영토분쟁에 대한 강경 의지를 재차 확인했다.

최대	최대/NNG
연례	연례/NNG
정치행사인	정치/NNG+행사/NNG+이/VCP+ㄴ/ETM
양회(兩會·전국인민대표대회와	양회/NNG+(/SS+兩會/SH+·/SP+전국인민대표대회/NNP+와/JC
전국인민정치협상회의)에	전국인민정치협상회의/NNP+)/SS+에/JKB
돌입한	돌입/NNG+하/XSV+ㄴ/ETM
중국이	중국/NNP+이/JKS
공개	공개/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
일본	일본/NNP
기자를	기자/NNG+를/JKO
망신	망신/NNG
주며	주/VV+며/EC
영토분쟁에	영토/NNG+분쟁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강경	강경/NNG
의지를	의지/NNG+를/JKO
재차	재차/MAG
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.36.4.1
4일 베이징(北京) 인민대회당에서 열린 내외신 기자회견에서 일본 교도통신 특파원은 전국인대 첫 여성 대변인으로 나온 푸잉(傅瑩) 외교부 부부장에게 중국의 해양강국 전략을 거론하며 “중국 외교가 더욱 기세등등하고 거만해지지 않겠느냐”고 물었다.

4일	4/SN+일/NNB
베이징(北京)	베이징/NNP+(/SS+北京/SH+)/SS
인민대회당에서	인민대회당/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
내외신	내외신/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
일본	일본/NNP
교도통신	교도통신/NNP
특파원은	특파원/NNG+은/JX
전국인대	전국인대/NNP
첫	첫/MMN
여성	여성/NNG
대변인으로	대변인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
푸잉(傅瑩)	푸잉/NNP+(/SS+傅瑩/SH+)/SS
외교부	외교부/NNG
부부장에게	부부장/NNG+에게/JKB
중국의	중국/NNP+의/JKG
해양강국	해양/NNG+강국/NNG
전략을	전략/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
“중국	“/SS+중국/NNP
외교가	외교/NNG+가/JKS
더욱	더욱/MAG
기세등등하고	기세등등/MAG+하/XSA+고/EC
거만해지지	거만/NNG+하/XSA+아/EC+지/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.36.5.1
그러자 푸 부부장은 “당신이 방금 질문할 때 중국 기자들이 모두 웃는 것을 봤을 것”이라며 “언론매체를 포함해 많은 중국인은 정부가 외국의 도발에 더욱 강경해지길 원한다”고 말했다.

그러자	그러/VV+자/EC
