# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.12
metadata : {}


# id : NWRW1800000030.12.1.1
[기로에 선 이집트] 무바라크, TV 출연(지난달 30일)… 카이로에 있는지는 불투명

[기로에	[/SS+기로/NNG+에/JKB
선	서/VV+ㄴ/ETM
이집트]	이집트/NNP+]/SS
무바라크,	무바라크/NNP+,/SP
TV	TV/SL
출연(지난달	출연/NNG+(/SS+지난달/NNG
30일)…	30/SN+일/NNB+)/SS+…/SE
카이로에	카이로/NNP+에/JKB
있는지는	있/VV+는지/EF+는/JX
불투명	불/XPN+투명/NNG


# id : NWRW1800000030.12.2.1
?홍해 휴양지 피신설 확인 안돼 국제사회, 下野 직접압력 없어

?홍해	?/NA+홍해/NNP
휴양지	휴양지/NNG
피신설	피신설/NNG
확인	확인/NNG
안돼	안/MAG+되/XSV+어/EC
국제사회,	국제/NNG+사회/NNG+,/SP
下野	下野/SH
직접압력	직접/NNG+압력/NNG
없어	없/VA+어/EF


# id : NWRW1800000030.12.3.1
호스니 무바라크(83) 이집트 대통령의 최종 선택은 무엇인가.

호스니	호스니/NNP
무바라크(83)	무바라크/NNP+(/SS+83/SN+)/SS
이집트	이집트/NNP
대통령의	대통령/NNG+의/JKG
최종	최종/NNG
선택은	선택/NNG+은/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000030.12.3.2
또 무바라크는 지금 어디에 있는가.

또	또/MAG
무바라크는	무바라크/NNP+는/JX
지금	지금/MAG
어디에	어디/NP+에/JKB
있는가.	있/VV+는가/EF+./SF


# id : NWRW1800000030.12.3.3
그의 움직임은 포착되지만 어디서 무엇을 하고 있는지는 구체적으로 드러나지 않고 있다.

그의	그/NP+의/JKG
움직임은	움직임/NNG+은/JX
포착되지만	포착/NNG+되/XSV+지만/EC
어디서	어디/NP+서/JKB
무엇을	무엇/NP+을/JKO
하고	하/VV+고/EC
있는지는	있/VX+는지/EF+는/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
드러나지	드러나/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.12.3.4
텔레그래프와 하레츠 등 외신들은 그가 홍해 휴양지 샤름 엘 셰이크로 피신해 있다고 보도했지만 확인되지 않고 있다.

텔레그래프와	텔레그래프/NNP+와/JC
하레츠	하레츠/NNP
등	등/NNB
외신들은	외신/NNG+들/XSN+은/JX
그가	그/NP+가/JKS
홍해	홍해/NNP
휴양지	휴양지/NNG
샤름	샤름/NNP
엘	엘/NNP
셰이크로	셰이크/NNP+로/JKB
피신해	피신/NNG+하/XSV+아/EC
있다고	있/VX+다고/EC
보도했지만	보도/NNG+하/XSV+았/EP+지만/EC
확인되지	확인/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.12.4.1
지난달 28일 시위 발생 이후 처음으로 TV에 모습을 드러낸 무바라크는 지난 30일 다시 TV에 모습을 드러냈다.

지난달	지난달/NNG
28일	28/SN+일/NNB
시위	시위/NNG
발생	발생/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
TV에	TV/SL+에/JKB
모습을	모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
무바라크는	무바라크/NNP+는/JX
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
다시	다시/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.12.4.2
하지만 그가 과연 카이로에 있는지 의구심은 증폭되고 있다.

하지만	하지만/MAJ
그가	그/NP+가/JKS
과연	과연/MAG
카이로에	카이로/NNP+에/JKB
있는지	있/VV+는지/EC
의구심은	의구심/NNG+은/JX
증폭되고	증폭/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.12.4.3
무바라크는 이날 국영 TV를 통해 방송된 연설에서 아흐메드 샤피크(70) 신임 총리에게 난국 타개책으로 야당과의 대화를 통한 민주화 방안 모색을 지시했다.

무바라크는	무바라크/NNP+는/JX
이날	이날/NNG
국영	국영/NNG
TV를	TV/SL+를/JKO
통해	통하/VV+아/EC
방송된	방송/NNG+되/XSV+ㄴ/ETM
연설에서	연설/NNG+에서/JKB
아흐메드	아흐메드/NNP
샤피크(70)	샤피크/NNP+(/SS+70/SN+)/SS
신임	신임/NNG
총리에게	총리/NNG+에게/JKB
난국	난국/NNG
타개책으로	타개책/NNG+으로/JKB
야당과의	야당/NNG+과/JKB+의/JKG
대화를	대화/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
민주화	민주/NNG+화/XSN
방안	방안/NNG
모색을	모색/NNG+을/JKO
