# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.352
metadata : {}


# id : NWRW1800000056.352.1.1
“박근혜 정부, 사드 배치 2015년 초중반에 이미 결정했다”

“박근혜	“/SS+박근혜/NNP
정부,	정부/NNG+,/SP
사드	사드/NNG
배치	배치/NNG
2015년	2015/SN+년/NNB
초중반에	초중반/NNG+에/JKB
이미	이미/MAG
결정했다”	결정/NNG+하/XSV+았/EP+다/EF+”/SS


# id : NWRW1800000056.352.2.1
정부 고위관계자 증언…검토 밝힌 시점보다 반년 앞서

정부	정부/NNG
고위관계자	고위/NNG+관계자/NNG
증언…검토	증언/NNG+…/SE+검토/NNG
밝힌	밝히/VV+ㄴ/ETM
시점보다	시점/NNG+보다/JKB
반년	반년/NNG
앞서	앞서/VV+어/EF


# id : NWRW1800000056.352.3.1
도널드 트럼프 미국 대통령이 불붙인 ‘사드(THAAD·고고도미사일방어) 비용’ 논란이 격화되는 가운데 박근혜 정부가 2015년 중반께 이미 사드 배치 결정을 사실상 내렸던 것으로 알려졌다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
불붙인	불붙이/VV+ㄴ/ETM
‘사드(THAAD·고고도미사일방어)	‘/SS+사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+)/SS
비용’	비용/NNG+’/SS
논란이	논란/NNG+이/JKS
격화되는	격화/NNG+되/XSV+는/ETM
가운데	가운데/NNG
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
2015년	2015/SN+년/NNB
중반께	중반/NNG+께/XSN
이미	이미/MAG
사드	사드/NNG
배치	배치/NNG
결정을	결정/NNG+을/JKO
사실상	사실/NNG+상/XSN
내렸던	내리/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.352.3.2
이는 박근혜 정부가 처음으로 사드 배치 검토 입장을 밝혔던 때보다 적어도 반년 이상은 앞선 시점이어서 더욱 관심이 쏠린다.

이는	이/NP+는/JX
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
사드	사드/NNG
배치	배치/NNG
검토	검토/NNG
입장을	입장/NNG+을/JKO
밝혔던	밝히/VV+었/EP+던/ETM
때보다	때/NNG+보다/JKB
적어도	적어도/MAG
반년	반년/NNG
이상은	이상/NNG+은/JX
앞선	앞서/VV+ㄴ/ETM
시점이어서	시점/NNG+이/VCP+어서/EC
더욱	더욱/MAG
관심이	관심/NNG+이/JKS
쏠린다.	쏠리/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.352.4.1
정부의 한 고위 관계자는 사드를 둘러싼 한·미 간 공방이 일기에 앞서 <한겨레>에 “2015년 초·중반께 이미 사드 배치 결정은 다 끝난 일이었다.

정부의	정부/NNG+의/JKG
한	한/MMN
고위	고위/NNG
관계자는	관계자/NNG+는/JX
사드를	사드/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
한·미	한·미/NNP
간	간/NNB
공방이	공방/NNG+이/JKS
일기에	일/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
“2015년	“/SS+2015/SN+년/NNB
초·중반께	초·중반/NNG+께/XSN
이미	이미/MAG
사드	사드/NNG
배치	배치/NNG
결정은	결정/NNG+은/JX
다	다/MAG
끝난	끝나/VV+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.352.4.2
사드는 무조건 (배치)해야 한다는 결론적인 분위기가 정부 내에 팽배해 있었던 것 같다”고 전했다.

사드는	사드/NNG+는/JX
무조건	무/XPN+조건/NNG
(배치)해야	(/SS+배치/NNG+)/SS+하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
결론적인	결론/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기가	분위기/NNG+가/JKS
정부	정부/NNG
내에	내/NNB+에/JKB
팽배해	팽배/NNG+하/XSV+아/EC
있었던	있/VX+었/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.352.4.3
이 관계자는 자신도 정확한 내막을 알지는 못한다고 전제했으나, 2015년 중반쯤엔 사드 배치가 박근혜 정부의 확고한 방침으로 굳어진 상황이었다고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
자신도	자신/NNG+도/JX
정확한	정확/NNG+하/XSA+ㄴ/ETM
내막을	내막/NNG+을/JKO
알지는	알/VV+지/EC+는/JX
못한다고	못하/VX+ㄴ다고/EC
전제했으나,	전제/NNG+하/XSV+았/EP+으나/EC+,/SP
2015년	2015/SN+년/NNB
중반쯤엔	중반/NNG+쯤/XSN+에/JKB+ㄴ/JX
사드	사드/NNG
배치가	배치/NNG+가/JKS
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
확고한	확고하/VA+ㄴ/ETM
방침으로	방침/NNG+으로/JKB
굳어진	굳어지/VV+ㄴ/ETM
상황이었다고	상황/NNG+이/VCP+었/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.352.5.1
2014년 6월 커티스 스캐퍼로티 주한미군 사령관이 “한반도 사드 전개를 미국 정부에 요청”한 이래 줄곧 “사드 관련 요청·협의·결정이 없다”는 ‘3노(NO)’로 일관하던 정부가 입장 선회를 밝힌 것은 지난해 초였다.

2014년	2014/SN+년/NNB
6월	6/SN+월/NNB
커티스	커티스/NNP
스캐퍼로티	스캐퍼로티/NNP
주한미군	주한/NNG+미군/NNG
사령관이	사령관/NNG+이/JKS
“한반도	“/SS+한반도/NNP
사드	사드/NNG
전개를	전개/NNG+를/JKO
미국	미국/NNP
정부에	정부/NNG+에/JKB
요청”한	요청/NNG+”/SS+하/XSV+ㄴ/ETM
이래	이래/NNB
줄곧	줄곧/MAG
“사드	“/SS+사드/NNG
관련	관련/NNG
요청·협의·결정이	요청/NNG+·/SP+협의/NNG+·/SP+결정/NNG+이/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
‘3노(NO)’로	‘/SS+3/SN+노/NNG+(/SS+NO/SL+)/SS+’/SS+로/JKB
일관하던	일관/NNG+하/XSV+던/ETM
정부가	정부/NNG+가/JKS
입장	입장/NNG
선회를	선회/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
초였다.	초/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.352.5.2
당시 박근혜 대통령은 북한의 4차 핵실험(2016년 1월6일) 일주일 뒤인 1월13일, 대국민 담화에 이은 기자회견에서 “주한미군의 사드 배치 문제는 북한의 핵, 미사일 위협 등을 감안해 가면서 우리의 안보와 국익에 따라서 검토해 나갈 것”이라고 밝혔다.

당시	당시/NNG
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
북한의	북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험(2016년	핵/NNG+실험/NNG+(/SS+2016/SN+년/NNB
1월6일)	1/SN+월/NNB+6/SN+일/NNB+)/SS
일주일	일주일/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1월13일,	1/SN+월/NNB+13/SN+일/NNB+,/SP
대국민	대국민/NNG
담화에	담화/NNG+에/JKB
이은	잇/VV+은/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“주한미군의	“/SS+주한/NNG+미군/NNG+의/JKG
사드	사드/NNG
배치	배치/NNG
문제는	문제/NNG+는/JX
핵,	핵/NNG+,/SP
미사일	미사일/NNG
위협	위협/NNG
등을	등/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
가면서	가/VX+면서/EC
우리의	우리/NP+의/JKG
안보와	안보/NNG+와/JC
국익에	국익/NNG+에/JKB
따라서	따르/VV+아서/EC
검토해	검토/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.352.5.3
야권은 물론 중국의 강한 반발이 예상되는 상황이어서 박 대통령의 발언은 논란에 휩싸였다.

야권은	야권/NNG+은/JX
물론	물론/MAG
중국의	중국/NNP+의/JKG
강한	강하/VA+ㄴ/ETM
반발이	반발/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
박	박/NNP
대통령의	대통령/NNG+의/JKG
발언은	발언/NNG+은/JX
논란에	논란/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.352.5.4
이로부터 약 한 달 뒤 국방부는 한·미 당국이 사드 배치 협의를 공식적으로 시작했다고 밝혔다.

이로부터	이/NP+로부터/JKB
약	약/MMA
한	한/MMN
달	달/NNB
뒤	뒤/NNG
국방부는	국방부/NNG+는/JX
한·미	한·미/NNP
당국이	당국/NNG+이/JKS
사드	사드/NNG
배치	배치/NNG
협의를	협의/NNG+를/JKO
공식적으로	공식/NNG+적/XSN+으로/JKB
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


