# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.259
metadata : {}


# id : NWRW1800000041.259.1.1
[인천아시아경기]한국 우먼파워, 이번에도 거셌네

[인천아시아경기]한국	[/SS+인천/NNP+아시아/NNP+경기/NNG+]/SS+한국/NNP
우먼파워,	우먼파워/NNG+,/SP
이번에도	이번/NNG+에/JKB+도/JX
거셌네	거세/VA+었/EP+네/EF


# id : NWRW1800000041.259.2.1
양궁-골프 남자팀에 압도적 우세… 배구-하키 등 구기도 4종목 우승

양궁-골프	양궁/NNG+-/SO+골프/NNG
남자팀에	남자/NNG+팀/NNG+에/JKB
압도적	압도/NNG+적/XSN
우세…	우세/NNG+…/SE
배구-하키	배구/NNG+-/SO+하키/NNG
등	등/NNB
구기도	구기/NNG+도/JX
4종목	4/SN+종목/NNG
우승	우승/NNG


# id : NWRW1800000041.259.3.1
세계 최강으로 평가받는 한국 양궁은 인천 아시아경기를 앞두고 전 종목(금메달 8개) 석권을 목표로 세웠다.

세계	세계/NNG
최강으로	최강/NNG+으로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
한국	한국/NNP
양궁은	양궁/NNG+은/JX
인천	인천/NNP
아시아경기를	아시아/NNP+경기/NNG+를/JKO
앞두고	앞두/VV+고/EC
전	전/MMN
종목(금메달	종목/NNG+(/SS+금메달/NNG
8개)	8/SN+개/NNB+)/SS
석권을	석권/NNG+을/JKO
목표로	목표/NNG+로/JKB
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.259.3.2
대한양궁협회는 그 가운데 오진혁과 이승윤, 구본찬이 출전하는 리커브 남자 단체전을 확실한 금메달 종목으로 꼽았다.

대한양궁협회는	대한양궁협회/NNP+는/JX
그	그/MMD
가운데	가운데/NNG
오진혁과	오진혁/NNP+과/JC
이승윤,	이승윤/NNP+,/SP
구본찬이	구본찬/NNP+이/JKS
출전하는	출전/NNG+하/XSV+는/ETM
리커브	리커브/NNG
남자	남자/NNG
단체전을	단체전/NNG+을/JKO
확실한	확실하/VA+ㄴ/ETM
금메달	금메달/NNG
종목으로	종목/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.3.3
국제대회 성적과 선수들의 기량 등을 볼 때 역대 최강 전력이라 해도 과언이 아니었기 때문이다.

국제대회	국제/NNG+대회/NNG
성적과	성적/NNG+과/JC
선수들의	선수/NNG+들/XSN+의/JKG
기량	기량/NNG
등을	등/NNB+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
역대	역대/NNG
최강	최강/NNG
전력이라	전력/NNG+이/VCP+라/EC
해도	하/VV+아도/EC
과언이	과언/NNG+이/JKC
아니었기	아니/VCN+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.259.3.4
이에 비해 정다소미, 이특영, 장혜진 등 신예들로 구성된 여자 리커브 대표팀에 대해서는 기대보다 걱정이 앞섰다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
정다소미,	정다소미/NNP+,/SP
이특영,	이특영/NNP+,/SP
장혜진	장혜진/NNP
등	등/NNB
신예들로	신예/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
여자	여자/NNG
리커브	리커브/NNG
대표팀에	대표/NNG+팀/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
기대보다	기대/NNG+보다/JKB
걱정이	걱정/NNG+이/JKS
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.259.4.1
그런데 막상 뚜껑을 열어보니 결과는 정반대였다.

그런데	그런데/MAJ
막상	막상/MAG
뚜껑을	뚜껑/NNG+을/JKO
열어보니	열/VV+어/EC+보/VX+니/EC
결과는	결과/NNG+는/JX
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.259.4.2
남자 대표팀은 단체전 4강전에서 중국에 덜미를 잡혔다.

남자	남자/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
단체전	단체전/NNG
4강전에서	4/SN+강전/NNB+에서/JKB
중국에	중국/NNP+에/JKB
덜미를	덜미/NNG+를/JKO
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.259.4.3
세계랭킹 1위 이승윤도 개인전에서 일찌감치 탈락했다.

세계랭킹	세계/NNG+랭킹/NNG
1위	1/SN+위/NNB
이승윤도	이승윤/NNP+도/JX
개인전에서	개인전/NNG+에서/JKB
일찌감치	일찌감치/MAG
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.5.1
이에 비해 여자 대표팀은 승승장구하며 단체전 금메달을 목에 걸었다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
여자	여자/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
승승장구하며	승승장구/NNG+하/XSV+며/EC
단체전	단체전/NNG
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.259.5.2
개인전에서도 정다소미와 장혜진이 사이좋게 금, 은메달을 나눠 가졌다.

개인전에서도	개인전/NNG+에서/JKB+도/JX
정다소미와	정다소미/NNP+와/JC
장혜진이	장혜진/NNP+이/JKS
사이좋게	사이좋/VA+게/EC
금,	금/NNG+,/SP
은메달을	은메달/NNG+을/JKO
나눠	나누/VV+어/EC
가졌다.	가지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.259.6.1
여자 양궁은 컴파운드에서도 개인전과 단체전을 석권했다.

여자	여자/NNG
양궁은	양궁/NNG+은/JX
컴파운드에서도	컴파운드/NNG+에서/JKB+도/JX
개인전과	개인전/NNG+과/JC
단체전을	단체전/NNG+을/JKO
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.6.2
