# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.345
metadata : {}


# id : NWRW1800000054.345.1.1
'김정남 경호원 겸 내연녀' 서영란, 대남 공작원이었다

'김정남	'/SS+김정남/NNP
경호원	경호원/NNG
겸	겸/NNB
내연녀'	내연녀/NNG+'/SS
서영란,	서영란/NNP+,/SP
대남	대남/NNG
공작원이었다	공작원/NNG+이/VCP+었/EP+다/EF


# id : NWRW1800000054.345.2.1
이제껏 '서영라' 이름으로 알려져… 마카오서 동거, 사실상 셋째 부인

이제껏	이제껏/MAG
'서영라'	'/SS+서영라/NNP+'/SS
이름으로	이름/NNG+으로/JKB
알려져…	알려지/VV+어/EC+…/SE
마카오서	마카오/NNP+서/JKB
동거,	동거/NNG+,/SP
사실상	사실/NNG+상/XSN
셋째	셋째/NR
부인	부인/NNG


# id : NWRW1800000054.345.3.1
김정남이 마카오에서 동거하던 경호원 겸 '사실상의 셋째 부인' 서영란(41)은 북 대남공작 부서 출신인 것으로 19일 알려졌다.

김정남이	김정남/NNP+이/JKS
마카오에서	마카오/NNP+에서/JKB
동거하던	동거/NNG+하/XSV+던/ETM
경호원	경호원/NNG
겸	겸/NNB
'사실상의	'/SS+사실/NNG+상/XSN+의/JKG
셋째	셋째/NR
부인'	부인/NNG+'/SS
서영란(41)은	서영란/NNP+(/SS+41/SN+)/SS+은/JX
북	북/NNP
대남공작	대남/NNG+공작/NNG
부서	부서/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
19일	19/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.345.4.1
최근 우리 정보 당국 등이 확인한 바에 따르면, 서영란은 1976년 7월 2일 평양에서 태어나 1988년 10월 노동당 126연락소 직원으로 배치됐다.

최근	최근/MAG
우리	우리/NP
정보	정보/NNG
당국	당국/NNG
등이	등/NNB+이/JKS
확인한	확인/NNG+하/XSV+ㄴ/ETM
바에	바/NNB+에/JKB
따르면,	따르/VV+면/EC+,/SP
서영란은	서영란/NNP+은/JX
1976년	1976/SN+년/NNB
7월	7/SN+월/NNB
2일	2/SN+일/NNB
평양에서	평양/NNP+에서/JKB
태어나	태어나/VV+아/EC
1988년	1988/SN+년/NNB
10월	10/SN+월/NNB
노동당	노동당/NNP
126연락소	126/SN+연락소/NNG
직원으로	직원/NNG+으로/JKB
배치됐다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.345.4.2
'연락소'는 대남공작 부서의 다른 이름인 것으로 알려졌다.

'연락소'는	'/SS+연락소/NNG+'/SS+는/JX
대남공작	대남/NNG+공작/NNG
부서의	부서/NNG+의/JKG
다른	다른/MMD
이름인	이름/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.345.4.3
평양시민명부 확인 결과 북한 내 주소지는 평양 중구역 경상동이고 혈액형은 A형이었다.

평양시민명부	평양/NNP+시민/NNG+명부/NNG
확인	확인/NNG
결과	결과/NNG
북한	북한/NNP
내	내/NNB
주소지는	주소지/NNG+는/JX
평양	평양/NNP
중구역	중구역/NNP
경상동이고	경상동/NNP+이/VCP+고/EC
혈액형은	혈액/NNG+형/XSN+은/JX
A형이었다.	A/SL+형/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.345.4.4
그의 이름은 '서영라'라고도 쓰는 것으로 알려졌다.

그의	그/NP+의/JKG
이름은	이름/NNG+은/JX
'서영라'라고도	'/SS+서영라/NNP+'/SS+라고/JKQ+도/JX
쓰는	쓰/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.345.5.1
서영란은 김정남을 경호하면서도 그의 동향을 북한에 보고하는 역할을 모두 수행했지만, 시간이 지나면서 애정 관계로 발전한 것으로 우리 정보 당국은 보고 있다.

서영란은	서영란/NNP+은/JX
김정남을	김정남/NNP+을/JKO
경호하면서도	경호/NNG+하/XSV+면서/EC+도/JX
그의	그/NP+의/JKG
동향을	동향/NNG+을/JKO
북한에	북한/NNP+에/JKB
보고하는	보고/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
모두	모두/MAG
수행했지만,	수행/NNG+하/XSV+았/EP+지만/EC+,/SP
시간이	시간/NNG+이/JKS
지나면서	지나/VV+면서/EC
애정	애정/NNG
관계로	관계/NNG+로/JKB
발전한	발전/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
우리	우리/NP
정보	정보/NNG
당국은	당국/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.345.5.2
2001년 김정남이 위조여권으로 일본 입국을 시도하다 적발됐을 때, 명품 가방을 들고 선글라스를 낀 서영란의 모습이 언론에 포착되기도 했다.

2001년	2001/SN+년/NNB
김정남이	김정남/NNP+이/JKS
위조여권으로	위조/NNG+여권/NNG+으로/JKB
일본	일본/NNP
입국을	입국/NNG+을/JKO
시도하다	시도/NNG+하/XSV+다/EC
적발됐을	적발/NNG+되/XSV+었/EP+을/ETM
때,	때/NNG+,/SP
명품	명품/NNG
가방을	가방/NNG+을/JKO
들고	들/VV+고/EC
선글라스를	선글라스/NNG+를/JKO
낀	끼/VV+ㄴ/ETM
서영란의	서영란/NNP+의/JKG
모습이	모습/NNG+이/JKS
언론에	언론/NNG+에/JKB
포착되기도	포착/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.345.5.3
김정남은 2011년 서영란에 대해 '비서'라고 밝혔지만, 우리 정보 당국자는 "사실상 김정남의 셋째 부인이었고, 마카오에 거주하는 김정남의 둘째 부인 이혜경과 자녀들을 돌보는 역할도 맡았다"고 했다.

김정남은	김정남/NNP+은/JX
2011년	2011/SN+년/NNB
서영란에	서영란/NNP+에/JKB
대해	대하/VV+아/EC
'비서'라고	'/SS+비서/NNG+'/SS+라고/JKQ
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
우리	우리/NP
정보	정보/NNG
당국자는	당국자/NNG+는/JX
"사실상	"/SS+사실/NNG+상/XSN
김정남의	김정남/NNP+의/JKG
셋째	셋째/NR
부인이었고,	부인/NNG+이/VCP+었/EP+고/EC+,/SP
마카오에	마카오/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
둘째	둘째/NR
부인	부인/NNG
이혜경과	이혜경/NNP+과/JC
자녀들을	자녀/NNG+들/XSN+을/JKO
돌보는	돌보/VV+는/ETM
역할도	역할/NNG+도/JX
맡았다"고	맡/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.345.6.1
김정남의 지인은 최근 한 인터뷰에서 "(서영란이) 되게 예쁘다. 술도 잘 먹는다"며 "경호원이라고 보기는 뭐하지만 싸움을 잘하긴 한다"고 말했다.

김정남의	김정남/NNP+의/JKG
지인은	지인/NNG+은/JX
최근	최근/MAG
한	한/MMN
인터뷰에서	인터뷰/NNG+에서/JKB
"(서영란이)	"/SS+(/SS+서영란/NNP+이/JKS+)/SS
되게	되게/MAG
예쁘다.	예쁘/VA+다/EF+./SF
술도	술/NNG+도/JX
잘	잘/MAG
먹는다"며	먹/VV+는다/EF+"/SS+며/EC
"경호원이라고	"/SS+경호원/NNG+이/VCP+라고/EC
보기는	보/VV+기/ETN+는/JX
뭐하지만	뭐/NP+하/XSA+지만/EC
싸움을	싸움/NNG+을/JKO
잘하긴	잘/MAG+하/XSV+기/ETN+ㄴ/JX
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.345.6.2
일각에선 서영란이 오래전부터 평양과 연락이 두절됐거나, 김정남 암살 계획을 알면서도 묵인·방조했을 가능성도 거론된다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
서영란이	서영란/NNP+이/JKS
오래전부터	오래전/NNG+부터/JX
평양과	평양/NNP+과/JC
연락이	연락/NNG+이/JKS
두절됐거나,	두절/NNG+되/XSV+었/EP+거나/EC+,/SP
김정남	김정남/NNP
암살	암살/NNG
계획을	계획/NNG+을/JKO
알면서도	알/VV+면서/EC+도/JX
묵인·방조했을	묵인/NNG+·/SP+방조/NNG+하/XSV+았/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


