# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.425
metadata : {}


# id : NWRW1800000038.425.1.1
[한·러 정상회담] [뉴스 인사이드] 교황도 기다리게 했던… 정상회담 상습 지각 대장 푸틴

[한·러	[/SS+한·러/NNP
정상회담]	정상/NNG+회담/NNG+]/SS
[뉴스	[/SS+뉴스/NNG
인사이드]	인사이드/NNG+]/SS
교황도	교황/NNG+도/JX
기다리게	기다리/VV+게/EC
했던…	하/VX+았/EP+던/ETM+…/SE
정상회담	정상/NNG+회담/NNG
상습	상습/NNG
지각	지각/NNG
대장	대장/NNG
푸틴	푸틴/NNP


# id : NWRW1800000038.425.2.1
즉흥 행사하느라 회담 30분 지연… 오찬이 만찬 돼

즉흥	즉흥/NNG
행사하느라	행사/NNG+하/XSV+느라/EC
회담	회담/NNG
30분	30/SN+분/NNB
지연…	지연/NNG+…/SE
오찬이	오찬/NNG+이/JKS
만찬	만찬/NNG
돼	되/VV+어/EF


# id : NWRW1800000038.425.3.1
블라디미르 푸틴 러시아 대통령이 13일 한·러 정상회담에 30분이나 지각하고 방한 일정도 수시로 변경하는 이례적인 상황이 벌어졌다.

블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
대통령이	대통령/NNG+이/JKS
13일	13/SN+일/NNB
한·러	한·러/NNP
정상회담에	정상/NNG+회담/NNG+에/JKB
30분이나	30/SN+분/NNB+이나/JX
지각하고	지각/NNG+하/XSV+고/EC
방한	방한/NNG
일정도	일정/NNG+도/JX
수시로	수시로/MAG
변경하는	변경/NNG+하/XSV+는/ETM
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
상황이	상황/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.3.2
이로 인해 정상회담과 환영오찬 등 대부분 일정이 줄줄이 연기됐다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
정상회담과	정상/NNG+회담/NNG+과/JC
환영오찬	환영/NNG+오찬/NNG
등	등/NNB
대부분	대/XPN+부분/NNG
일정이	일정/NNG+이/JKS
줄줄이	줄줄이/MAG
연기됐다.	연기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.4.1
한국과 러시아는 지난 1일 푸틴 대통령이 12~13일 1박2일간 방한한다는 일정에 합의했다.

한국과	한국/NNP+과/JC
러시아는	러시아/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
푸틴	푸틴/NNP
대통령이	대통령/NNG+이/JKS
12~13일	12/SN+~/SO+13/SN+일/NNB
1박2일간	1/SN+박/NNB+2/SN+일/NNB+간/XSN
방한한다는	방한/NNG+하/XSV+ㄴ다는/ETM
일정에	일정/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.4.2
그러나 러시아 측은 지난 4일 돌연 12일 방한이 힘들다며 일정 변경을 요청했다.

그러나	그러나/MAJ
러시아	러시아/NNP
측은	측/NNB+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
돌연	돌연/MAG
12일	12/SN+일/NNB
방한이	방한/NNG+이/JKS
힘들다며	힘들/VA+다며/EC
일정	일정/NNG
변경을	변경/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.4.3
이틀간 순방을 13일 당일치기로 축소하자는 것이었다.

이틀간	이틀/NNG+간/XSN
순방을	순방/NNG+을/JKO
13일	13/SN+일/NNB
당일치기로	당일치기/NNG+로/JKB
축소하자는	축소/NNG+하/XSV+자는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.425.4.4
이 때문에 우리 정부는 정상회담 이틀 전인 11일에야 환영오찬 참석자들에게 오찬 시간을 통보했다.

이	이/MMD
때문에	때문/NNB+에/JKB
우리	우리/NP
정부는	정부/NNG+는/JX
정상회담	정상/NNG+회담/NNG
이틀	이틀/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
11일에야	11/SN+일/NNB+에/JKB+야/JX
환영오찬	환영/NNG+오찬/NNG
참석자들에게	참석자/NNG+들/XSN+에게/JKB
오찬	오찬/NNG
시간을	시간/NNG+을/JKO
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.5.1
러시아 측은 뚜렷한 일정 변경 사유를 밝히지 않았다고 한다.

러시아	러시아/NNP
측은	측/NNB+은/JX
뚜렷한	뚜렷하/VA+ㄴ/ETM
일정	일정/NNG
변경	변경/NNG
사유를	사유/NNG+를/JKO
밝히지	밝히/VV+지/EC
