# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.13
metadata : {}


# id : NWRW1800000022.13.1.1
[펀드 따라잡기] 게걸음 증시 속 '큰손'들이 찾는 '오토시스템매매펀드'

[펀드	[/SS+펀드/NNG
따라잡기]	따라잡/VV+기/ETN+]/SS
게걸음	게걸음/NNG
증시	증시/NNG
속	속/NNG
'큰손'들이	'/SS+큰손/NNG+'/SS+들/XSN+이/JKS
찾는	찾/VV+는/ETM
'오토시스템매매펀드'	'/SS+오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+'/SS


# id : NWRW1800000022.13.2.1
증시가 급등락을 멈추고 1000~1200 사이에서 옆으로 게걸음 하는 가운데 '오토시스템매매펀드'가 주목을 받고 있다.

증시가	증시/NNG+가/JKS
급등락을	급등락/NNG+을/JKO
멈추고	멈추/VV+고/EC
1000~1200	1000/SN+~/SO+1200/SN
사이에서	사이/NNG+에서/JKB
옆으로	옆/NNG+으로/JKB
게걸음	게걸음/NNG
하는	하/VV+는/ETM
가운데	가운데/NNG
'오토시스템매매펀드'가	'/SS+오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+'/SS+가/JKS
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.13.2.2
특히 '큰손' 고객들이 이 펀드에 관심을 보이고 있는 것으로 알려지고 있다.

특히	특히/MAG
'큰손'	'/SS+큰손/NNG+'/SS
고객들이	고객/NNG+들/XSN+이/JKS
이	이/MMD
펀드에	펀드/NNG+에/JKB
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려지고	알려지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.13.2.3
이 펀드는 지수 등락에 따라 연속분할매매를 통해 매매차익을 차곡차곡 쌓아나가는 상품이다.

이	이/MMD
펀드는	펀드/NNG+는/JX
지수	지수/NNG
등락에	등락/NNG+에/JKB
따라	따르/VV+아/EC
연속분할매매를	연속/NNG+분할/NNG+매매/NNG+를/JKO
통해	통하/VV+아/EC
매매차익을	매매/NNG+차익/NNG+을/JKO
차곡차곡	차곡차곡/MAG
쌓아나가는	쌓/VV+아/EC+나가/VX+는/ETM
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.13.2.4
초기에 투자자금의 일정 비율만큼 주식을 매입한 후 주가 하락 시 추가적으로 분할 매수하고, 주가가 상승할 경우 분할 매도해 수익을 누적시킨다.

초기에	초기/NNG+에/JKB
투자자금의	투자/NNG+자금/NNG+의/JKG
일정	일정/NNG
비율만큼	비율/NNG+만큼/JKB
주식을	주식/NNG+을/JKO
매입한	매입/NNG+하/XSV+ㄴ/ETM
후	후/NNG
주가	주가/NNG
하락	하락/NNG
시	시/NNB
추가적으로	추가/NNG+적/XSN+으로/JKB
분할	분할/NNG
매수하고,	매수/NNG+하/XSV+고/EC+,/SP
주가가	주가/NNG+가/JKS
상승할	상승/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
매도해	매도/NNG+하/XSV+아/EC
수익을	수익/NNG+을/JKO
누적시킨다.	누적/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.13.2.5
조정을 받는 증시에서 비교적 괜찮은 수익률을 거둔다는 평가다.

조정을	조정/NNG+을/JKO
받는	받/VV+는/ETM
증시에서	증시/NNG+에서/JKB
비교적	비교/NNG+적/XSN
괜찮은	괜찮/VA+은/ETM
수익률을	수익/NNG+률/XSN+을/JKO
거둔다는	거두/VV+ㄴ다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.13.3.1
하나대투증권이 최근 4년간 박스권 또는 하락장을 보인 구간을 선택해 오토시스템매매펀드와 일반주식펀드의 유형별 성과를 비교한 결과 오토시스템매매펀드가 5% 넘는 초과성과를 낸 것으로 조사됐다.

하나대투증권이	하나대투증권/NNP+이/JKS
최근	최근/MAG
4년간	4/SN+년/NNB+간/XSN
박스권	박스/NNG+권/XSN
또는	또는/MAG
하락장을	하락장/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
구간을	구간/NNG+을/JKO
선택해	선택/NNG+하/XSV+아/EC
오토시스템매매펀드와	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+와/JC
일반주식펀드의	일반/NNG+주식/NNG+펀드/NNG+의/JKG
유형별	유형/NNG+별/XSN
성과를	성과/NNG+를/JKO
비교한	비교/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
오토시스템매매펀드가	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+가/JKS
5%	5/SN+%/SW
넘는	넘/VV+는/ETM
초과성과를	초과/NNG+성과/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.13.3.2
작년 4분기 지수가 급락한 후에도 수익률이 나쁘지 않았다.

작년	작년/NNG
4분기	4/SN+분기/NNG
지수가	지수/NNG+가/JKS
급락한	급락/NNG+하/XSV+ㄴ/ETM
후에도	후/NNG+에/JKB+도/JX
수익률이	수익/NNG+률/XSN+이/JKS
