# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.51
metadata : {}


# id : NWRW1800000054.51.1.1
90년 전 일본 학자가 찍은 경주 발굴 사진 700장 공개

90년	90/SN+년/NNB
전	전/NNG
일본	일본/NNP
학자가	학자/NNG+가/JKS
찍은	찍/VV+은/ETM
경주	경주/NNP
발굴	발굴/NNG
사진	사진/NNG
700장	700/SN+장/NNB
공개	공개/NNG


# id : NWRW1800000054.51.2.1
1920~30년대 노세 우시조가 경주 일대 조사하며 촬영, 황복사터·헌덕왕릉 등 담겨… 경주학硏이 찾아 첫 공개

1920~30년대	1920/SN+~/SO+30/SN+년대/NNB
노세	노세/NNP
우시조가	우시조/NNP+가/JKS
경주	경주/NNP
일대	일대/NNG
조사하며	조사/NNG+하/XSV+며/EC
촬영,	촬영/NNG+,/SP
황복사터·헌덕왕릉	황복사/NNP+터/NNG+·/SP+헌덕왕릉/NNG
등	등/NNB
담겨…	담기/VV+어/EF+…/SE
경주학硏이	경주학/NNG+硏/SH+이/JKS
찾아	찾/VV+아/EC
첫	첫/MMN
공개	공개/NNG


# id : NWRW1800000054.51.3.1
일제시대 경북 경주시 구황동 황복사(皇福寺)터 삼층석탑(국보 제37호) 주변에 배치된 십이지상(十二支像·12간지 동물을 형상화한 상)이 어떻게 발굴 조사됐는지 보여주는 희귀 사진이 대거 공개됐다.

일제시대	일제시대/NNG
경북	경북/NNP
경주시	경주시/NNP
구황동	구황동/NNP
황복사(皇福寺)터	황복사/NNP+(/SS+皇福寺/SH+)/SS+터/NNG
삼층석탑(국보	삼/NR+층/NNG+석탑/NNG+(/SS+국보/NNG
제37호)	제/XPN+37/SN+호/NNB+)/SS
주변에	주변/NNG+에/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
십이지상(十二支像·12간지	십이지상/NNG+(/SS+十二支像/SH+·/SP+12/SN+간지/NNG
동물을	동물/NNG+을/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
상)이	상/NNG+)/SS+이/JKS
어떻게	어떻/VA+게/EC
발굴	발굴/NNG
조사됐는지	조사/NNG+되/XSV+었/EP+는지/EF
보여주는	보이/VV+어/EC+주/VX+는/ETM
희귀	희귀/NNG
사진이	사진/NNG+이/JKS
대거	대거/MAG
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.51.3.2
지금은 경관이 달라진 신라 왕릉의 1930년대 모습, 원원사(遠源寺)터에 나란히 서 있는 쌍탑인 삼층석탑(보물 제1429호)이 발굴·복원되는 과정도 생생히 담겼다.

지금은	지금/NNG+은/JX
경관이	경관/NNG+이/JKS
달라진	달라지/VV+ㄴ/ETM
신라	신라/NNP
왕릉의	왕릉/NNG+의/JKG
1930년대	1930/SN+년대/NNB
모습,	모습/NNG+,/SP
원원사(遠源寺)터에	원원사/NNP+(/SS+遠源寺/SH+)/SS+터/NNG+에/JKB
나란히	나란히/MAG
서	서/VV+어/EC
있는	있/VX+는/ETM
쌍탑인	쌍탑/NNG+이/VCP+ㄴ/ETM
삼층석탑(보물	삼/NR+층/NNG+석탑/NNG+(/SS+보물/NNG
제1429호)이	제/XPN+1429/SN+호/NNB+)/SS+이/JKS
발굴·복원되는	발굴/NNG+·/SP+복원/NNG+되/XSV+는/ETM
과정도	과정/NNG+도/JX
생생히	생생히/MAG
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.51.4.1
경주학연구원(원장 박임관)은 1920~1930년대 일본인 건축·고고학자 노세 우시조(能勢丑三·1889~1954)가 경주 황복사터, 헌덕왕릉, 원원사터 등 경주 일대를 발굴 조사하며 찍은 사진과 도면 700여장을 발굴, 30일 본지에 공개했다.

경주학연구원(원장	경주학연구원/NNP+(/SS+원장/NNG
박임관)은	박임관/NNP+)/SS+은/JX
1920~1930년대	1920/SN+~/SO+1930/SN+년대/NNB
일본인	일본인/NNG
건축·고고학자	건축/NNG+·/SP+고고학자/NNG
노세	노세/NNP
우시조(能勢丑三·1889~1954)가	우시조/NNP+(/SS+能勢丑三/SH+·/SP+1889/SN+~/SO+1954/SN+)/SS+가/JKS
경주	경주/NNP
황복사터,	황복사/NNP+터/NNG+,/SP
헌덕왕릉,	헌덕왕릉/NNG+,/SP
원원사터	원원사/NNP+터/NNG
등	등/NNB
일대를	일대/NNG+를/JKO
발굴	발굴/NNG
조사하며	조사/NNG+하/XSV+며/EC
찍은	찍/VV+은/ETM
사진과	사진/NNG+과/JC
도면	도면/NNG
700여장을	700/SN+여/XSN+장/NNB+을/JKO
발굴,	발굴/NNG+,/SP
30일	30/SN+일/NNB
본지에	본지/NNG+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.4.2
사진은 일본 나라시(奈良市)의 문화재 전문 사진회사인 아스카엔(飛鳥苑)에 유리건판 상태로 정리되지 않은 채 보관돼 있었다.

사진은	사진/NNG+은/JX
일본	일본/NNP
나라시(奈良市)의	나라시/NNP+(/SS+奈良市/SH+)/SS+의/JKG
문화재	문화재/NNG
전문	전문/NNG
사진회사인	사진/NNG+회사/NNG+이/VCP+ㄴ/ETM
아스카엔(飛鳥苑)에	아스카엔/NNP+(/SS+飛鳥苑/SH+)/SS+에/JKB
유리건판	유리/NNG+건판/NNG
상태로	상태/NNG+로/JKB
정리되지	정리/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
보관돼	보관/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.51.4.3
연구원은 경상북도와 사단법인 우리문화재찾기운동본부의 후원으로 지난해 11월 노세 사진의 전면 조사 및 국내 소개를 위한 계약을 체결했고 12월 아스카엔을 방문해 유리건판 필름을 일일이 재촬영했다.

연구원은	연구원/NNG+은/JX
경상북도와	경상북도/NNP+와/JC
사단법인	사단/NNG+법인/NNG
우리문화재찾기운동본부의	우리/NP+문화재/NNG+찾/VV+기/ETN+운동/NNG+본부/NNG+의/JKG
후원으로	후원/NNG+으로/JKB
지난해	지난해/NNG
11월	11/SN+월/NNB
노세	노세/NNP
사진의	사진/NNG+의/JKG
전면	전면/NNG
조사	조사/NNG
및	및/MAG
국내	국내/NNG
소개를	소개/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
계약을	계약/NNG+을/JKO
체결했고	체결/NNG+하/XSV+았/EP+고/EC
12월	12/SN+월/NNB
아스카엔을	아스카엔/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
유리건판	유리/NNG+건판/NNG
필름을	필름/NNG+을/JKO
일일이	일일이/MAG
재촬영했다.	재/XPN+촬영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.4.4
박임관 원장은 "노세가 남긴 사진 3700여장의 전모가 공개되는 건 처음"이라고 했다.

박임관	박임관/NNP
원장은	원장/NNG+은/JX
"노세가	"/SS+노세/NNP+가/JKS
남긴	남기/VV+ㄴ/ETM
사진	사진/NNG
3700여장의	3700/SN+여/XSN+장/NNB+의/JKG
전모가	전모/NNG+가/JKS
공개되는	공개/NNG+되/XSV+는/ETM
건	거/NNB+ㄴ/JX
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.4.5
경주 십이지상 등 한국 관련 사진이 700여장, 나머지는 일본·중국 문화재 사진들이다.

경주	경주/NNP
십이지상	십이지상/NNG
등	등/NNB
한국	한국/NNP
관련	관련/NNG
사진이	사진/NNG+이/JKS
700여장,	700/SN+여/XSN+장/NNB+,/SP
나머지는	나머지/NNG+는/JX
일본·중국	일본/NNP+·/SP+중국/NNP
문화재	문화재/NNG
사진들이다.	사진/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.51.5.1
◇신라 십이지상을 사랑한 '감격 선생'

◇신라	◇/SW+신라/NNP
십이지상을	십이지상/NNG+을/JKO
사랑한	사랑/NNG+하/XSV+ㄴ/ETM
'감격	'/SS+감격/NNG
선생'	선생/NNG+'/SS


# id : NWRW1800000054.51.6.1
노세 우시조는 1926년 서봉총 발굴 현장을 찾은 스웨덴 황태자 구스타프 아돌프의 수행단 일원으로 처음 경주에 왔다.

노세	노세/NNP
우시조는	우시조/NNP+는/JX
1926년	1926/SN+년/NNB
서봉총	서봉총/NNG
발굴	발굴/NNG
현장을	현장/NNG+을/JKO
찾은	찾/VV+은/ETM
스웨덴	스웨덴/NNP
황태자	황태자/NNG
구스타프	구스타프/NNP
아돌프의	아돌프/NNP+의/JKG
수행단	수행단/NNG
일원으로	일원/NNG+으로/JKB
처음	처음/NNG
경주에	경주/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.6.2
당시 서른일곱이던 그는 교토제국대학 공학부 건축학교실 조수였다.

당시	당시/NNG
서른일곱이던	서른/NR+일곱/NR+이/VCP+던/ETM
그는	그/NP+는/JX
교토제국대학	교토제국대학/NNP
공학부	공학부/NNG
건축학교실	건축학/NNG+교실/NNG
조수였다.	조수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.51.6.3
이 짧은 경주 방문이 그의 삶을 바꾸는 계기가 됐다.

이	이/MMD
짧은	짧/VA+은/ETM
경주	경주/NNP
방문이	방문/NNG+이/JKS
그의	그/NP+의/JKG
삶을	삶/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.51.6.4
경주의 문화유산, 특히 십이지상에 매료된 그는 이후 10여 차례 경주 유적지를 찾았고 사비를 털어 발굴·복원까지 벌였다.

경주의	경주/NNP+의/JKG
문화유산,	문화유산/NNG+,/SP
특히	특히/MAG
십이지상에	십이지상/NNG+에/JKB
매료된	매료/NNG+되/XSV+ㄴ/ETM
그는	그/NP+는/JX
이후	이후/NNG
10여	10/SN+여/XSN
차례	차례/NNG
경주	경주/NNP
유적지를	유적지/NNG+를/JKO
찾았고	찾/VV+았/EP+고/EC
사비를	사비/NNG+를/JKO
털어	털/VV+어/EC
발굴·복원까지	발굴/NNG+·/SP+복원/NNG+까지/JX
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.51.6.5
동료 학자 쓰노다 분에이(角田文衛) 고대학협회 이사장은 '고고학 교토학파'라는 글에서 "노세는 열정적으로 조선 고고학과 일본 석조공예사, 회화사를 연구했다. 신라 문화재만 보면 감격을 해서 당시 경주에서의 애칭이 '감격선생'이었다"고 소개했다.

동료	동료/NNG
학자	학자/NNG
쓰노다	쓰노다/NNP
분에이(角田文衛)	분에이/NNP+(/SS+角田文衛/SH+)/SS
고대학협회	고대학협회/NNP
이사장은	이사장/NNG+은/JX
'고고학	'/SS+고고학/NNG
교토학파'라는	교토/NNP+학파/NNG+'/SS+이/VCP+라는/ETM
글에서	글/NNG+에서/JKB
"노세는	"/SS+노세/NNP+는/JX
열정적으로	열정/NNG+적/XSN+으로/JKB
조선	조선/NNP
고고학과	고고학/NNG+과/JC
일본	일본/NNP
석조공예사,	석조/NNG+공예사/NNG+,/SP
회화사를	회화사/NNG+를/JKO
연구했다.	연구/NNG+하/XSV+았/EP+다/EF+./SF
신라	신라/NNP
문화재만	문화재/NNG+만/JX
보면	보/VV+면/EC
감격을	감격/NNG+을/JKO
해서	하/VV+아서/EC
당시	당시/NNG
경주에서의	경주/NNP+에서/JKB+의/JKG
애칭이	애칭/NNG+이/JKS
'감격선생'이었다"고	'/SS+감격/NNG+선생/NNG+'/SS+이/VCP+었/EP+다/EF+"/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.7.1
◇직접 발굴한 황복사터 십이지상 생생

◇직접	◇/SW+직접/MAG
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
황복사터	황복사/NNP+터/NNG
십이지상	십이지상/NNG
생생	생생/XR


# id : NWRW1800000054.51.8.1
그가 찍은 사진은 주로 십이지상에 집중돼 있다.

그가	그/NP+가/JKS
찍은	찍/VV+은/ETM
사진은	사진/NNG+은/JX
주로	주로/MAG
십이지상에	십이지상/NNG+에/JKB
집중돼	집중/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.51.8.2
특히 지금은 땅속에 묻혀 있는 황복사 건물지 기단 터 십이지상의 발굴 전 모습과 조사 과정, 조사 후의 모습이 고스란히 담겼다.

특히	특히/MAG
지금은	지금/NNG+은/JX
땅속에	땅속/NNG+에/JKB
묻혀	묻히/VV+어/EC
있는	있/VX+는/ETM
황복사	황복사/NNP
건물지	건물지/NNG
기단	기단/NNG
터	터/NNG
십이지상의	십이지상/NNG+의/JKG
발굴	발굴/NNG
전	전/NNG
모습과	모습/NNG+과/JC
조사	조사/NNG
과정,	과정/NNG+,/SP
후의	후/NNG+의/JKG
모습이	모습/NNG+이/JKS
고스란히	고스란히/MAG
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.51.8.3
사진을 검토한 이한상 대전대 교수는 "사찰 건물 주변을 한 면씩 파 들어가면서 십이지상이 한 변에 세 개씩 방형으로 노출되는 모습을 볼 수 있다"고 했다.

사진을	사진/NNG+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
이한상	이한상/NNP
대전대	대전대/NNP
교수는	교수/NNG+는/JX
"사찰	"/SS+사찰/NNG
건물	건물/NNG
주변을	주변/NNG+을/JKO
한	한/MMN
면씩	면/NNG+씩/XSN
파	파/VV+아/EC
들어가면서	들어가/VV+면서/EC
십이지상이	십이지상/NNG+이/JKS
변에	변/NNG+에/JKB
세	세/MMN
개씩	개/NNB+씩/XSN
방형으로	방형/NNG+으로/JKB
노출되는	노출/NNG+되/XSV+는/ETM
모습을	모습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.8.4
황복사는 경주 낭산(狼山) 동쪽에 있었던 신라 왕실 사찰로 삼층석탑은 통일신라시대 신문왕이 죽자 아들인 효소왕이 692년 아버지의 명복을 빌기 위해 세운 탑이다.

황복사는	황복사/NNP+는/JX
경주	경주/NNP
낭산(狼山)	낭산/NNP+(/SS+狼山/SH+)/SS
동쪽에	동쪽/NNG+에/JKB
있었던	있/VA+었/EP+던/ETM
신라	신라/NNP
왕실	왕실/NNG
사찰로	사찰/NNG+로/JKB
삼층석탑은	삼/NR+층/NNG+석탑/NNG+은/JX
통일신라시대	통일신라/NNP+시대/NNG
신문왕이	신문왕/NNP+이/JKS
죽자	죽/VV+자/EC
아들인	아들/NNG+이/VCP+ㄴ/ETM
효소왕이	효소왕/NNP+이/JKS
692년	692/SN+년/NNB
아버지의	아버지/NNG+의/JKG
명복을	명복/NNG+을/JKO
빌기	빌/VV+기/ETN
위해	위하/VV+아/EC
세운	세우/VV+ㄴ/ETM
탑이다.	탑/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.51.8.5
이 교수는 "보통 십이지상은 무덤 둘레에 세우거나 탑 표면에 새기는데 왜 사찰 건물 기단에 십이지상을 배치했는지 의문이 간다. 왕릉에 쓰였던 십이지상을 옮겨 사용했을 가능성, 왕의 명복을 빌기 위한 특별한 의례 공간일 가능성도 있다"며 "향후 연구를 통해 밝혀야 할 부분"이라고 했다.

이	이/NNP
교수는	교수/NNG+는/JX
"보통	"/SS+보통/MAG
십이지상은	십이지상/NNG+은/JX
무덤	무덤/NNG
둘레에	둘레/NNG+에/JKB
세우거나	세우/VV+거나/EC
탑	탑/NNG
표면에	표면/NNG+에/JKB
새기는데	새기/VV+는데/EC
왜	왜/MAG
사찰	사찰/NNG
건물	건물/NNG
기단에	기단/NNG+에/JKB
십이지상을	십이지상/NNG+을/JKO
배치했는지	배치/NNG+하/XSV+았/EP+는지/EF
의문이	의문/NNG+이/JKS
간다.	가/VV+ㄴ다/EF+./SF
왕릉에	왕릉/NNG+에/JKB
쓰였던	쓰이/VV+었/EP+던/ETM
옮겨	옮기/VV+어/EC
사용했을	사용/NNG+하/XSV+았/EP+을/ETM
가능성,	가능/NNG+성/XSN+,/SP
왕의	왕/NNG+의/JKG
명복을	명복/NNG+을/JKO
빌기	빌/VV+기/ETN
위한	위하/VV+ㄴ/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
의례	의례/NNG
