# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.51
metadata : {}


# id : NWRW1800000022.51.1.1
"용산사태 확산 막는 데 군포살인 활용" 이메일 경찰청 보낸 청와대 행정관 경고

"용산사태	"/SS+용산/NNP+사태/NNG
확산	확산/NNG
막는	막/VV+는/ETM
데	데/NNB
군포살인	군포/NNP+살인/NNG
활용"	활용/NNG+"/SS
이메일	이메일/NNG
경찰청	경찰청/NNG
보낸	보내/VV+ㄴ/ETM
청와대	청와대/NNP
행정관	행정관/NNG
경고	경고/NNG


# id : NWRW1800000022.51.2.1
청와대가 경찰청에 "용산 사태를 통한 촛불시위 확산에 대응하기 위해 군포살인사건을 활용하라"는 지침을 보냈다는 민주당의 의혹제기에 대해, 청와대가 13일 개인 이메일을 경찰청에 보낸 행정관에 대해 구두경고 조치를 내렸다.

청와대가	청와대/NNP+가/JKS
경찰청에	경찰청/NNG+에/JKB
"용산	"/SS+용산/NNP
사태를	사태/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
촛불시위	촛불/NNG+시위/NNG
확산에	확산/NNG+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
군포살인사건을	군포/NNP+살인/NNG+사건/NNG+을/JKO
활용하라"는	활용/NNG+하/XSV+라/EF+"/SS+는/ETM
지침을	지침/NNG+을/JKO
보냈다는	보내/VV+었/EP+다는/ETM
민주당의	민주당/NNP+의/JKG
의혹제기에	의혹/NNG+제기/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
13일	13/SN+일/NNB
개인	개인/NNG
이메일을	이메일/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
행정관에	행정관/NNG+에/JKB
대해	대하/VV+아/EC
구두경고	구두/NNG+경고/NNG
조치를	조치/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.51.2.2
민주당 김유정 의원이 지난 11일 국회 긴급현안 질의에서 이 문제를 제기하자, 청와대는 "그런 지침을 내려 보낸 적이 없다"고 했었다.

민주당	민주당/NNP
김유정	김유정/NNP
의원이	의원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
국회	국회/NNG
긴급현안	긴급/NNG+현안/NNG
질의에서	질의/NNG+에서/JKB
이	이/MMD
문제를	문제/NNG+를/JKO
제기하자,	제기/NNG+하/XSV+자/EC+,/SP
청와대는	청와대/NNP+는/JX
"그런	"/SS+그런/MMD
지침을	지침/NNG+을/JKO
내려	내리/VV+어/EC
보낸	보내/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000022.51.2.3
김 의원은 당시 경찰청 내부 제보라고 밝히면서, "지침에는 '용산참사로 빚어진 경찰에 대한 부정적 프레임(frame)을 연쇄살인사건 해결이라는 긍정적 프레임으로 바꿀 절호의 기회' '언론이 경찰 입만 바라보고 있는 실정이니 계속 기삿거리를 제공해 촛불 차단에 만전을 기해달라'는 내용이 있다"고 주장했었다.

김	김/NNP
의원은	의원/NNG+은/JX
당시	당시/NNG
경찰청	경찰청/NNG
내부	내부/NNG
제보라고	제보/NNG+이/VCP+라고/EC
밝히면서,	밝히/VV+면서/EC+,/SP
"지침에는	"/SS+지침/NNG+에/JKB+는/JX
'용산참사로	'/SS+용산/NNP+참사/NNG+로/JKB
빚어진	빚어지/VV+ㄴ/ETM
경찰에	경찰/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부정적	부정/NNG+적/XSN
프레임(frame)을	프레임/NNG+(/SS+frame/SL+)/SS+을/JKO
연쇄살인사건	연쇄/NNG+살인/NNG+사건/NNG
해결이라는	해결/NNG+이/VCP+라는/ETM
긍정적	긍정/NNG+적/XSN
프레임으로	프레임/NNG+으로/JKB
바꿀	바꾸/VV+ㄹ/ETM
절호의	절호/NNG+의/JKG
기회'	기회/NNG+'/SS
'언론이	'/SS+언론/NNG+이/JKS
경찰	경찰/NNG
입만	입/NNG+만/JX
바라보고	바라보/VV+고/EC
있는	있/VX+는/ETM
실정이니	실정/NNG+이/VCP+니/EC
계속	계속/MAG
기삿거리를	기삿거리/NNG+를/JKO
제공해	제공/NNG+하/XSV+아/EC
촛불	촛불/NNG
차단에	차단/NNG+에/JKB
