# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.298
metadata : {}


# id : NWRW1800000049.298.1.1
[손진호 어문기자의 말글 나들이]젠장!

[손진호	[/SS+손진호/NNP
어문기자의	어문/NNG+기자/NNG+의/JKG
말글	말글/NNG
나들이]젠장!	나들이/NNG+]/SS+젠장/IC+!/SF


# id : NWRW1800000049.298.2.1
진경준 전 검사장이 김정주 NXC 대표로부터 받은 9억5000여만 원을 뇌물로 보기 어렵다는 법원의 1심 판결이 나왔다.

진경준	진경준/NNP
전	전/MMD
검사장이	검사장/NNG+이/JKS
김정주	김정주/NNP
NXC	NXC/SL
대표로부터	대표/NNG+로부터/JKB
받은	받/VV+은/ETM
9억5000여만	9/SN+억/NR+5000/SN+여/XSN+만/NR
원을	원/NNB+을/JKO
뇌물로	뇌물/NNG+로/JKB
보기	보/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
법원의	법원/NNG+의/JKG
1심	1심/NNG
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.298.2.2
직무 연관성과 대가성이 입증되지 않은 데다 두 사람은 일반적인 친구 사이를 넘어 ‘지음(知音)의 관계’란 게 그 이유다.

직무	직무/NNG
연관성과	연관/NNG+성/XSN+과/JC
대가성이	대가/NNG+성/XSN+이/JKS
입증되지	입증/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
데다	데/NNB+다/JX
두	두/MMN
사람은	사람/NNG+은/JX
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
친구	친구/NNG
사이를	사이/NNG+를/JKO
넘어	넘/VV+어/EC
‘지음(知音)의	‘/SS+지음/NNG+(/SS+知音/SH+)/SS+의/JKG
관계’란	관계/NNG+’/SS+이/VCP+란/ETM
게	거/NNB+이/JKS
그	그/MMD
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.2.3
지음은 중국 춘추시대의 거문고 명인 백아가 자기의 ‘소리를 알아준’ 벗 종자기가 죽자 자신의 거문고 줄을 끊었다는 데서 유래한다.

지음은	지음/NNG+은/JX
중국	중국/NNP
춘추시대의	춘추/NNG+시대/NNG+의/JKG
거문고	거문고/NNG
명인	명인/NNG
백아가	백아/NNP+가/JKS
자기의	자기/NP+의/JKG
‘소리를	‘/SS+소리/NNG+를/JKO
알아준’	알아주/VV+ㄴ/ETM+’/SS
벗	벗/NNG
종자기가	종자기/NNP+가/JKS
죽자	죽/VV+자/EC
자신의	자신/NNG+의/JKG
줄을	줄/NNG+을/JKO
끊었다는	끊/VV+었/EP+다는/ETM
데서	데/NNB+서/JKB
유래한다.	유래/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.2.4
열자(列子)의 탕문편(湯問篇)에 나온다.

열자(列子)의	열자/NNP+(/SS+列子/SH+)/SS+의/JKG
탕문편(湯問篇)에	탕문/NNG+편/NNB+(/SS+湯問篇/SH+)/SS+에/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.2.5
이 판결대로라면 사람들은 이제 뇌물을 주고받는 걸 비난할 게 아니라 김 대표 같은 친구를 두지 못한 자신을 탓해야만 한다.

이	이/MMD
판결대로라면	판결/NNG+대로/JX+이/VCP+라면/EC
사람들은	사람/NNG+들/XSN+은/JX
이제	이제/MAG
뇌물을	뇌물/NNG+을/JKO
주고받는	주고받/VV+는/ETM
걸	거/NNB+ㄹ/JKO
비난할	비난/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
김	김/NNP
대표	대표/NNG
같은	같/VA+은/ETM
친구를	친구/NNG+를/JKO
두지	두/VV+지/EC
못한	못하/VX+ㄴ/ETM
자신을	자신/NNG+을/JKO
탓해야만	탓/NNG+하/XSV+아야만/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.298.2.6
젠장!

젠장!	젠장/IC+!/SF


# id : NWRW1800000049.298.3.1
‘젠장’은 뜻에 맞지 않거나 불만스러울 때 혼자서 하는 욕이다.

‘젠장’은	‘/SS+젠장/IC+’/SS+은/JX
뜻에	뜻/NNG+에/JKB
맞지	맞/VV+지/EC
않거나	않/VX+거나/EC
불만스러울	불만/NNG+스럽/XSA+ㄹ/ETM
때	때/NNG
혼자서	혼자/NNG+서/JKS
하는	하/VV+는/ETM
욕이다.	욕/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.3.2
‘제기 난장’의 준말이다.

‘제기	‘/SS+제기/IC
난장’의	난장/NNG+’/SS+의/JKG
준말이다.	준말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.3.3
‘제기’는 ‘제기랄’이고, 난장(亂杖)은 조선시대에 매로 몸 전체를 마구 때리던 고문을 말한다.

‘제기’는	‘/SS+제기/IC+’/SS+는/JX
‘제기랄’이고,	‘/SS+제기랄/IC+’/SS+이/VCP+고/EC+,/SP
난장(亂杖)은	난장/NNG+(/SS+亂杖/SH+)/SS+은/JX
조선시대에	조선시대/NNG+에/JKB
매로	매/NNG+로/JKB
몸	몸/NNG
전체를	전체/NNG+를/JKO
마구	마구/MAG
때리던	때리/VV+던/ETM
고문을	고문/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.3.4
난장이 ‘치다’ ‘맞다’와 호응해서인지 사전엔 ‘난장칠’ ‘난장맞을’이 표제어로 올라 있다.

난장이	난장/NNG+이/JKS
‘치다’	‘/SS+치/VV+다/EF+’/SS
‘맞다’와	‘/SS+맞/VV+다/EF+’/SS+와/JKB
호응해서인지	호응/NNG+하/XSV+아서/EC+이/VCP+ㄴ지/EC
사전엔	사전/NNG+에/JKB+ㄴ/JX
‘난장칠’	‘/SS+난장칠/IC+’/SS
‘난장맞을’이	‘/SS+난장맞을/IC+’/SS+이/JKS
표제어로	표제어/NNG+로/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.298.4.1
한데 이상하다.

한데	한데/MAG
이상하다.	이상/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.298.4.2
언중은 너나없이 사전에도 없는, ‘제기랄, 난장을 맞을’의 준말인 ‘젠장할!’을 입길에 올린다.

언중은	언중/NNG+은/JX
너나없이	너나없이/MAG
사전에도	사전/NNG+에/JKB+도/JX
없는,	없/VA+는/ETM+,/SP
‘제기랄,	‘/SS+제기랄/IC+,/SP
난장을	난장/NNG+을/JKO
맞을’의	맞/VV+을/ETM+’/SS+의/JKG
준말인	준말/NNG+이/VCP+ㄴ/ETM
‘젠장할!’을	‘/SS+젠장할/IC+!/SF+’/SS+을/JKO
입길에	입길/NNG+에/JKB
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.4.3
입말에서 멀어진 ‘난장칠’만 고집할 게 아니라 ‘젠장할’을 표제어로 삼는 걸 검토할 때가 왔다.

입말에서	입말/NNG+에서/JKB
