# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.268
metadata : {}


# id : NWRW1800000049.268.1.1
[횡설수설/허문명]미스 사이공이 오바마를 만난다면

[횡설수설/허문명]미스	[/SS+횡설수설/NNG+//SP+허문명/NNP+]/SS+미스/NNG
사이공이	사이공/NNP+이/JKS
오바마를	오바마/NNP+를/JKO
만난다면	만나/VV+ㄴ다면/EC


# id : NWRW1800000049.268.2.1
17세 베트남 처녀 킴과 미군 병사 크리스는 하룻밤을 함께 보낸 뒤 서로 다른 세계에 있던 자신들이 만난 것이 기적이라 노래한다.

17세	17/SN+세/NNB
베트남	베트남/NNP
처녀	처녀/NNG
킴과	킴/NNP+과/JC
미군	미군/NNG
병사	병사/NNG
크리스는	크리스/NNP+는/JX
하룻밤을	하룻밤/NNG+을/JKO
함께	함께/MAG
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
세계에	세계/NNG+에/JKB
있던	있/VA+던/ETM
자신들이	자신/NNG+들/XSN+이/JKS
만난	만나/VV+ㄴ/ETM
것이	것/NNB+이/JKS
기적이라	기적/NNG+이/VCP+라/EC
노래한다.	노래/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.268.2.2
“그댄 햇살/난 달빛/하늘을 함께 나눠 갖네….”

“그댄	“/SS+그대/NP+ㄴ/JX
햇살/난	햇살/NNG+//SP+나/NP+ㄴ/JX
달빛/하늘을	달빛/NNG+//SP+하늘/NNG+을/JKO
함께	함께/MAG
나눠	나누/VV+어/EC
갖네….”	갖/VV+네/EF+…/SE+./SF+”/SS


# id : NWRW1800000049.268.2.3
베트남전쟁을 배경으로 한 뮤지컬 ‘미스 사이공’에서 가장 아름다운 장면이다.

베트남전쟁을	베트남/NNP+전쟁/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
한	하/VV+ㄴ/ETM
뮤지컬	뮤지컬/NNG
‘미스	‘/SS+미스/NNG
사이공’에서	사이공/NNP+’/SS+에서/JKB
가장	가장/MAG
아름다운	아름답/VA+ㄴ/ETM
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.268.2.4
1975년 사이공(현 호찌민) 함락 장면 때 미군 철수를 위해 실물 크기 헬리콥터가 등장하는 장면도 장관이지만 베트남인이 사는 곳을 사창가로, 조국을 위해 싸우는 베트콩 청년을 공포의 대상으로, 미군을 구원자로 묘사했다는 비판도 없지 않았다.

1975년	1975/SN+년/NNB
사이공(현	사이공/NNP+(/SS+현/MMD
호찌민)	호찌민/NNP+)/SS
함락	함락/NNG
장면	장면/NNG
때	때/NNG
미군	미군/NNG
철수를	철수/NNG+를/JKO
위해	위하/VV+아/EC
실물	실물/NNG
크기	크기/NNG
헬리콥터가	헬리콥터/NNG+가/JKS
등장하는	등장/NNG+하/XSV+는/ETM
장면도	장면/NNG+도/JX
장관이지만	장관/NNG+이/VCP+지만/EC
베트남인이	베트남인/NNG+이/JKS
사는	살/VV+는/ETM
곳을	곳/NNG+을/JKO
사창가로,	사창가/NNG+로/JKB+,/SP
조국을	조국/NNG+을/JKO
싸우는	싸우/VV+는/ETM
베트콩	베트콩/NNG
청년을	청년/NNG+을/JKO
공포의	공포/NNG+의/JKG
대상으로,	대상/NNG+으로/JKB+,/SP
미군을	미군/NNG+을/JKO
구원자로	구원자/NNG+로/JKB
묘사했다는	묘사/NNG+하/XSV+았/EP+다는/ETM
비판도	비판/NNG+도/JX
없지	없/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.268.3.1
▷베트남전쟁 때 미군이 떨어뜨린 폭탄은 2차대전 참전국 전체가 사용한 폭탄보다 3배나 많고 파괴력은 히로시마 원자탄 640개와 맞먹는다.

▷베트남전쟁	▷/SW+베트남/NNP+전쟁/NNG
때	때/NNG
미군이	미군/NNG+이/JKS
떨어뜨린	떨어뜨리/VV+ㄴ/ETM
폭탄은	폭탄/NNG+은/JX
2차대전	2/SN+차/NNB+대전/NNG
참전국	참전국/NNG
전체가	전체/NNG+가/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
폭탄보다	폭탄/NNG+보다/JKB
3배나	3/SN+배/NNG+나/JX
많고	많/VA+고/EC
파괴력은	파괴력/NNG+은/JX
히로시마	히로시마/NNP
원자탄	원자탄/NNG
640개와	640/SN+개/NNB+와/JKB
맞먹는다.	맞먹/VV+는다/EF+./SF


# id : NWRW1800000049.268.3.2
그러고도 최강 미국은 패했다.

그러고도	그러/VV+고도/EC
최강	최강/NNG
미국은	미국/NNP+은/JX
패했다.	패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.268.3.3
지금도 호찌민 시 필수 관광 명소인 베트남 전쟁박물관은 베트남이 미국과 싸울 때 쓴 전투기 탱크는 물론이고 좁은 감옥에 갇힌 사람 모형 위로 살아있는 박쥐들을 풀어놓아 반미 감정과 공포감을 극대화한다.

지금도	지금/NNG+도/JX
호찌민	호찌민/NNP
시	시/NNG
필수	필수/NNG
관광	관광/NNG
명소인	명소/NNG+이/VCP+ㄴ/ETM
베트남	베트남/NNP
전쟁박물관은	전쟁/NNG+박물관/NNG+은/JX
베트남이	베트남/NNP+이/JKS
미국과	미국/NNP+과/JKB
싸울	싸우/VV+ㄹ/ETM
때	때/NNG
쓴	쓰/VV+ㄴ/ETM
전투기	전투기/NNG
탱크는	탱크/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
좁은	좁/VA+은/ETM
감옥에	감옥/NNG+에/JKB
갇힌	갇히/VV+ㄴ/ETM
사람	사람/NNG
모형	모형/NNG
위로	위/NNG+로/JKB
살아있는	살/VV+아/EC+있/VX+는/ETM
박쥐들을	박쥐/NNG+들/XSN+을/JKO
풀어놓아	풀어놓/VV+아/EC
반미	반미/NNG
감정과	감정/NNG+과/JC
공포감을	공포감/NNG+을/JKO
극대화한다.	극대/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.268.4.1
▷어제 버락 오바마 미국 대통령은 불구대천의 원수였으며 적국의 지도자였던 호찌민 전 주석 흉상 앞에 섰다.

▷어제	▷/SW+어제/MAG
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
불구대천의	불구대천/NNG+의/JKG
원수였으며	원수/NNG+이/VCP+었/EP+으며/EC
적국의	적국/NNG+의/JKG
지도자였던	지도자/NNG+이/VCP+었/EP+던/ETM
호찌민	호찌민/NNP
전	전/MMD
주석	주석/NNG
흉상	흉상/NNG
앞에	앞/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.268.4.2
1995년 베트남과 수교한 이후 미 대통령으로 세 번째 방문한 자리에서 살상무기 수출 금지 조치를 40여 년 만에 푸는 통 큰 합의를 했다.

1995년	1995/SN+년/NNB
베트남과	베트남/NNP+과/JKB
수교한	수교/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
미	미/NNP
대통령으로	대통령/NNG+으로/JKB
세	세/MMN
번째	번/NNB+째/XSN
방문한	방문/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
살상무기	살상/NNG+무기/NNG
수출	수출/NNG
금지	금지/NNG
조치를	조치/NNG+를/JKO
40여	40/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
푸는	풀/VV+는/ETM
통	통/NNG
큰	크/VA+ㄴ/ETM
합의를	합의/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.268.4.3
95년 국교 정상화를 했어도 전쟁의 상흔 때문에 군사 분야까지 적극적 협력에 나서지 못했던 양국이 마지막 빗장을 허문 것이다.

95년	95/SN+년/NNB
국교	국교/NNG
정상화를	정상/NNG+화/XSN+를/JKO
했어도	하/VV+았/EP+어도/EC
전쟁의	전쟁/NNG+의/JKG
상흔	상흔/NNG
때문에	때문/NNB+에/JKB
군사	군사/NNG
분야까지	분야/NNG+까지/JX
적극적	적극/NNG+적/XSN
협력에	협력/NNG+에/JKB
나서지	나서/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
양국이	양국/NNG+이/JKS
마지막	마지막/NNG
빗장을	빗장/NNG+을/JKO
허문	허물/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.268.4.4
‘중국’ 때문이었다.

‘중국’	‘/SS+중국/NNP+’/SS
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.268.5.1
▷베트남은 호찌민 시까지 한 시간 거리에 불과한 난사 군도에 중국이 활주로 건설을 시작하자 살상무기 수출 금지 조치를 풀어 달라고 지속적으로 요구해왔다.

▷베트남은	▷/SW+베트남/NNP+은/JX
호찌민	호찌민/NNP
시까지	시/NNG+까지/JX
한	한/MMN
시간	시간/NNG
거리에	거리/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
난사	난사/NNP
군도에	군도/NNG+에/JKB
중국이	중국/NNP+이/JKS
활주로	활주로/NNG
건설을	건설/NNG+을/JKO
시작하자	시작/NNG+하/XSV+자/EC
살상무기	살상/NNG+무기/NNG
수출	수출/NNG
금지	금지/NNG
조치를	조치/NNG+를/JKO
풀어	풀/VV+어/EC
달라고	달/VX+라고/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
요구해왔다.	요구/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.268.5.2
인권 상황을 거론하며 들어주지 않던 미국도 중국의 팽창주의를 더이상 좌시할 수 없다는 이해관계가 맞아떨어지자 숙원을 해결해줬다.

인권	인권/NNG
상황을	상황/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
들어주지	들어주/VV+지/EC
않던	않/VX+던/ETM
미국도	미국/NNP+도/JX
중국의	중국/NNP+의/JKG
팽창주의를	팽창주의/NNG+를/JKO
더이상	더/MAG+이상/NNG
좌시할	좌시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
이해관계가	이해관계/NNG+가/JKS
맞아떨어지자	맞아떨어지/VV+자/EC
숙원을	숙원/NNG+을/JKO
해결해줬다.	해결/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.268.5.3
과거 원수와 손을 잡고 한때 이념적 동지(중국)와는 멀어지는 베트남의 행보는 격세지감을 느끼게 한다.

과거	과거/NNG
원수와	원수/NNG+와/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
한때	한때/NNG
이념적	이념/NNG+적/XSN
동지(중국)와는	동지/NNG+(/SS+중국/NNP+)/SS+와/JKB+는/JX
멀어지는	멀어지/VV+는/ETM
베트남의	베트남/NNP+의/JKG
행보는	행보/NNG+는/JX
격세지감을	격세지감/NNG+을/JKO
느끼게	느끼/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.268.5.4
