# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.173
metadata : {}


# id : NWRW1800000053.173.1.1
[단독]서울대, 기회균형 신입생에 ‘맞춤형 과외’

[단독]서울대,	[/SS+단독/NNG+]/SS+서울대/NNP+,/SP
기회균형	기회/NNG+균형/NNG
신입생에	신입/NNG+생/XSN+에/JKB
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
과외’	과외/NNG+’/SS


# id : NWRW1800000053.173.2.1
비교과 활동 적응 지원 넘어… 하반기부터 영어-수학 기초교육

비교과	비/XPN+교과/NNG
활동	활동/NNG
적응	적응/NNG
지원	지원/NNG
넘어…	넘/VV+어/EF+…/SE
하반기부터	하반기/NNG+부터/JX
영어-수학	영어/NNP+-/SO+수학/NNG
기초교육	기초/NNG+교육/NNG


# id : NWRW1800000053.173.3.1
서울대가 기회균형선발특별전형(기회균형전형)으로 입학한 농어촌지역 출신이나 저소득층 학생을 위해 ‘개인 과외’ 프로그램을 진행한다.

서울대가	서울대/NNP+가/JKS
기회균형선발특별전형(기회균형전형)으로	기회/NNG+균형/NNG+선발/NNG+특별/NNG+전형/NNG+(/SS+기회/NNG+균형/NNG+전형/NNG+)/SS+으로/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
농어촌지역	농어촌/NNG+지역/NNG
출신이나	출신/NNG+이나/JC
저소득층	저/XPN+소득/NNG+층/XSN
학생을	학생/NNG+을/JKO
위해	위하/VV+아/EC
‘개인	‘/SS+개인/NNG
과외’	과외/NNG+’/SS
프로그램을	프로그램/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.173.4.1
22일 서울대에 따르면 올 2학기부터 기회균형전형 입학생 중 학업에 어려움을 겪는 학생을 대상으로 ‘맞춤형 일대일 교과목 튜터링’이 시행된다.

22일	22/SN+일/NNB
서울대에	서울대/NNP+에/JKB
따르면	따르/VV+면/EC
올	올/NNG
2학기부터	2/SN+학기/NNG+부터/JX
기회균형전형	기회/NNG+균형/NNG+전형/NNG
입학생	입학/NNG+생/XSN
중	중/NNB
학업에	학업/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
학생을	학생/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
일대일	일대일/NNG
교과목	교과목/NNG
튜터링’이	튜터링/NNG+’/SS+이/JKS
시행된다.	시행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.173.4.2
2013년부터 교수학습개발센터가 진행해 온 ‘서브라임 학습공동체 프로그램’을 성격에 맞춰 바꾼 것이다.

2013년부터	2013/SN+년/NNB+부터/JX
교수학습개발센터가	교수/NNG+학습/NNG+개발/NNG+센터/NNG+가/JKS
진행해	진행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
‘서브라임	‘/SS+서브라임/NNG
학습공동체	학습/NNG+공동체/NNG
프로그램’을	프로그램/NNG+’/SS+을/JKO
성격에	성격/NNG+에/JKB
맞춰	맞추/VV+어/EC
바꾼	바꾸/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.173.5.1
교수학습개발센터는 상대적으로 사교육을 받을 기회가 적었던 농어촌지역 및 차상위 계층 신입생들을 대상으로 서브라임 프로그램을 진행해 왔다.

교수학습개발센터는	교수/NNG+학습/NNG+개발/NNG+센터/NNG+는/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
사교육을	사교육/NNG+을/JKO
받을	받/VV+을/ETM
기회가	기회/NNG+가/JKS
적었던	적/VA+었/EP+던/ETM
농어촌지역	농어촌/NNG+지역/NNG
및	및/MAG
차상위	차상위/NNG
계층	계층/NNG
신입생들을	신입/NNG+생/XSN+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
서브라임	서브라임/NNG
프로그램을	프로그램/NNG+을/JKO
진행해	진행/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.173.5.2
혹시 있을지 모르는 학교생활 적응 과정에서의 어려움을 파악해 도움을 주는 게 목적이다.

혹시	혹시/MAG
있을지	있/VV+을지/EF
모르는	모르/VV+는/ETM
학교생활	학교생활/NNG
적응	적응/NNG
과정에서의	과정/NNG+에서/JKB+의/JKG
어려움을	어려움/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
게	거/NNB+이/JKS
목적이다.	목적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.173.5.3
같은 전형으로 입학한 선배들과의 멘토링 및 영어회화, 프레젠테이션 교육 등 비교과 학습활동이 중심이 됐다.

같은	같/VA+은/ETM
전형으로	전형/NNG+으로/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
선배들과의	선배/NNG+들/XSN+과/JKB+의/JKG
멘토링	멘토링/NNG
및	및/MAG
영어회화,	영어/NNP+회화/NNG+,/SP
프레젠테이션	프레젠테이션/NNG
교육	교육/NNG
등	등/NNB
비교과	비/XPN+교과/NNG
학습활동이	학습/NNG+활동/NNG+이/JKS
중심이	중심/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.173.5.4
5년간 프로그램을 거쳐 간 멘토는 17명, 멘티는 458명에 이른다.

5년간	5/SN+년/NNB+간/XSN
프로그램을	프로그램/NNG+을/JKO
거쳐	거치/VV+어/EC
간	가/VX+ㄴ/ETM
멘토는	멘토/NNG+는/JX
17명,	17/SN+명/NNB+,/SP
멘티는	멘티/NNG+는/JX
