# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.388
metadata : {}


# id : NWRW1800000024.388.1.1
이란, 핵협상 초안 거부

이란,	이란/NNP+,/SP
핵협상	핵/NNG+협상/NNG
초안	초안/NNG
거부	거부/NNG


# id : NWRW1800000024.388.2.1
이란이 지난 21일 오스트리아 빈에서 국제원자력기구(IAEA)와 4개국 대표가 마련했던 핵협상안 초안을 일단 거부했다.

이란이	이란/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
오스트리아	오스트리아/NNP
빈에서	빈/NNP+에서/JKB
국제원자력기구(IAEA)와	국제원자력기구/NNP+(/SS+IAEA/SL+)/SS+와/JC
4개국	4/SN+개국/NNB
대표가	대표/NNG+가/JKS
마련했던	마련/NNG+하/XSV+았/EP+던/ETM
핵협상안	핵/NNG+협상안/NNG
초안을	초안/NNG+을/JKO
일단	일단/MAG
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.388.2.2
모하메드 엘바라데이 국제원자력기구 사무총장은 각국 정부로부터 승인받는 시한을 23일로 제시한 바 있다.

모하메드	모하메드/NNP
엘바라데이	엘바라데이/NNP
국제원자력기구	국제원자력기구/NNP
사무총장은	사무총장/NNG+은/JX
각국	각국/NNG
정부로부터	정부/NNG+로부터/JKB
승인받는	승인/NNG+받/XSV+는/ETM
시한을	시한/NNG+을/JKO
23일로	23/SN+일/NNB+로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.388.3.1
<로이터> 통신 등은 23일 “이란이 초안을 받아들이는 대신 자신들이 마련한 안에 응할 것을 요구하기로 했다”고 전했다.

<로이터>	</SS+로이터/NNP+>/SS
통신	통신/NNG
등은	등/NNB+은/JX
23일	23/SN+일/NNB
“이란이	“/SS+이란/NNP+이/JKS
초안을	초안/NNG+을/JKO
받아들이는	받아들이/VV+는/ETM
대신	대신/NNG
자신들이	자신/NNG+들/XSN+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
안에	안/NNG+에/JKB
응할	응하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하기로	요구/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.388.3.2
이란의 국영 텔레비전은 이날 “우리는 이제 이란의 농축 우라늄 전환과 관련한 우리들의 제안에 다른 협상국들이 긍정적이고 건설적인 반응을 해주길 기다리고 있다”고 보도했다.

이란의	이란/NNP+의/JKG
국영	국영/NNG
텔레비전은	텔레비전/NNG+은/JX
이날	이날/NNG
“우리는	“/SS+우리/NP+는/JX
이제	이제/MAG
농축	농축/NNG
우라늄	우라늄/NNG
전환과	전환/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
우리들의	우리/NP+들/XSN+의/JKG
제안에	제안/NNG+에/JKB
다른	다른/MMD
협상국들이	협상국/NNG+들/XSN+이/JKS
긍정적이고	긍정/NNG+적/XSN+이/VCP+고/EC
건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
반응을	반응/NNG+을/JKO
해주길	하/VV+아/EC+주/VX+기/ETN+ㄹ/JKO
기다리고	기다리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.388.3.3
이들은 구체적인 제안의 내용은 밝히지 않았다.

이들은	이/NP+들/XSN+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
제안의	제안/NNG+의/JKG
내용은	내용/NNG+은/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.388.3.4
또 국영 텔레비전은 “다른 협상국들이 협정을 위반하는 과거의 실수를 반복하지 않고 이란의 신뢰를 얻을 수 있을 것이라고 기대한다”는 이란 핵협상 대표단 가운데 한 명의 말을 인용했다.

또	또/MAG
국영	국영/NNG
텔레비전은	텔레비전/NNG+은/JX
“다른	“/SS+다른/MMD
협상국들이	협상국/NNG+들/XSN+이/JKS
협정을	협정/NNG+을/JKO
위반하는	위반/NNG+하/XSV+는/ETM
과거의	과거/NNG+의/JKG
실수를	실수/NNG+를/JKO
반복하지	반복/NNG+하/XSV+지/EC
않고	않/VX+고/EC
이란의	이란/NNP+의/JKG
신뢰를	신뢰/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
기대한다”는	기대/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
이란	이란/NNP
핵협상	핵/NNG+협상/NNG
대표단	대표단/NNG
가운데	가운데/NNG
한	한/MMN
명의	명/NNB+의/JKG
말을	말/NNG+을/JKO
인용했다.	인용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.388.4.1
이날 오전까지 협상에 참여했던 러시아, 미국, 프랑스 정부는 모두 핵협상 초안을 승인했다고 지지를 표명했다.

이날	이날/NNG
오전까지	오전/NNG+까지/JX
협상에	협상/NNG+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
러시아,	러시아/NNP+,/SP
미국,	미국/NNP+,/SP
프랑스	프랑스/NNP
정부는	정부/NNG+는/JX
모두	모두/MAG
핵협상	핵/NNG+협상/NNG
초안을	초안/NNG+을/JKO
승인했다고	승인/NNG+하/XSV+았/EP+다고/EC
지지를	지지/NNG+를/JKO
표명했다.	표명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.388.4.2
국제원자력기구의 주도로 마련된 이 협상 초안에 따르면 이란은 국내에서 이미 생산한 1500㎏의 농축우라늄 가운데 75%인 1200㎏을 올 연말까지 러시아로 보내 20% 농도의 저농축 우라늄으로 전환한 뒤, 다시 이를 프랑스로 보내 의료용을 위한 연료봉으로 가공한 뒤 건네받을 것으로 알려졌다.

국제원자력기구의	국제원자력기구/NNP+의/JKG
주도로	주도/NNG+로/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
이	이/MMD
협상	협상/NNG
초안에	초안/NNG+에/JKB
따르면	따르/VV+면/EC
이란은	이란/NNP+은/JX
국내에서	국내/NNG+에서/JKB
이미	이미/MAG
생산한	생산/NNG+하/XSV+ㄴ/ETM
1500㎏의	1500/SN+㎏/SW+의/JKG
농축우라늄	농축/NNG+우라늄/NNG
가운데	가운데/NNG
75%인	75/SN+%/SW+이/VCP+ㄴ/ETM
1200㎏을	1200/SN+㎏/SW+을/JKO
올	올/NNG
연말까지	연말/NNG+까지/JX
러시아로	러시아/NNP+로/JKB
보내	보내/VV+어/EC
20%	20/SN+%/SW
농도의	농도/NNG+의/JKG
저농축	저/XPN+농축/NNG
우라늄으로	우라늄/NNG+으로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
다시	다시/MAG
이를	이/NP+를/JKO
프랑스로	프랑스/NNP+로/JKB
의료용을	의료/NNG+용/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
연료봉으로	연료봉/NNG+으로/JKB
가공한	가공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
건네받을	건네받/VV+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.388.4.3
이렇게 되면 이란 국내에 남은 농축우라늄만으로 핵무기를 제조하긴 어려워 서방의 우려도 줄어들게 된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
이란	이란/NNP
국내에	국내/NNG+에/JKB
남은	남/VV+은/ETM
