# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.161
metadata : {}


# id : NWRW1800000044.161.1.1
학생·학부모 ‘역사왜곡 교과서’를 거부하다

학생·학부모	학생/NNG+·/SP+학부모/NNG
‘역사왜곡	‘/SS+역사/NNG+왜곡/NNG
교과서’를	교과서/NNG+’/SS+를/JKO
거부하다	거부/NNG+하/XSV+다/EC


# id : NWRW1800000044.161.2.1
[한겨레] 파주 운정고·경북 성주고 “교학사 교과서 교체”

[한겨레]	[/SS+한겨레/NNP+]/SS
파주	파주/NNP
운정고·경북	운정고/NNP+·/SP+경북/NNP
성주고	성주고/NNP
“교학사	“/SS+교학사/NNP
교과서	교과서/NNG
교체”	교체/NNG+”/SS


# id : NWRW1800000044.161.3.1
분당영덕여고·여주제일고 등도 재검토 들어가

분당영덕여고·여주제일고	분당영덕여고/NNP+·/SP+여주제일고/NNP
등도	등/NNB+도/JX
재검토	재/XPN+검토/NNG
들어가	들어가/VV+아/EF


# id : NWRW1800000044.161.4.1
교사 “선정과정 외압” 폭로…학생, 대자보 항의

교사	교사/NNG
“선정과정	“/SS+선정/NNG+과정/NNG
외압”	외압/NNG+”/SS
폭로…학생,	폭로/NNG+…/SE+학생/NNG+,/SP
대자보	대자보/NNG
항의	항의/NNG


# id : NWRW1800000044.161.5.1
역사 왜곡과 사실 오류로 비판받은 교학사의 한국사 교과서를 올해 교재로 채택한 고교들이 학생과 학부모, 교사, 동문회 등 학교 구성원들의 거센 반발을 사고 있다.

역사	역사/NNG
왜곡과	왜곡/NNG+과/JC
사실	사실/NNG
오류로	오류/NNG+로/JKB
비판받은	비판/NNG+받/XSV+은/ETM
교학사의	교학사/NNP+의/JKG
한국사	한국사/NNG
교과서를	교과서/NNG+를/JKO
올해	올해/NNG
교재로	교재/NNG+로/JKB
채택한	채택/NNG+하/XSV+ㄴ/ETM
고교들이	고교/NNG+들/XSN+이/JKS
학생과	학생/NNG+과/JC
학부모,	학부모/NNG+,/SP
교사,	교사/NNG+,/SP
동문회	동문회/NNG
등	등/NNB
학교	학교/NNG
구성원들의	구성원/NNG+들/XSN+의/JKG
거센	거세/VA+ㄴ/ETM
반발을	반발/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.161.5.2
특정 교과서 선정에 반대해 학생과 학부모 등이 들고일어나는 초유의 상황이 교육 현장에서 벌어지고 있는 것이다.

특정	특정/NNG
교과서	교과서/NNG
선정에	선정/NNG+에/JKB
반대해	반대/NNG+하/XSV+아/EC
학생과	학생/NNG+과/JC
학부모	학부모/NNG
등이	등/NNB+이/JKS
들고일어나는	들고일어나/VV+는/ETM
초유의	초유/NNG+의/JKG
상황이	상황/NNG+이/JKS
교육	교육/NNG
현장에서	현장/NNG+에서/JKB
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.161.5.3
이에 따라 교학사 교과서 채택을 취소하는 학교가 잇따라 나오고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
교학사	교학사/NNP
