# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.38
metadata : {}


# id : NWRW1800000037.38.1.1
런민일보 “케리 아시아 순방은 북한 때문이 아니다”

런민일보	런민일보/NNP
“케리	“/SS+케리/NNP
아시아	아시아/NNP
순방은	순방/NNG+은/JX
북한	북한/NNP
때문이	때문/NNB+이/JKC
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000037.38.2.1
“中美관계 재조정 위한것”

“中美관계	“/SS+中美/SH+관계/NNG
재조정	재/XPN+조정/NNG
위한것”	위하/VV+ㄴ/ETM+것/NNB+”/SS


# id : NWRW1800000037.38.3.1
‘케리의 아시아 순방은 북한 때문이 아니다.’

‘케리의	‘/SS+케리/NNP+의/JKG
아시아	아시아/NNP
순방은	순방/NNG+은/JX
북한	북한/NNP
때문이	때문/NNB+이/JKC
아니다.’	아니/VCN+다/EF+./SF+’/SS


# id : NWRW1800000037.38.4.1
존 케리 미국 국무장관의 한국 중국 일본 방문 기간 중 말을 아꼈던 중국 관영 언론이 입을 열기 시작했다.

존	존/NNP
케리	케리/NNP
미국	미국/NNP
국무장관의	국무/NNG+장관/NNG+의/JKG
한국	한국/NNP
중국	중국/NNP
일본	일본/NNP
방문	방문/NNG
기간	기간/NNG
중	중/NNB
말을	말/NNG+을/JKO
아꼈던	아끼/VV+었/EP+던/ETM
관영	관영/NNG
언론이	언론/NNG+이/JKS
입을	입/NNG+을/JKO
열기	열/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.38.4.2
결론은 북한보다는 중-미 관계에 방중의 초점이 맞춰져 있다는 것으로 북한은 양측 간 외교관계 재편을 위한 지렛대일 뿐이라는 것.

결론은	결론/NNG+은/JX
북한보다는	북한/NNP+보다/JKB+는/JX
중-미	중/NNP+-/SO+미/NNP
관계에	관계/NNG+에/JKB
방중의	방중/NNG+의/JKG
초점이	초점/NNG+이/JKS
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다는	있/VX+다는/ETM
것으로	것/NNB+으로/JKB
북한은	북한/NNP+은/JX
양측	양측/NNG
간	간/NNB
외교관계	외교/NNG+관계/NNG
재편을	재편/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지렛대일	지렛대/NNG+이/VCP+ㄹ/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.38.4.3
한반도 정세가 중-미 간 이해에 따라 ‘거래’ 대상이 될 수 있음을 시사한다.

한반도	한반도/NNP
정세가	정세/NNG+가/JKS
중-미	중/NNP+-/SO+미/NNP
간	간/NNB
이해에	이해/NNG+에/JKB
따라	따르/VV+아/EC
‘거래’	‘/SS+거래/NNG+’/SS
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
