# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.132
metadata : {}


# id : NWRW1800000049.132.1.1
‘수포자’ 없는 교실 위해… 교사 외 강사 한명 더 둔다

‘수포자’	‘/SS+수포자/NNG+’/SS
없는	없/VA+는/ETM
교실	교실/NNG
위해…	위하/VV+아/EC+…/SE
교사	교사/NNG
외	외/NNB
강사	강사/NNG
한명	한/MMN+명/NNB
더	더/MAG
둔다	두/VV+ㄴ다/EF


# id : NWRW1800000049.132.2.1
서울시 중등 학습부진협력강사제 도입 내년부터 중1·고1 대상 확대 운영

서울시	서울시/NNP
중등	중등/NNG
학습부진협력강사제	학습/NNG+부진/NNG+협력/NNG+강사/NNG+제/XSN
도입	도입/NNG
내년부터	내년/NNG+부터/JX
중1·고1	중/NNG+1/SN+·/SP+고/NNG+1/SN
대상	대상/NNG
확대	확대/NNG
운영	운영/NNG


# id : NWRW1800000049.132.3.1
서울시교육청이 ‘수포자’(수학포기자) 없는 학교를 만들기 위해 서울 중고교 교실에 교과 교사 외에 협력강사를 한 명 더 두는 사업을 추진한다.

서울시교육청이	서울시교육청/NNP+이/JKS
‘수포자’(수학포기자)	‘/SS+수포자/NNG+’/SS+(/SS+수학/NNG+포기자/NNG+)/SS
없는	없/VA+는/ETM
학교를	학교/NNG+를/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
서울	서울/NNP
중고교	중고교/NNG
교실에	교실/NNG+에/JKB
교과	교과/NNG
교사	교사/NNG
외에	외/NNB+에/JKB
협력강사를	협력/NNG+강사/NNG+를/JKO
한	한/MMN
명	명/NNB
더	더/MAG
두는	두/VV+는/ETM
사업을	사업/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.132.4.1
5일 시교육청에 따르면 교육청은 내년부터 ‘중등 학습부진협력강사제’(협력강사제)를 본격적으로 도입할 방침이다.

5일	5/SN+일/NNB
시교육청에	시/NNG+교육청/NNG+에/JKB
따르면	따르/VV+면/EC
교육청은	교육청/NNG+은/JX
내년부터	내년/NNG+부터/JX
‘중등	‘/SS+중등/NNG
학습부진협력강사제’(협력강사제)를	학습/NNG+부진/NNG+협력/NNG+강사/NNG+제/XSN+’/SS+(/SS+협력/NNG+강사/NNG+제/XSN+)/SS+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
도입할	도입/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.132.4.2
이 제도는 교과 과정을 따라가기 위한 기초 학습 능력이 부족하거나, 학습 속도가 느린 학생들이 수학 영어 등 주요 교과목 수업에서 소외되지 않도록 하기 위한 맞춤형 프로그램이다.

이	이/MMD
제도는	제도/NNG+는/JX
교과	교과/NNG
