# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.196
metadata : {}


# id : NWRW1800000038.196.1.1
아시아나, 중국內 영업에 일부 타격

아시아나,	아시아나/NNP+,/SP
중국內	중국/NNP+內/SH
영업에	영업/NNG+에/JKB
일부	일부/NNG
타격	타격/NNG


# id : NWRW1800000038.196.2.1
조종사 과실 부각하는 美보도… 중국에 전해지며 영향 주는듯

조종사	조종사/NNG
과실	과실/NNG
부각하는	부각/NNG+하/XSV+는/ETM
美보도…	美/SH+보도/NNG+…/SE
중국에	중국/NNP+에/JKB
전해지며	전하/VV+아/EC+지/VX+며/EC
영향	영향/NNG
주는듯	주/VV+는/ETM+듯/NNB


# id : NWRW1800000038.196.3.1
아시아나항공이 미국 샌프란시스코 공항 착륙 사고 여파로 중국 내 영업에 일부 타격을 입었지만, 기존에 아시아나항공을 예약했던 손님들이 환불을 요구하거나 예약을 취소하는 등의 우려할 만한 상황은 벌어지지 않고 있다.

아시아나항공이	아시아나항공/NNP+이/JKS
미국	미국/NNP
샌프란시스코	샌프란시스코/NNP
공항	공항/NNG
착륙	착륙/NNG
사고	사고/NNG
여파로	여파/NNG+로/JKB
중국	중국/NNP
내	내/NNB
영업에	영업/NNG+에/JKB
일부	일부/NNG
타격을	타격/NNG+을/JKO
입었지만,	입/VV+었/EP+지만/EC+,/SP
기존에	기존/NNG+에/JKB
아시아나항공을	아시아나항공/NNP+을/JKO
예약했던	예약/NNG+하/XSV+았/EP+던/ETM
손님들이	손/NNG+님/XSN+들/XSN+이/JKS
환불을	환불/NNG+을/JKO
요구하거나	요구/NNG+하/XSV+거나/EC
예약을	예약/NNG+을/JKO
취소하는	취소/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
우려할	우려/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
상황은	상황/NNG+은/JX
벌어지지	벌어지/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.196.3.2
한·중 양국 고객을 모두 상대하는 베이징의 한 여행사 관계자는 15일 "사고 직후여서 아시아나항공 대신 다른 항공사를 택하는 고객들이 많고, 중국인 여행객일수록 그 비율이 높은 편"이라고 밝혔다.

한·중	한·중/NNP
양국	양국/NNG
고객을	고객/NNG+을/JKO
모두	모두/MAG
상대하는	상대/NNG+하/XSV+는/ETM
베이징의	베이징/NNP+의/JKG
한	한/MMN
여행사	여행사/NNG
관계자는	관계자/NNG+는/JX
15일	15/SN+일/NNB
"사고	"/SS+사고/NNG
직후여서	직후/NNG+이/VCP+어서/EC
아시아나항공	아시아나항공/NNP
대신	대신/NNG
다른	다른/MMD
항공사를	항공사/NNG+를/JKO
택하는	택하/VV+는/ETM
고객들이	고객/NNG+들/XSN+이/JKS
많고,	많/VA+고/EC+,/SP
중국인	중국인/NNG
여행객일수록	여행객/NNG+이/VCP+ㄹ수록/EC
그	그/MMD
비율이	비율/NNG+이/JKS
높은	높/VA+은/ETM
편"이라고	편/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.196.3.3
이 여행사 측은 "그럼에도 환불이나 예약 취소 사태는 벌어지지 않고 있다"고 말했다.

이	이/MMD
여행사	여행사/NNG
측은	측/NNB+은/JX
"그럼에도	"/SS+그렇/VA+ㅁ/ETN+에/JKB+도/JX
환불이나	환불/NNG+이나/JC
예약	예약/NNG
취소	취소/NNG
사태는	사태/NNG+는/JX
벌어지지	벌어지/VV+지/EC
않고	않/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.196.4.1
인천공항을 경유해 미국으로 가는 아시아나항공 편은 그다지 큰 영향을 받지는 않고 있다.

인천공항을	인천공항/NNP+을/JKO
경유해	경유/NNG+하/XSV+아/EC
미국으로	미국/NNP+으로/JKB
가는	가/VV+는/ETM
아시아나항공	아시아나항공/NNP
편은	편/NNB+은/JX
그다지	그다지/MAG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
받지는	받/VV+지/EC+는/JX
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.196.4.2
쓰촨(四川)성 청두(成都)를 출발해 인천을 거쳐 미국으로 가는 아시아나항공 편은 다른 항공사와 마찬가지로 성수기를 맞아 좌석이 거의 매진 상태라고 청두상보 등 현지 언론이 보도했다.

쓰촨(四川)성	쓰촨/NNP+(/SS+四川/SH+)/SS+성/NNG
청두(成都)를	청두/NNP+(/SS+成都/SH+)/SS+를/JKO
출발해	출발/NNG+하/XSV+아/EC
인천을	인천/NNP+을/JKO
거쳐	거치/VV+어/EC
미국으로	미국/NNP+으로/JKB
가는	가/VV+는/ETM
아시아나항공	아시아나항공/NNP
편은	편/NNB+은/JX
다른	다른/MMD
항공사와	항공사/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
성수기를	성수기/NNG+를/JKO
맞아	맞/VV+아/EC
좌석이	좌석/NNG+이/JKS
거의	거의/MAG
매진	매진/NNG
상태라고	상태/NNG+이/VCP+라고/EC
청두상보	청두상보/NNP
등	등/NNB
현지	현지/NNG
언론이	언론/NNG+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.196.5.1
다만 아시아나항공 중국 법인은 당장의 영업 타격보다는 이미지 악화를 우려하고 있다.

다만	다만/MAG
아시아나항공	아시아나항공/NNP
중국	중국/NNP
법인은	법인/NNG+은/JX
당장의	당장/NNG+의/JKG
영업	영업/NNG
타격보다는	타격/NNG+보다/JKB+는/JX
이미지	이미지/NNG
악화를	악화/NNG+를/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.196.5.2
사고 여객기에 중국인 탑승객이 많았던 데다 조종사 과실을 부각시키는 미국 언론 보도가 여과 없이 중국 내로 전해지는 것이 주요 요인으로 꼽히고 있다.

사고	사고/NNG
여객기에	여객기/NNG+에/JKB
중국인	중국인/NNG
탑승객이	탑승객/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
데다	데/NNB+다/JX
조종사	조종사/NNG
과실을	과실/NNG+을/JKO
부각시키는	부각/NNG+시키/XSV+는/ETM
미국	미국/NNP
언론	언론/NNG
보도가	보도/NNG+가/JKS
여과	여과/NNG
없이	없이/MAG
중국	중국/NNP
내로	내/NNB+로/JKB
전해지는	전하/VV+아/EC+지/VX+는/ETM
것이	것/NNB+이/JKS
주요	주요/NNG
요인으로	요인/NNG+으로/JKB
꼽히고	꼽히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.196.5.3
