# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.378
metadata : {}


# id : NWRW1800000053.378.1.1
정상 대하듯… 이방카 극진히 대접한 아베

정상	정상/NNG
대하듯…	대하/VV+듯/EC+…/SE
이방카	이방카/NNP
극진히	극진히/MAG
대접한	대접/NNG+하/XSV+ㄴ/ETM
아베	아베/NNP


# id : NWRW1800000053.378.2.1
도쿄 료칸에서 총리 주재 만찬 이방카 여성기금에 558억원 지원

도쿄	도쿄/NNP
료칸에서	료칸/NNG+에서/JKB
총리	총리/NNG
주재	주재/NNG
만찬	만찬/NNG
이방카	이방카/NNP
여성기금에	여성/NNG+기금/NNG+에/JKB
558억원	558/SN+억/NR+원/NNB
지원	지원/NNG


# id : NWRW1800000053.378.3.1
아베 신조(安倍晋三) 일본 총리가 도널드 트럼프 미국 대통령의 장녀 이방카가 조성 중인 여성기금에 5000만 달러(약 558억 원)를 출연하겠다고 밝혔다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
장녀	장녀/NNG
이방카가	이방카/NNP+가/JKS
조성	조성/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
여성기금에	여성/NNG+기금/NNG+에/JKB
5000만	5000/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
558억	558/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
출연하겠다고	출연/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.378.4.1
3일 교도통신에 따르면 아베 총리는 이날 도쿄에서 열린 ‘국제여성회의(WAW) 2017’에서 이방카가 설립에 관여한 여성기업가 지원기금으로 5000만 달러를 지원한다고 밝혔다.

3일	3/SN+일/NNB
교도통신에	교도통신/NNP+에/JKB
따르면	따르/VV+면/EC
아베	아베/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
도쿄에서	도쿄/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘국제여성회의(WAW)	‘/SS+국제/NNG+여성/NNG+회의/NNG+(/SS+WAW/SL+)/SS
2017’에서	2017/SN+’/SS+에서/JKB
이방카가	이방카/NNP+가/JKS
설립에	설립/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
여성기업가	여성/NNG+기업가/NNG
지원기금으로	지원/NNG+기금/NNG+으로/JKB
5000만	5000/SN+만/NR
달러를	달러/NNB+를/JKO
지원한다고	지원/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.378.5.1
아베 총리의 이런 행보에서는 2일 일본을 방문한 이방카를 적극 지지함으로써 미일 우호 무드를 고조시키려는 의도가 엿보인다.

아베	아베/NNP
총리의	총리/NNG+의/JKG
이런	이런/MMD
행보에서는	행보/NNG+에서/JKB+는/JX
2일	2/SN+일/NNB
일본을	일본/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이방카를	이방카/NNP+를/JKO
적극	적극/NNG
지지함으로써	지지/NNG+하/XSV+ㅁ/ETN+으로써/JKB
미일	미일/NNP
우호	우호/NNG
무드를	무드/NNG+를/JKO
고조시키려는	고조/NNG+시키/XSV+려는/ETM
의도가	의도/NNG+가/JKS
엿보인다.	엿보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.378.5.2
그러나 이 같은 ‘친(親)여성’ 코스프레는 여성이 피해자인 일본군 위안부 문제에 대해선 사과조차 제대로 하지 않는 것과 대조적이라는 비판이 나온다.

그러나	그러나/MAJ
이	이/NP
같은	같/VA+은/ETM
‘친(親)여성’	‘/SS+친/XPN+(/SS+親/SH+)/SS+여성/NNG+’/SS
코스프레는	코스프레/NNG+는/JX
여성이	여성/NNG+이/JKS
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
일본군	일본군/NNG
위안부	위안부/NNG
문제에	문제/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
사과조차	사과/NNG+조차/JX
제대로	제대로/MAG
하지	하/VV+지/EC
않는	않/VX+는/ETM
것과	것/NNB+과/JKB
대조적이라는	대조/NNG+적/XSN+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.378.6.1
