# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.124
metadata : {}


# id : NWRW1800000045.124.1.1
“낭비벽 심해” “내 돈 틀어쥐고 구박만” 총각 처녀 티격태격

“낭비벽	“/SS+낭비벽/NNG
심해”	심하/VA+아/EF+”/SS
“내	“/SS+나/NP+의/JKG
돈	돈/NNG
틀어쥐고	틀어쥐/VV+고/EC
구박만”	구박/NNG+만/JX+”/SS
총각	총각/NNG
처녀	처녀/NNG
티격태격	티격태격/MAG


# id : NWRW1800000045.124.2.1
27일 첫 방영 앞둔 ‘꽃보다 할배-그리스편’ 제작발표회

27일	27/SN+일/NNB
첫	첫/MMN
방영	방영/NNG
앞둔	앞두/VV+ㄴ/ETM
‘꽃보다	‘/SS+꽃/NNG+보다/JKB
할배-그리스편’	할배/NNG+-/SO+그리스/NNP+편/NNB+’/SS
제작발표회	제작/NNG+발표회/NNG


# id : NWRW1800000045.124.3.1
“이번 여행에서 짐꾼 역할을 맡았지만 어렵고 힘든 일은 오빠(이서진)가 다 했고 저는 분위기 메이커를 했어요. 오빠의 ‘짐꾼’ 점수는 90점이에요.”(최지우)

“이번	“/SS+이번/NNG
여행에서	여행/NNG+에서/JKB
짐꾼	짐/NNG+꾼/XSN
역할을	역할/NNG+을/JKO
맡았지만	맡/VV+았/EP+지만/EC
어렵고	어렵/VA+고/EC
힘든	힘들/VA+ㄴ/ETM
일은	일/NNG+은/JX
오빠(이서진)가	오빠/NNG+(/SS+이서진/NNP+)/SS+가/JKS
다	다/MAG
했고	하/VV+았/EP+고/EC
저는	저/NP+는/JX
분위기	분위기/NNG
메이커를	메이커/NNG+를/JKO
했어요.	하/VV+았/EP+어요/EF+./SF
오빠의	오빠/NNG+의/JKG
‘짐꾼’	‘/SS+짐/NNG+꾼/XSN+’/SS
점수는	점수/NNG+는/JX
90점이에요.”(최지우)	90/SN+점/NNB+이/VCP+에요/EF+./SF+”/SS+(/SS+최지우/NNP+)/SS


# id : NWRW1800000045.124.4.1
tvN ‘꽃보다 할배-그리스편’이 27일 오후 9시 45분 처음 방영된다.

tvN	tvN/SL
