# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.19
metadata : {}


# id : NWRW1800000048.19.1.1
무서운 중국산…IT제품이 음식료품 수입 비중 제쳤다

무서운	무섭/VA+ㄴ/ETM
중국산…IT제품이	중국/NNP+산/XSN+…/SE+IT/SL+제품/NNG+이/JKS
음식료품	음식료품/NNG
수입	수입/NNG
비중	비중/NNG
제쳤다	제치/VV+었/EP+다/EF


# id : NWRW1800000048.19.2.1
한국시장서 중국제품 점유율

한국시장서	한국/NNP+시장/NNG+서/JKB
중국제품	중국/NNP+제품/NNG
점유율	점유/NNG+율/XSN


# id : NWRW1800000048.19.3.1
2000년 2.6%→2013년 6% 크게 늘어

2000년	2000/SN+년/NNB
2.6%→2013년	2/SN+./SP+6/SN+%/SW+→/SW+2013/SN+년/NNB
6%	6/SN+%/SW
크게	크/VA+게/EC
늘어	늘/VV+어/EC


# id : NWRW1800000048.19.4.1
IT제품 점유율은 4배 가량 ‘껑충’

IT제품	IT/SL+제품/NNG
점유율은	점유/NNG+율/XSN+은/JX
4배	4/SN+배/NNG
가량	가량/XSN
‘껑충’	‘/SS+껑충/MAG+’/SS


# id : NWRW1800000048.19.5.1
수입비중 1위 음식료품→반도체

수입비중	수입/NNG+비중/NNG
1위	1/SN+위/NNB
음식료품→반도체	음식료품/NNG+→/SW+반도체/NNG


# id : NWRW1800000048.19.6.1
한국상품 중국 점유율은 갈수록 하락

한국상품	한국/NNP+상품/NNG
중국	중국/NNP
점유율은	점유/NNG+율/XSN+은/JX
갈수록	갈수록/MAG
하락	하락/NNG


# id : NWRW1800000048.19.7.1
중국산 수입품의 한국시장 침투율이 반도체, 컴퓨터 등 첨단기술 제품을 중심으로 높아지고 있다는 연구 결과가 나왔다.

중국산	중국/NNP+산/XSN
수입품의	수입품/NNG+의/JKG
한국시장	한국/NNP+시장/NNG
침투율이	침투/NNG+율/XSN+이/JKS
반도체,	반도체/NNG+,/SP
컴퓨터	컴퓨터/NNG
등	등/NNB
첨단기술	첨단/NNG+기술/NNG
제품을	제품/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
높아지고	높아지/VV+고/EC
있다는	있/VX+다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.19.7.2
앞으로 한-중 자유무역협정(FTA)이 발효되면 중국 대상 무역수지의 흑자폭이 감소할 가능성이 커 대책 마련이 시급하다는 지적이 나온다.

앞으로	앞/NNG+으로/JKB
한-중	한-중/NNP
자유무역협정(FTA)이	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+이/JKS
발효되면	발효/NNG+되/XSV+면/EC
중국	중국/NNP
대상	대상/NNG
무역수지의	무역/NNG+수지/NNG+의/JKG
흑자폭이	흑자/NNG+폭/NNG+이/JKS
감소할	감소/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
대책	대책/NNG
마련이	마련/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.19.8.1
현대경제연구원 이용화 선임연구원과 한재진 연구위원은 ‘한중 간 상호 수입침투율 특징과 시사점’ 보고서에서 국내 제조업 전 분야의 중국산 제품 침투율이 상승하고 있다고 12일 밝혔다.

현대경제연구원	현대경제연구원/NNP
이용화	이용화/NNP
선임연구원과	선임/NNG+연구원/NNG+과/JC
한재진	한재진/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
‘한중	‘/SS+한중/NNP
간	간/NNB
상호	상호/NNG
수입침투율	수입/NNG+침투/NNG+율/XSN
특징과	특징/NNG+과/JC
시사점’	시사점/NNG+’/SS
보고서에서	보고서/NNG+에서/JKB
국내	국내/NNG
제조업	제조업/NNG
전	전/MMN
분야의	분야/NNG+의/JKG
중국산	중국/NNP+산/XSN
제품	제품/NNG
침투율이	침투/NNG+율/XSN+이/JKS
상승하고	상승/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.19.8.2
중국산 제품의 국내 수입액은 2000년 128억달러에서 2013년 831억달러로 늘었고, 한국 시장 내 중국산 제품의 침투율은 2000년 2.6%에서 2013년 6%로 크게 증가했다.

중국산	중국/NNP+산/XSN
제품의	제품/NNG+의/JKG
국내	국내/NNG
수입액은	수입액/NNG+은/JX
2000년	2000/SN+년/NNB
128억달러에서	128/SN+억/NR+달러/NNB+에서/JKB
2013년	2013/SN+년/NNB
831억달러로	831/SN+억/NR+달러/NNB+로/JKB
늘었고,	늘/VV+었/EP+고/EC+,/SP
한국	한국/NNP
시장	시장/NNG
내	내/NNB
침투율은	침투/NNG+율/XSN+은/JX
2.6%에서	2/SN+./SP+6/SN+%/SW+에서/JKB
6%로	6/SN+%/SW+로/JKB
크게	크/VA+게/EC
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.19.8.3
중국시장의 한국산 제품은 2000년 232억달러에서 1831억달러로 늘었지만 침투율은 2.5%에서 1.4%로 줄어 하락세에 있다.

중국시장의	중국/NNP+시장/NNG+의/JKG
한국산	한국/NNP+산/XSN
제품은	제품/NNG+은/JX
2000년	2000/SN+년/NNB
232억달러에서	232/SN+억/NR+달러/NNB+에서/JKB
