# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.387
metadata : {}


# id : NWRW1800000022.387.1.1
갈수록 멀어지는 美·日 관계;양국 외무장관 회담 발표했다 채 하루도 지나기전 취소

갈수록	갈수록/MAG
멀어지는	멀어지/VV+는/ETM
美·日	美/SH+·/SP+日/SH
관계;양국	관계/NNG+;/SW+양국/NNG
외무장관	외무/NNG+장관/NNG
회담	회담/NNG
발표했다	발표/NNG+하/XSV+았/EP+다/EF
채	채/NNB
하루도	하루/NNG+도/JX
지나기전	지나/VV+기/ETN+전/NNG
취소	취소/NNG


# id : NWRW1800000022.387.2.1
일본 민주당 정권 출범 이후 미·일 관계에서 전개되는 '이상(異常) 현상' 리스트에 또 한 건이 추가됐다.

일본	일본/NNP
민주당	민주당/NNP
정권	정권/NNG
출범	출범/NNG
이후	이후/NNG
미·일	미/NNP+·/SP+일/NNP
관계에서	관계/NNG+에서/JKB
전개되는	전개/NNG+되/XSV+는/ETM
'이상(異常)	'/SS+이상/NNG+(/SS+異常/SH+)/SS
현상'	현상/NNG+'/SS
리스트에	리스트/NNG+에/JKB
또	또/MAG
한	한/MMN
건이	건/NNB+이/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.387.2.2
이번엔 양국 외무장관 회담이 공식 발표됐다가 몇 시간 만에 취소됐다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
양국	양국/NNG
외무장관	외무/NNG+장관/NNG
회담이	회담/NNG+이/JKS
공식	공식/NNG
발표됐다가	발표/NNG+되/XSV+었/EP+다가/EC
몇	몇/NR
시간	시간/NNG
만에	만/NNB+에/JKB
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.387.3.1
미 국무부는 지난달 31일, 힐러리 클린턴(Clinton) 국무장관과 오카다 가쓰야(岡田克也) 일본 외상 간 회담이 6일 오전(워싱턴 시각) 워싱턴에서 열린다고 발표했다.

미	미/NNP
국무부는	국무부/NNG+는/JX
지난달	지난달/NNG
31일,	31/SN+일/NNB+,/SP
힐러리	힐러리/NNP
클린턴(Clinton)	클린턴/NNP+(/SS+Clinton/SL+)/SS
국무장관과	국무/NNG+장관/NNG+과/JC
오카다	오카다/NNP
가쓰야(岡田克也)	가쓰야/NNP+(/SS+岡田克也/SH+)/SS
일본	일본/NNP
외상	외상/NNG
간	간/NNB
회담이	회담/NNG+이/JKS
6일	6/SN+일/NNB
오전(워싱턴	오전/NNG+(/SS+워싱턴/NNP
시각)	시각/NNG+)/SS
워싱턴에서	워싱턴/NNP+에서/JKB
열린다고	열리/VV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.387.4.1
그러나 국무부가 이날 오후 발표한 클린턴 장관의 일정에선 오카다 외상과의 회담 계획은 빠졌다.

그러나	그러나/MAJ
국무부가	국무부/NNG+가/JKS
이날	이날/NNG
오후	오후/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
클린턴	클린턴/NNP
장관의	장관/NNG+의/JKG
일정에선	일정/NNG+에서/JKB+ㄴ/JX
오카다	오카다/NNP
외상과의	외상/NNG+과/JKB+의/JKG
회담	회담/NNG
계획은	계획/NNG+은/JX
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.387.4.2
일본 언론들은 일본측이 "아직 일정 조정이 끝나지 않았다"면서 정정을 요청한 데 따른 것이었다고 보도했다.

일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
일본측이	일본/NNP+측/NNB+이/JKS
"아직	"/SS+아직/MAG
일정	일정/NNG
조정이	조정/NNG+이/JKS
끝나지	끝나/VV+지/EC
않았다"면서	않/VX+았/EP+다/EF+"/SS+면서/EC
정정을	정정/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.387.5.1
당초 미·일 외무장관 회담은 일본측 희망에 따른 것이었다.

당초	당초/NNG
미·일	미/NNP+·/SP+일/NNP
외무장관	외무/NNG+장관/NNG
회담은	회담/NNG+은/JX
일본측	일본/NNP+측/NNB
희망에	희망/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.387.5.2
