# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.36
metadata : {}


# id : NWRW1800000045.36.1.1
한국임업진흥원, ‘1사 1촌’ 산촌마을 살리기 다양한 지원

한국임업진흥원,	한국임업진흥원/NNP+,/SP
‘1사	‘/SS+1/SN+사/NNG
1촌’	1/SN+촌/NNG+’/SS
산촌마을	산촌/NNG+마을/NNG
살리기	살리/VV+기/ETN
다양한	다양/NNG+하/XSA+ㄴ/ETM
지원	지원/NNG


# id : NWRW1800000045.36.2.1
[사회공헌 Together]

[사회공헌	[/SS+사회/NNG+공헌/NNG
Together]	Together/SL+]/SS


# id : NWRW1800000045.36.3.1
민간기업뿐 아니라 공공기관의 사회적 책임 및 상생발전에 대한 중요성이 강조됨에 따라 공공기관의 사회적 책임을 실현하려는 다양한 방안들이 모색되고 있다.

민간기업뿐	민간/NNG+기업/NNG+뿐/JX
아니라	아니/VCN+라/EC
공공기관의	공공/NNG+기관/NNG+의/JKG
사회적	사회/NNG+적/XSN
책임	책임/NNG
및	및/MAG
상생발전에	상생/NNG+발전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중요성이	중요/NNG+성/XSN+이/JKS
강조됨에	강조/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
책임을	책임/NNG+을/JKO
실현하려는	실현/NNG+하/XSV+려는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
방안들이	방안/NNG+들/XSN+이/JKS
모색되고	모색/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.36.4.1
한국임업진흥원은 14, 16일 직원들이 참여한 가운데 ‘1사 1촌 산촌마을과 함께 김장 담그기’ 행사를 열고 소외된 이웃에게 따뜻한 음식을 전하는 ‘사랑의 김장나눔’을 진행했다.

한국임업진흥원은	한국임업진흥원/NNP+은/JX
14,	14/SN+,/SP
16일	16/SN+일/NNB
직원들이	직원/NNG+들/XSN+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
‘1사	‘/SS+1/SN+사/NNG
1촌	1/SN+촌/NNG
산촌마을과	산촌/NNG+마을/NNG+과/JKB
함께	함께/MAG
김장	김장/NNG
담그기’	담그/VV+기/ETN+’/SS
행사를	행사/NNG+를/JKO
열고	열/VV+고/EC
소외된	소외/NNG+되/XSV+ㄴ/ETM
이웃에게	이웃/NNG+에게/JKB
따뜻한	따뜻하/VA+ㄴ/ETM
음식을	음식/NNG+을/JKO
전하는	전하/VV+는/ETM
‘사랑의	‘/SS+사랑/NNG+의/JKG
김장나눔’을	김장/NNG+나누/VV+ㅁ/ETN+’/SS+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.36.4.2
이번 행사는 1사 1촌 마을인 경기 남양주시 조안면 시우리마을에서 직접 재배한 농산물을 사용하고 잣, 밤 등이 들어간 김장 담그기를 통해 마을의 소득을 올려주는 한편 산촌지역의 주민들과 직접 소통하는 뜻깊은 자리였다.

이번	이번/NNG
행사는	행사/NNG+는/JX
1사	1/SN+사/NNG
1촌	1/SN+촌/NNG
