# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.52
metadata : {}


# id : NWRW1800000040.52.1.1
‘상속보다 증여’ 고액증여 증가세

‘상속보다	‘/SS+상속/NNG+보다/JKB
증여’	증여/NNG+’/SS
고액증여	고액/NNG+증여/NNG
증가세	증가세/NNG


# id : NWRW1800000040.52.2.1
작년 증여재산가액 21% 줄고

작년	작년/NNG
증여재산가액	증여/NNG+재산/NNG+가액/NNG
21%	21/SN+%/SW
줄고	줄/VV+고/EC


# id : NWRW1800000040.52.3.1
1인당 증여액은 15% 늘어나

1인당	1/SN+인/NNG+당/XSN
증여액은	증여액/NNG+은/JX
15%	15/SN+%/SW
늘어나	늘어나/VV+아/EF


# id : NWRW1800000040.52.4.1
“생존때 재산 나누는 새 트렌드”

“생존때	“/SS+생존/NNG+때/NNG
재산	재산/NNG
나누는	나누/VV+는/ETM
새	새/MMA
트렌드”	트렌드/NNG+”/SS


# id : NWRW1800000040.52.5.1
지난해 전체 증여 규모는 예년에 견줘 줄었지만 고액 증여가 많아 1인당 증여세 부담액은 늘었다.

지난해	지난해/NNG
전체	전체/NNG
증여	증여/NNG
규모는	규모/NNG+는/JX
예년에	예년/NNG+에/JKB
견줘	견주/VV+어/EC
줄었지만	줄/VV+었/EP+지만/EC
고액	고액/NNG
증여가	증여/NNG+가/JKS
많아	많/VA+아/EC
1인당	1/SN+인/NNG+당/XSN
증여세	증여세/NNG
부담액은	부담액/NNG+은/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.52.6.1
9일 국세청이 국회 기획재정위원회 이낙연 민주당 의원에게 제출한 ‘최근 5년간 증여세 자료’를 보면, 지난해 증여재산가액은 19조1011억원(잠정)으로 전년 23조454억원에 견줘 20.7%나 줄어들었다.

9일	9/SN+일/NNB
국세청이	국세청/NNG+이/JKS
국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
이낙연	이낙연/NNP
민주당	민주당/NNP
의원에게	의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
‘최근	‘/SS+최근/NNG
5년간	5/SN+년/NNB+간/XSN
증여세	증여세/NNG
자료’를	자료/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
지난해	지난해/NNG
증여재산가액은	증여/NNG+재산/NNG+가액/NNG+은/JX
19조1011억원(잠정)으로	19/SN+조/NR+1011/SN+억/NR+원/NNB+(/SS+잠정/NNG+)/SS+으로/JKB
전년	전년/NNG
23조454억원에	23/SN+조/NR+454/SN+억/NR+원/NNB+에/JKB
견줘	견주/VV+어/EC
20.7%나	20/SN+./SP+7/SN+%/SW+나/JX
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.52.6.2
증여세 납부 대상자인 증여인원(과세미달자 제외)도 9만1300명 수준으로 2011년 12만6400명에 견줘 3분의 1 수준으로 줄었다.

증여세	증여세/NNG
납부	납부/NNG
대상자인	대상자/NNG+이/VCP+ㄴ/ETM
증여인원(과세미달자	증여/NNG+인원/NNG+(/SS+과세/NNG+미달자/NNG
제외)도	제외/NNG+)/SS+도/JX
9만1300명	9/SN+만/NR+1300/SN+명/NNB
수준으로	수준/NNG+으로/JKB
2011년	2011/SN+년/NNB
12만6400명에	12/SN+만/NR+6400/SN+명/NNB+에/JKB
견줘	견주/VV+어/EC
3분의	3/SN+분/XSN+의/JKG
1	1/SN
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.52.7.1
