# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.90
metadata : {}


# id : NWRW1800000036.90.1.1
‘공격 안받아도 다른나라 공격’일본, 집단적 자위권 허용 추진

‘공격	‘/SS+공격/NNG
안받아도	안/MAG+받/VV+아도/EC
다른나라	다른/MMD+나라/NNG
공격’일본,	공격/NNG+’/SS+일본/NNP+,/SP
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
허용	허용/NNG
추진	추진/NNG


# id : NWRW1800000036.90.2.1
[한겨레] 총리실 산하 위원회 보고서

[한겨레]	[/SS+한겨레/NNP+]/SS
총리실	총리실/NNG
산하	산하/NNG
위원회	위원회/NNG
보고서	보고서/NNG


# id : NWRW1800000036.90.3.1
“헌법 제9조 해석 바꿔야”

“헌법	“/SS+헌법/NNG
제9조	제/XPN+9/SN+조/NNB
해석	해석/NNG
바꿔야”	바꾸/VV+어야/EC+”/SS


# id : NWRW1800000036.90.4.1
노다 요시히코 일본 총리의 지시로 일본의 장기 비전을 검토하고 있는 정부 위원회가 일본의 안전보장 정책과 관련해 ‘앞으로 헌법 해석을 바꿔 집단적 자위권의 행사를 인정해야 한다’는 내용을 담은 보고서를 작성했다고 <엔에이치케이>(NHK) 방송이 5일 보도했다.

노다	노다/NNP
요시히코	요시히코/NNP
일본	일본/NNP
총리의	총리/NNG+의/JKG
지시로	지시/NNG+로/JKB
일본의	일본/NNP+의/JKG
장기	장기/NNG
비전을	비전/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
정부	정부/NNG
위원회가	위원회/NNG+가/JKS
안전보장	안전/NNG+보장/NNG
정책과	정책/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
‘앞으로	‘/SS+앞/NNG+으로/JKB
헌법	헌법/NNG
해석을	해석/NNG+을/JKO
바꿔	바꾸/VV+어/EC
집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사를	행사/NNG+를/JKO
인정해야	인정/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
보고서를	보고서/NNG+를/JKO
작성했다고	작성/NNG+하/XSV+았/EP+다고/EC
<엔에이치케이>(NHK)	</SS+엔에이치케이/NNP+>/SS+(/SS+NHK/SL+)/SS
방송이	방송/NNG+이/JKS
5일	5/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.90.4.2
‘집단적 자위권의 행사는 헌법이 허용하지 않고 있다’고 해석해온 일본 정부가 헌법 해석을 바꾸는 쪽으로 움직이는 신호탄으로 해석된다.

‘집단적	‘/SS+집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사는	행사/NNG+는/JX
헌법이	헌법/NNG+이/JKS
허용하지	허용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다’고	있/VX+다/EF+’/SS+고/JKQ
해석해온	해석/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
일본	일본/NNP
정부가	정부/NNG+가/JKS
헌법	헌법/NNG
해석을	해석/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
움직이는	움직이/VV+는/ETM
신호탄으로	신호탄/NNG+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.90.5.1
