# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.213
metadata : {}


# id : NWRW1800000036.213.1.1
바람 심상찮더니…강풍에 1명 사망

바람	바람/NNG
심상찮더니…강풍에	심상하/VA+지/EC+않/VX+더니/EC+…/SE+강풍/NNG+에/JKB
1명	1/SN+명/NNB
사망	사망/NNG


# id : NWRW1800000036.213.2.1
[한겨레] 3일 전국에 강풍주의보가 내려진 가운데 순간 풍속이 초속 20m 안팎의 강풍이 몰아치면서 곳곳에서 크고 작은 인명·재산 피해가 잇따랐다.

[한겨레]	[/SS+한겨레/NNP+]/SS
3일	3/SN+일/NNB
전국에	전국/NNG+에/JKB
강풍주의보가	강풍/NNG+주의보/NNG+가/JKS
내려진	내려지/VV+ㄴ/ETM
가운데	가운데/NNG
순간	순간/NNG
풍속이	풍속/NNG+이/JKS
초속	초속/NNG
20m	20/SN+m/SW
안팎의	안팎/NNG+의/JKG
강풍이	강풍/NNG+이/JKS
몰아치면서	몰아치/VV+면서/EC
곳곳에서	곳곳/NNG+에서/JKB
크고	크/VA+고/EC
작은	작/VA+은/ETM
인명·재산	인명/NNG+·/SP+재산/NNG
피해가	피해/NNG+가/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.213.3.1
이날 오전 11시10분께 충남 서천군 시초면 선동리 구아무개(70)씨가 비닐하우스를 복구하던 중 강풍에 휩쓸려 언덕 밑으로 3m 정도 굴러 농수로에 머리를 부딪혀 숨졌다.

이날	이날/NNG
오전	오전/NNG
11시10분께	11/SN+시/NNB+10/SN+분/NNB+께/XSN
충남	충남/NNP
서천군	서천군/NNP
시초면	시초면/NNP
선동리	선동리/NNP
구아무개(70)씨가	구/NNP+아무개/NP+(/SS+70/SN+)/SS+씨/NNB+가/JKS
비닐하우스를	비닐하우스/NNG+를/JKO
복구하던	복구/NNG+하/XSV+던/ETM
중	중/NNB
강풍에	강풍/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
언덕	언덕/NNG
밑으로	밑/NNG+으로/JKB
3m	3/SN+m/SW
정도	정도/NNG
굴러	구르/VV+어/EC
농수로에	농수로/NNG+에/JKB
머리를	머리/NNG+를/JKO
부딪혀	부딪히/VV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.213.3.2
이날 서천지역 순간 최대 풍속은 초속 16.5m였다.

이날	이날/NNG
서천지역	서천/NNP+지역/NNG
순간	순간/NNG
최대	최대/NNG
풍속은	풍속/NNG+은/JX
초속	초속/NNG
16.5m였다.	16/SN+./SP+5/SN+m/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.213.3.3
또 충남 보령시 신흑동에서는 이날 오후 1시20분께 강풍에 부서진 조립식 창고(165㎡)가 인근 왕복 4차선 도로를 덮쳐 1시간30분가량 일대 교통이 혼잡을 빚었다.

또	또/MAG
충남	충남/NNP
보령시	보령시/NNP
신흑동에서는	신흑동/NNP+에서/JKB+는/JX
이날	이날/NNG
오후	오후/NNG
1시20분께	1/SN+시/NNB+20/SN+분/NNB+께/XSN
강풍에	강풍/NNG+에/JKB
부서진	부서지/VV+ㄴ/ETM
조립식	조립식/NNG
창고(165㎡)가	창고/NNG+(/SS+165/SN+㎡/SW+)/SS+가/JKS
인근	인근/NNG
왕복	왕복/NNG
4차선	4/SN+차선/NNG
도로를	도로/NNG+를/JKO
덮쳐	덮치/VV+어/EC
1시간30분가량	1/SN+시간/NNB+30/SN+분/NNB+가량/XSN
일대	일대/NNG
교통이	교통/NNG+이/JKS
혼잡을	혼잡/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.213.4.1
오전 9시31분께는 전남 영암군 영암읍 대불산업단지의 한 조선업체에서 25t급 크레인이 강풍을 이기지 못하고 무너지면서 이동식 가설 건축물(1850㎡)과 함께 폭삭 주저앉았다.

오전	오전/NNG
9시31분께는	9/SN+시/NNB+31/SN+분/NNB+께/XSN+는/JX
전남	전남/NNP
영암군	영암군/NNP
영암읍	영암읍/NNP
대불산업단지의	대불/NNP+산업/NNG+단지/NNG+의/JKG
한	한/MMN
조선업체에서	조선업체/NNG+에서/JKB
25t급	25/SN+t/SW+급/NNG
크레인이	크레인/NNG+이/JKS
강풍을	강풍/NNG+을/JKO
이기지	이기/VV+지/EC
못하고	못하/VX+고/EC
무너지면서	무너지/VV+면서/EC
이동식	이동식/NNG
가설	가설/NNG
건축물(1850㎡)과	건축물/NNG+(/SS+1850/SN+㎡/SW+)/SS+과/JKB
함께	함께/MAG
폭삭	폭삭/MAG
주저앉았다.	주저앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.213.4.2
이 사고로 차량 8대가 부서지고 고압선이 끊기면서 주변 공장의 전기 공급이 3시간 동안 중단됐다.

이	이/MMD
