# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.382
metadata : {}


# id : NWRW1800000028.382.1.1
여 ‘감세철회 검토’ 청와대서 막았다?

여	여/NNG
‘감세철회	‘/SS+감세/NNG+철회/NNG
검토’	검토/NNG+’/SS
청와대서	청와대/NNP+서/JKB
막았다?	막/VV+았/EP+다/EF+?/SF


# id : NWRW1800000028.382.2.1
“어째서 단순한 감세 정책 검토 지시가 감세 철회로 보도됐는지 개탄스럽다.”

“어째서	“/SS+어찌/MAG+하/XSV+아서/EC
단순한	단순/NNG+하/XSA+ㄴ/ETM
감세	감세/NNG
정책	정책/NNG
검토	검토/NNG
지시가	지시/NNG+가/JKS
철회로	철회/NNG+로/JKB
보도됐는지	보도/NNG+되/XSV+었/EP+는지/EC
개탄스럽다.”	개탄/NNG+스럽/XSA+다/EF+./SF+”/SS


# id : NWRW1800000028.382.2.2
안상수 한나라당 대표는 28일 최고위원회의에서 한나라당의 ‘부자 감세 철회 혼선’을 배은희 대변인 등 일부 당직자의 소통 오류 탓으로 돌리며 ‘입단속’을 주문했다.

안상수	안상수/NNP
한나라당	한나라당/NNP
대표는	대표/NNG+는/JX
28일	28/SN+일/NNB
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
한나라당의	한나라당/NNP+의/JKG
‘부자	‘/SS+부자/NNG
감세	감세/NNG
철회	철회/NNG
혼선’을	혼선/NNG+’/SS+을/JKO
배은희	배은희/NNP
대변인	대변인/NNG
등	등/NNB
일부	일부/NNG
당직자의	당직자/NNG+의/JKG
소통	소통/NNG
오류	오류/NNG
탓으로	탓/NNG+으로/JKB
돌리며	돌리/VV+며/EC
‘입단속’을	‘/SS+입단속/NNG+’/SS+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.2.3
고흥길 정책위의장도 “오해에서 빚어진 것으로 당내 혼선은 없다”고 거들었다.

고흥길	고흥길/NNP
정책위의장도	정책위/NNG+의장/NNG+도/JX
“오해에서	“/SS+오해/NNG+에서/JKB
빚어진	빚어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
당내	당내/NNG
혼선은	혼선/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.382.3.1
그러나 ‘부자 감세 철회’를 둘러싼 여권의 논쟁은 안 대표가 26일 국회교섭단체 대표 연설에서 주창한 ‘개혁적 중도보수 노선’의 진정성과 ‘이명박 정부의 정체성’ 논란으로 확산되는 모양새다.

그러나	그러나/MAJ
‘부자	‘/SS+부자/NNG
감세	감세/NNG
철회’를	철회/NNG+’/SS+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여권의	여권/NNG+의/JKG
논쟁은	논쟁/NNG+은/JX
안	안/NNP
대표가	대표/NNG+가/JKS
26일	26/SN+일/NNB
국회교섭단체	국회/NNG+교섭/NNG+단체/NNG
대표	대표/NNG
연설에서	연설/NNG+에서/JKB
주창한	주창/NNG+하/XSV+ㄴ/ETM
‘개혁적	‘/SS+개혁/NNG+적/XSN
중도보수	중도/NNG+보수/NNG
노선’의	노선/NNG+’/SS+의/JKG
진정성과	진정/NNG+성/XSN+과/JC
‘이명박	‘/SS+이명박/NNP
정부의	정부/NNG+의/JKG
정체성’	정체/NNG+성/XSN+’/SS
논란으로	논란/NNG+으로/JKB
확산되는	확산/NNG+되/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.382.4.1
부자당 이미지 불식을 위한 ‘부자 감세의 선제적 철회’를 역설해온 정두언 최고위원은 이날 안 대표 면전에서 “한나라당의 속도 중도개혁이어야지 국민들이 중도개혁이라 느끼지, 속이 아니면 아무리 중도개혁이라고 포장해도 그렇게 느껴지지가 않는다”고 반박했다.

부자당	부자/NNG+당/NNG
이미지	이미지/NNG
불식을	불식/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘부자	‘/SS+부자/NNG
감세의	감세/NNG+의/JKG
선제적	선제/NNG+적/XSN
철회’를	철회/NNG+’/SS+를/JKO
역설해온	역설/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
정두언	정두언/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
안	안/NNP
대표	대표/NNG
면전에서	면전/NNG+에서/JKB
“한나라당의	“/SS+한나라당/NNP+의/JKG
속도	속/NNG+도/JX
중도개혁이어야지	중도/NNG+개혁/NNG+이/VCP+어야지/EC
국민들이	국민/NNG+들/XSN+이/JKS
중도개혁이라	중도/NNG+개혁/NNG+이/VCP+라/EC
느끼지,	느끼/VV+지/EC+,/SP
속이	속/NNG+이/JKC
아니면	아니/VCN+면/EC
아무리	아무리/MAG
중도개혁이라고	중도/NNG+개혁/NNG+이/VCP+라고/EC
포장해도	포장/NNG+하/XSV+아도/EC
그렇게	그렇/VA+게/EC
느껴지지가	느끼/VV+어/EC+지/VX+지/EC+가/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.4.2
안 대표가 감세 철회 검토에서 발을 빼는 듯한 모습을 보이자, 그의 ‘개혁적 중도 보수론’에 의문을 제기한 것이다.

안	안/NNP
대표가	대표/NNG+가/JKS
감세	감세/NNG
철회	철회/NNG
검토에서	검토/NNG+에서/JKB
발을	발/NNG+을/JKO
빼는	빼/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이자,	보이/VV+자/EC+,/SP
그의	그/NP+의/JKG
‘개혁적	‘/SS+개혁/NNG+적/XSN
중도	중도/NNG
보수론’에	보수/NNG+론/XSN+’/SS+에/JKB
의문을	의문/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.382.5.1
소장파인 김성태 의원도 이날 개인논평에서 “대기업과 부유층 위주의 감세는 당·청이 목청 높여 외쳤던 친서민 공정사회 그 어느 것에도 부합하지 않는다”며 “나라 곳간을 비우고 부자들과 대기업들의 배를 불리는 것 외에 부자 감세의 효과를 도무지 찾아볼 수 없음에도 이를 계속 유지해야 한다는 주장은 견강부회일 따름”이라고 비판했다.

소장파인	소장파/NNG+이/VCP+ㄴ/ETM
김성태	김성태/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
