# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.366
metadata : {}


# id : NWRW1800000056.366.1.1
교육 김상곤, 법무 안경환, 국방 송영무 등 장관 후보 지명

교육	교육/NNG
김상곤,	김상곤/NNP+,/SP
법무	법무/NNG
안경환,	안경환/NNP+,/SP
국방	국방/NNG
송영무	송영무/NNP
등	등/NNB
장관	장관/NNG
후보	후보/NNG
지명	지명/NNG


# id : NWRW1800000056.366.2.1
환경 김은경, 노동 조대엽

환경	환경/NNG
김은경,	김은경/NNP+,/SP
노동	노동/NNG
조대엽	조대엽/NNP


# id : NWRW1800000056.366.3.1
문재인 대통령은 11일 김상곤(68) 전 경기도교육감을 사회부총리 겸 교육부장관 후보자로 지명했다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
11일	11/SN+일/NNB
김상곤(68)	김상곤/NNP+(/SS+68/SN+)/SS
전	전/MMD
경기도교육감을	경기도/NNP+교육감/NNG+을/JKO
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부장관	교육부/NNG+장관/NNG
후보자로	후보자/NNG+로/JKB
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.366.3.2
또 법무부장관과 국방부 장관 후보자엔 각각 안경환(69) 전 국가인권위원장과 송영무(68) 전 해군 참모총장을 지명했으며, 김은경(61·여) 지속가능센터 ‘지우’ 대표와 조대엽(57) 고려대 노동대학원 원장을 각각 환경부 장관과 고용노동부 장관 후보자로 지명했다.

또	또/MAG
법무부장관과	법무부/NNG+장관/NNG+과/JC
국방부	국방부/NNG
장관	장관/NNG
후보자엔	후보자/NNG+에/JKB+ㄴ/JX
각각	각각/MAG
안경환(69)	안경환/NNP+(/SS+69/SN+)/SS
전	전/MMD
국가인권위원장과	국가/NNG+인권/NNG+위원장/NNG+과/JC
송영무(68)	송영무/NNP+(/SS+68/SN+)/SS
해군	해군/NNG
참모총장을	참모/NNG+총장/NNG+을/JKO
지명했으며,	지명/NNG+하/XSV+았/EP+으며/EC+,/SP
김은경(61·여)	김은경/NNP+(/SS+61/SN+·/SP+여/NNG+)/SS
지속가능센터	지속/NNG+가능/NNG+센터/NNG
‘지우’	‘/SS+지우/NNP+’/SS
대표와	대표/NNG+와/JC
조대엽(57)	조대엽/NNP+(/SS+57/SN+)/SS
고려대	고려대/NNP
노동대학원	노동/NNG+대학원/NNG
원장을	원장/NNG+을/JKO
환경부	환경부/NNG
장관과	장관/NNG+과/JC
고용노동부	고용/NNG+노동부/NNG
후보자로	후보자/NNG+로/JKB
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.366.4.1
김상곤 후보자는 광주제일고와 서울대 경영학과 석·박사를 거친 뒤, 한신대 경영학과 교수를 지내고 제14·15대 경기도교육청 교육감을 지낸 바 있다.

김상곤	김상곤/NNP
후보자는	후보자/NNG+는/JX
광주제일고와	광주제일고/NNP+와/JC
서울대	서울대/NNP
경영학과	경영학과/NNG
석·박사를	석·박사/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
한신대	한신대/NNP
교수를	교수/NNG+를/JKO
지내고	지내/VV+고/EC
제14·15대	제/XPN+14/SN+·/SP+15/SN+대/NNB
경기도교육청	경기도교육청/NNP
교육감을	교육감/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.366.4.2
박수현 청와대 대변인은 김 후보자에 대해 “민선 1·2기 경기도교육감 시절 ‘무상급식’과 ‘학생인권조례’, ‘혁신학교’ 등 보편적 교육복지와 공교육 정상화를 위해 굵직굵직한 정책 추진하는 등 교육현장에서 진보적인 교육정책으로 혁신을 실천해왔다”며 “평등한 교육기회 제공, 입시과정의 공정성 강화, 미래지향적인 공교육 체계 마련 등 일련의 교육개혁 과제들을 성공적으로 추진할 것으로 기대한다”고 밝혔다.

박수현	박수현/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
김	김/NNP
후보자에	후보자/NNG+에/JKB
대해	대하/VV+아/EC
“민선	“/SS+민선/NNG
1·2기	1/SN+·/SP+2/SN+기/NNG
경기도교육감	경기도/NNP+교육감/NNG
시절	시절/NNG
‘무상급식’과	‘/SS+무상/NNG+급식/NNG+’/SS+과/JC
‘학생인권조례’,	‘/SS+학생/NNG+인권/NNG+조례/NNG+’/SS+,/SP
‘혁신학교’	‘/SS+혁신/NNG+학교/NNG+’/SS
등	등/NNB
보편적	보편/NNG+적/XSN
교육복지와	교육/NNG+복지/NNG+와/JC
공교육	공교육/NNG
정상화를	정상/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
굵직굵직한	굵직굵직하/VA+ㄴ/ETM
정책	정책/NNG
추진하는	추진/NNG+하/XSV+는/ETM
교육현장에서	교육/NNG+현장/NNG+에서/JKB
진보적인	진보/NNG+적/XSN+이/VCP+ㄴ/ETM
교육정책으로	교육/NNG+정책/NNG+으로/JKB
혁신을	혁신/NNG+을/JKO
실천해왔다”며	실천/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“평등한	“/SS+평등/NNG+하/XSA+ㄴ/ETM
교육기회	교육/NNG+기회/NNG
제공,	제공/NNG+,/SP
입시과정의	입시/NNG+과정/NNG+의/JKG
공정성	공정/NNG+성/XSN
강화,	강화/NNG+,/SP
미래지향적인	미래/NNG+지향/NNG+적/XSN+이/VCP+ㄴ/ETM
체계	체계/NNG
마련	마련/NNG
일련의	일련/NNG+의/JKG
교육개혁	교육/NNG+개혁/NNG
과제들을	과제/NNG+들/XSN+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.366.4.3
김 후보자는 문 대통령이 새정치민주연합 대표 시절 당 혁신위원장을 맡아 호흡을 맞춘 바 있다.

김	김/NNP
후보자는	후보자/NNG+는/JX
문	문/NNP
대통령이	대통령/NNG+이/JKS
새정치민주연합	새정치민주연합/NNP
대표	대표/NNG
시절	시절/NNG
당	당/NNG
혁신위원장을	혁신/NNG+위원장/NNG+을/JKO
맡아	맡/VV+아/EC
호흡을	호흡/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.366.5.1
안경환 후보자는 서울대 법학과와 미국 펜실베이니아대 법학 석사 등을 거쳐 한국헌법학회 회장과 인권위 제4대 위원장고 공익인권재단 ‘공감’ 의 이사장을 지낸 바 있다.

안경환	안경환/NNP
후보자는	후보자/NNG+는/JX
서울대	서울대/NNP
법학과와	법학과/NNG+와/JC
미국	미국/NNP
펜실베이니아대	펜실베이니아대/NNP
법학	법학/NNG
석사	석사/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
한국헌법학회	한국헌법학회/NNP
회장과	회장/NNG+과/JC
인권위	인권위/NNP
제4대	제/XPN+4/SN+대/NNG
위원장고	위원장/NNG+고/JC
공익인권재단	공익/NNG+인권/NNG+재단/NNG
‘공감’	‘/SS+공감/NNP+’/SS
의	의/JKG
이사장을	이사장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.366.5.2
청와대는 “저명한 법학자이자 인권정책 전문가로 인권 가치의 중요성을 누구보다 잘 이해하고 있다”며 “검찰의 중립성과 독립성을 강화하고 검찰 개혁을 차질 없이 추진할 수 있는 적임자”라고 지명 이유를 설명했다.

청와대는	청와대/NNP+는/JX
“저명한	“/SS+저명/NNG+하/XSA+ㄴ/ETM
법학자이자	법학자/NNG+이/VCP+자/EC
인권정책	인권/NNG+정책/NNG
전문가로	전문가/NNG+로/JKB
인권	인권/NNG
가치의	가치/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
누구보다	누구/NP+보다/JKB
잘	잘/MAG
이해하고	이해/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“검찰의	“/SS+검찰/NNG+의/JKG
중립성과	중립/NNG+성/XSN+과/JC
독립성을	독립/NNG+성/XSN+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
검찰	검찰/NNG
개혁을	개혁/NNG+을/JKO
차질	차질/NNG
없이	없이/MAG
