# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.311
metadata : {}


# id : NWRW1800000032.311.1.1
대표팀 첫 훈련한 문태종 /“태극마크 보면 엄마 생각나”

대표팀	대표/NNG+팀/NNG
첫	첫/MMN
훈련한	훈련/NNG+하/XSV+ㄴ/ETM
문태종	문태종/NNP
/“태극마크	//SP+“/SS+태극/NNG+마크/NNG
보면	보/VV+면/EC
엄마	엄마/NNG
생각나”	생각나/VV+아/EF+”/SS


# id : NWRW1800000032.311.2.1
허재 “전문 슈터 필요해 선발”

허재	허재/NNP
“전문	“/SS+전문/NNG
슈터	슈터/NNG
필요해	필요/NNG+하/XSA+아/EC
선발”	선발/NNG+”/SS


# id : NWRW1800000032.311.3.1
왼쪽 가슴에 태극마크를 단 문태종(36·전자랜드)은 어색한 듯 연방 미소를 지었다.

왼쪽	왼쪽/NNG
가슴에	가슴/NNG+에/JKB
태극마크를	태극/NNG+마크/NNG+를/JKO
단	달/VV+ㄴ/ETM
문태종(36·전자랜드)은	문태종/NNP+(/SS+36/SN+·/SP+전자랜드/NNP+)/SS+은/JX
어색한	어색하/VA+ㄴ/ETM
듯	듯/NNB
연방	연방/MAG
미소를	미소/NNG+를/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.311.3.2
그의 입에선 “행복하다”는 말이 자주 나왔다.

그의	그/NP+의/JKG
입에선	입/NNG+에서/JKB+ㄴ/JX
“행복하다”는	“/SS+행복/NNG+하/XSA+다/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
자주	자주/MAG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.3.3
이어 “태극마크를 보면 어머니 생각이 많이 난다. 자부심을 느낀다”고 했다.

이어	이어/MAG
“태극마크를	“/SS+태극/NNG+마크/NNG+를/JKO
보면	보/VV+면/EC
어머니	어머니/NNG
생각이	생각/NNG+이/JKS
많이	많이/MAG
난다.	나/VV+ㄴ다/EF+./SF
자부심을	자부심/NNG+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.4.1
최근 법무부로부터 체육분야 우수인재로 선정돼 특별귀화를 허가받은 문태종은 남자농구 국가대표로 선발돼 25일 경기도 용인시 케이씨씨(KCC) 체육관에서 첫 훈련을 했다.

최근	최근/MAG
법무부로부터	법무부/NNG+로부터/JKB
체육분야	체육/NNG+분야/NNG
우수인재로	우수/NNG+인재/NNG+로/JKB
선정돼	선정/NNG+되/XSV+어/EC
특별귀화를	특별/NNG+귀화/NNG+를/JKO
허가받은	허가/NNG+받/XSV+은/ETM
문태종은	문태종/NNP+은/JX
남자농구	남자/NNG+농구/NNG
국가대표로	국가/NNG+대표/NNG+로/JKB
선발돼	선발/NNG+되/XSV+어/EC
25일	25/SN+일/NNB
경기도	경기도/NNP
용인시	용인시/NNP
케이씨씨(KCC)	케이씨씨/NNP+(/SS+KCC/SL+)/SS
체육관에서	체육관/NNG+에서/JKB
첫	첫/MMN
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.5.1
한국인 어머니와 미국인 아버지 사이에서 태어난 그는 소감을 한국말로 전해달라는 질문에 “대한민국… 국가대표…”라고 말하다가 멋쩍은 웃음을 지을 정도로 아직은 한국말이 서툴다.

한국인	한국인/NNG
어머니와	어머니/NNG+와/JC
미국인	미국인/NNG
아버지	아버지/NNG
사이에서	사이/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
그는	그/NP+는/JX
소감을	소감/NNG+을/JKO
한국말로	한국말/NNG+로/JKB
전해달라는	전하/VV+아/EC+달/VX+라는/ETM
질문에	질문/NNG+에/JKB
“대한민국…	“/SS+대한민국/NNP+…/SE
