# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.353
metadata : {}


# id : NWRW1800000024.353.1.1
시청서 단식농성 장애인단체 간부 등 3명 영장 신청 /인정사정 없는 울산시, 한발 더나간 경찰

시청서	시청/NNG+서/JKB
단식농성	단식/NNG+농성/NNG
장애인단체	장애인/NNG+단체/NNG
간부	간부/NNG
등	등/NNB
3명	3/SN+명/NNB
영장	영장/NNG
신청	신청/NNG
/인정사정	//SP+인정사정/NNG
없는	없/VA+는/ETM
울산시,	울산시/NNP+,/SP
한발	한발/MAG
더나간	더/MAG+나가/VV+ㄴ/ETM
경찰	경찰/NNG


# id : NWRW1800000024.353.2.1
경찰이 장애인 처우 개선 약속의 이행을 요구하며 울산시청에서 농성을 벌였던(<한겨레> 24일치 12면) 장애인단체 대표 등 3명의 구속영장을 신청해 장애인단체 회원과 학부모들이 크게 반발하고 있다.

경찰이	경찰/NNG+이/JKS
장애인	장애인/NNG
처우	처우/NNG
개선	개선/NNG
약속의	약속/NNG+의/JKG
이행을	이행/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
울산시청에서	울산시청/NNP+에서/JKB
농성을	농성/NNG+을/JKO
벌였던(<한겨레>	벌이/VV+었/EP+던/ETM+(/SS+</SS+한겨레/NNP+>/SS
24일치	24/SN+일/NNB+치/NNB
12면)	12/SN+면/NNG+)/SS
장애인단체	장애인/NNG+단체/NNG
대표	대표/NNG
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청해	신청/NNG+하/XSV+아/EC
회원과	회원/NNG+과/JC
학부모들이	학부모/NNG+들/XSN+이/JKS
크게	크/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.353.3.1
울산 남부경찰서는 24일 업무 방해와 퇴거 불응 등의 혐의로 울산장애인차별철폐연대 공동대표인 정윤호 울산장애인부모회 회장과 김영애 중구주민회 준비위원회 공동대표, 정영현 울산장애인부모회 사무국장 등 3명의 구속영장을 신청했다.

울산	울산/NNP
남부경찰서는	남부/NNG+경찰서/NNG+는/JX
24일	24/SN+일/NNB
업무	업무/NNG
방해와	방해/NNG+와/JC
퇴거	퇴거/NNG
불응	불응/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
울산장애인차별철폐연대	울산/NNP+장애인/NNG+차별/NNG+철폐/NNG+연대/NNG
공동대표인	공동/NNG+대표/NNG+이/VCP+ㄴ/ETM
정윤호	정윤호/NNP
울산장애인부모회	울산/NNP+장애인/NNG+부모회/NNG
회장과	회장/NNG+과/JC
김영애	김영애/NNP
중구주민회	중구/NNP+주민회/NNG
준비위원회	준비/NNG+위원회/NNG
공동대표,	공동/NNG+대표/NNG+,/SP
정영현	정영현/NNP
사무국장	사무국장/NNG
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.353.3.2
검찰은 정씨만 법원에 구속영장을 청구하고 나머지는 석방했다.

검찰은	검찰/NNG+은/JX
정씨만	정/NNP+씨/NNB+만/JX
법원에	법원/NNG+에/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
청구하고	청구/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
석방했다.	석방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.353.3.3
공동대표 정씨 등 3명은 22일 오후 3시부터 밤 10시40분까지 시 복지여성국장실에서 내년도 장애인 예산 증액 약속 등을 요구하며 단식농성을 벌이다가 경찰에 연행됐다.

공동대표	공동/NNG+대표/NNG
정씨	정/NNP+씨/NNB
등	등/NNB
3명은	3/SN+명/NNB+은/JX
22일	22/SN+일/NNB
오후	오후/NNG
3시부터	3/SN+시/NNB+부터/JX
밤	밤/NNG
10시40분까지	10/SN+시/NNB+40/SN+분/NNB+까지/JX
시	시/NNG
복지여성국장실에서	복지/NNG+여성/NNG+국장실/NNG+에서/JKB
내년도	내년도/NNG
장애인	장애인/NNG
예산	예산/NNG
증액	증액/NNG
약속	약속/NNG
등을	등/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
단식농성을	단식/NNG+농성/NNG+을/JKO
벌이다가	벌이/VV+다가/EC
경찰에	경찰/NNG+에/JKB
연행됐다.	연행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.353.4.1
이와 관련해 울산장애인차별철폐연대 쪽은 법원의 구속영장이 발부되면 날마다 시청 앞에서 집회를 여는 등 강력 대응하겠다고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
울산장애인차별철폐연대	울산/NNP+장애인/NNG+차별/NNG+철폐/NNG+연대/NNG
쪽은	쪽/NNB+은/JX
법원의	법원/NNG+의/JKG
구속영장이	구속/NNG+영장/NNG+이/JKS
발부되면	발부/NNG+되/XSV+면/EC
날마다	날/NNG+마다/JX
시청	시청/NNG
앞에서	앞/NNG+에서/JKB
집회를	집회/NNG+를/JKO
여는	열/VV+는/ETM
등	등/NNB
강력	강력/NNG
대응하겠다고	대응/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.353.4.2
검경이 연행자들의 사법처리에 나서자 일부에선 울산시가 지나친 대응을 했다는 지적이 나오고 있다.

검경이	검경/NNG+이/JKS
연행자들의	연행자/NNG+들/XSN+의/JKG
사법처리에	사법/NNG+처리/NNG+에/JKB
나서자	나서/VV+자/EC
일부에선	일부/NNG+에서/JKB+ㄴ/JX
울산시가	울산시/NNP+가/JKS
지나친	지나치/VA+ㄴ/ETM
대응을	대응/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.353.4.3
지난해 시가 이 단체에 중증장애인의 활동을 곁에서 도와주는 도우미를 붙여 주는 활동보조서비스 시간을 갑절가량 늘리는 등 여러 가지를 약속했다가 이를 지키지 않은 것이 이번 사태의 빌미가 됐기 때문이다.

지난해	지난해/NNG
시가	시/NNG+가/JKS
이	이/MMD
단체에	단체/NNG+에/JKB
중증장애인의	중증/NNG+장애인/NNG+의/JKG
활동을	활동/NNG+을/JKO
곁에서	곁/NNG+에서/JKB
도와주는	도와주/VV+는/ETM
도우미를	도우미/NNG+를/JKO
붙여	붙이/VV+어/EC
주는	주/VX+는/ETM
활동보조서비스	활동/NNG+보조/NNG+서비스/NNG
시간을	시간/NNG+을/JKO
갑절가량	갑절/NNG+가량/XSN
늘리는	늘리/VV+는/ETM
등	등/NNB
여러	여러/MMN
가지를	가지/NNB+를/JKO
약속했다가	약속/NNG+하/XSV+았/EP+다가/EC
이를	이/NP+를/JKO
지키지	지키/VV+지/EC
않은	않/VX+은/ETM
