# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.328
metadata : {}


# id : NWRW1800000025.328.1.1
[광주/전남]광주시의회 ‘대기업슈퍼 입점규제 조례안’ 통과

[광주/전남]광주시의회	[/SS+광주/NNP+//SP+전남/NNP+]/SS+광주시의회/NNP
‘대기업슈퍼	‘/SS+대/XPN+기업/NNG+슈퍼/NNG
입점규제	입점/NNG+규제/NNG
조례안’	조례안/NNG+’/SS
통과	통과/NNG


# id : NWRW1800000025.328.2.1
광주시의회가 11일 재래시장과 전통상점가의 경계로부터 500m 이내 지역에 매장면적 500m²(약 151평) 이상의 대기업슈퍼마켓(SSM)을 개설하지 못하도록 하는 내용을 담은 조례안을 통과시켰다.

광주시의회가	광주시의회/NNP+가/JKS
11일	11/SN+일/NNB
재래시장과	재래시장/NNG+과/JC
전통상점가의	전통/NNG+상점가/NNG+의/JKG
경계로부터	경계/NNG+로부터/JKB
500m	500/SN+m/SW
이내	이내/NNG
지역에	지역/NNG+에/JKB
매장면적	매장/NNG+면적/NNG
500m²(약	500/SN+m²/SW+(/SS+약/MMA
151평)	151/SN+평/NNB+)/SS
이상의	이상/NNG+의/JKG
대기업슈퍼마켓(SSM)을	대/XPN+기업/NNG+슈퍼마켓/NNG+(/SS+SSM/SL+)/SS+을/JKO
개설하지	개설/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
조례안을	조례안/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.328.3.1
통과된 ‘대규모 점포 등의 등록 및 조정 조례안’에 따르면 ‘전통시장 및 상점가 육성을 위한 특별법’에 의해 지정된 광주시내 18개 전통시장과 자동차거리(임동), 나무전거리(계림동), 전자거리(대인동), 건축자재거리(중흥동), 공구거리(운암동) 등 5개 상점가의 경계로부터 500m 범위에서 지정될 ‘전통상업보존구역’에는 대형 할인점과 SSM을 개설할 수 없도록 했다.

통과된	통과/NNG+되/XSV+ㄴ/ETM
‘대규모	‘/SS+대/XPN+규모/NNG
점포	점포/NNG
등의	등/NNB+의/JKG
등록	등록/NNG
및	및/MAG
조정	조정/NNG
조례안’에	조례안/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
‘전통시장	‘/SS+전통/NNG+시장/NNG
상점가	상점가/NNG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특별법’에	특별법/NNG+’/SS+에/JKB
의해	의하/VV+아/EC
지정된	지정/NNG+되/XSV+ㄴ/ETM
광주시내	광주/NNP+시내/NNG
18개	18/SN+개/NNB
전통시장과	전통/NNG+시장/NNG+과/JC
자동차거리(임동),	자동차/NNG+거리/NNG+(/SS+임동/NNP+)/SS+,/SP
나무전거리(계림동),	나무전/NNG+거리/NNG+(/SS+계림동/NNP+)/SS+,/SP
전자거리(대인동),	전자/NNG+거리/NNG+(/SS+대인동/NNP+)/SS+,/SP
건축자재거리(중흥동),	건축/NNG+자재/NNG+거리/NNG+(/SS+중흥동/NNP+)/SS+,/SP
공구거리(운암동)	공구/NNG+거리/NNG+(/SS+운암동/NNP+)/SS
등	등/NNB
5개	5/SN+개/NNB
상점가의	상점가/NNG+의/JKG
경계로부터	경계/NNG+로부터/JKB
500m	500/SN+m/SW
범위에서	범위/NNG+에서/JKB
지정될	지정/NNG+되/XSV+ㄹ/ETM
‘전통상업보존구역’에는	‘/SS+전통/NNG+상업/NNG+보존/NNG+구역/NNG+’/SS+에/JKB+는/JX
대형	대형/NNG
할인점과	할인점/NNG+과/JC
SSM을	SSM/SL+을/JKO
개설할	개설/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.328.4.1
대형 유통업자가 주거지역과 녹지지역 안에서 대형 할인점과 SSM을 개설할 때는 각 자치구에 설치되는 등록심의위원회 심의를 거쳐야 한다.

대형	대형/NNG
유통업자가	유통업자/NNG+가/JKS
주거지역과	주거/NNG+지역/NNG+과/JC
녹지지역	녹지/NNG+지역/NNG
안에서	안/NNG+에서/JKB
할인점과	할인점/NNG+과/JC
SSM을	SSM/SL+을/JKO
개설할	개설/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
각	각/MMD
자치구에	자치구/NNG+에/JKB
설치되는	설치/NNG+되/XSV+는/ETM
등록심의위원회	등록/NNG+심의/NNG+위원회/NNG
심의를	심의/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


