# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.99
metadata : {}


# id : NWRW1800000022.99.1.1
"갈 곳 없어 두둥실~ 부동자금 800조 잡아라";경기회복 노린 상품 앞세워 증권사마다 유치전 한창

"갈	"/SS+가/VV+ㄹ/ETM
곳	곳/NNG
없어	없/VA+어/EC
두둥실~	두둥실/MAG+~/SO
부동자금	부동/NNG+자금/NNG
800조	800/SN+조/NNG
잡아라";경기회복	잡/VV+아라/EF+"/SS+;/SP+경기/NNG+회복/NNG
노린	노리/VV+ㄴ/ETM
상품	상품/NNG
앞세워	앞세우/VV+어/EC
증권사마다	증권사/NNG+마다/JX
유치전	유치전/NNG
한창	한창/MAG


# id : NWRW1800000022.99.2.1
얼마전 우리투자증권은 대한항공이 부도나지 않으면 연 8% 넘는 고수익을 주는 이색 파생상품을 내놓았다.

얼마전	얼마/NNG+전/NNG
우리투자증권은	우리투자증권/NNP+은/JX
대한항공이	대한항공/NNP+이/JKS
부도나지	부도나/VV+지/EC
않으면	않/VX+으면/EC
연	연/NNG
8%	8/SN+%/SW
넘는	넘/VV+는/ETM
고수익을	고/XPN+수익/NNG+을/JKO
주는	주/VV+는/ETM
이색	이색/NNG
파생상품을	파생/NNG+상품/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.2.2
특정기업의 부도 확률을 이용한 신종 금융상품이었다.

특정기업의	특정/NNG+기업/NNG+의/JKG
부도	부도/NNG
확률을	확률/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
신종	신종/NNG
금융상품이었다.	금융/NNG+상품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.99.2.3
이 상품은 지난 19일 판매가 끝났고 312억원이 몰렸다.

이	이/MMD
상품은	상품/NNG+은/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
판매가	판매/NNG+가/JKS
끝났고	끝나/VV+았/EP+고/EC
312억원이	312/SN+억/NR+원/NNB+이/JKS
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.99.3.1
이 상품의 특징은 신용등급이 'A0'로 상위권인 대기업(대한항공)의 희박한 부도 가능성을 미끼로 투자자들을 끌어들인 것.

이	이/MMD
상품의	상품/NNG+의/JKG
특징은	특징/NNG+은/JX
신용등급이	신용/NNG+등급/NNG+이/JKS
'A0'로	'/SS+A/SL+0/SN+'/SS+로/JKB
상위권인	상위/NNG+권/XSN+이/VCP+ㄴ/ETM
대기업(대한항공)의	대/XPN+기업/NNG+(/SS+대한항공/NNP+)/SS+의/JKG
희박한	희박하/VA+ㄴ/ETM
부도	부도/NNG
가능성을	가능/NNG+성/XSN+을/JKO
미끼로	미끼/NNG+로/JKB
투자자들을	투자자/NNG+들/XSN+을/JKO
끌어들인	끌어들이/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.99.3.2
마땅한 투자처를 갈망하는 시중 자금을 끌어들이는 데 성공한 셈이다.

마땅한	마땅하/VA+ㄴ/ETM
투자처를	투자처/NNG+를/JKO
갈망하는	갈망/NNG+하/XSV+는/ETM
시중	시중/NNG
자금을	자금/NNG+을/JKO
끌어들이는	끌어들이/VV+는/ETM
데	데/NNB
성공한	성공/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.4.1
이처럼 800조원에 달하는 시중 부동(浮動) 자금을 노리는 신종 투자상품들이 쏟아져 나오고 있다.

이처럼	이/NP+처럼/JKB
800조원에	800/SN+조/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
시중	시중/NNG
부동(浮動)	부동/NNG+(/SS+浮動/SH+)/SS
자금을	자금/NNG+을/JKO
노리는	노리/VV+는/ETM
신종	신종/NNG
투자상품들이	투자/NNG+상품/NNG+들/XSN+이/JKS
쏟아져	쏟아지/VV+어/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.99.4.2
특히 이번 세계경제 침체가 바닥권에 근접했을 것이라는 공감대가 확산되면서 경기회복 시점을 겨냥한 상품들이 많다.

특히	특히/MAG
이번	이번/NNG
세계경제	세계/NNG+경제/NNG
침체가	침체/NNG+가/JKS
바닥권에	바닥/NNG+권/XSN+에/JKB
근접했을	근접/NNG+하/XSV+았/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
공감대가	공감대/NNG+가/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
경기회복	경기/NNG+회복/NNG
시점을	시점/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
상품들이	상품/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.99.5.1
◆'위기 이후'를 노린 상품들

◆'위기	◆/SW+'/SS+위기/NNG
이후'를	이후/NNG+'/SS+를/JKO
노린	노리/VV+ㄴ/ETM
상품들	상품/NNG+들/XSN


# id : NWRW1800000022.99.6.1
미래에셋증권은 미국 소비자물가지수(CPI)가 올라가면 수익이 나는 파생상품을 27일까지 판매한다.

미래에셋증권은	미래에셋증권/NNP+은/JX
미국	미국/NNP
소비자물가지수(CPI)가	소비자/NNG+물가/NNG+지수/NNG+(/SS+CPI/SL+)/SS+가/JKS
올라가면	올라가/VV+면/EC
수익이	수익/NNG+이/JKS
나는	나/VV+는/ETM
파생상품을	파생/NNG+상품/NNG+을/JKO
27일까지	27/SN+일/NNB+까지/JX
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.99.6.2
앞으로 유동성 장세가 오면 인플레이션(물가상승)이 발생할 것이라는 데에 착안했다.

앞으로	앞/NNG+으로/JKB
유동성	유동/NNG+성/XSN
장세가	장세/NNG+가/JKS
오면	오/VV+면/EC
인플레이션(물가상승)이	인플레이션/NNG+(/SS+물가/NNG+상승/NNG+)/SS+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
데에	데/NNB+에/JKB
착안했다.	착안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.6.3
이만열 미래에셋증권 파생상품운용본부 상무는 "미국 정부의 사상 유래 없는 유동성 공급은 향후 강력한 인플레이션을 발생시킬 수 있다"며 "이러한 상황에서 인플레이션에 직접 투자할 수 있도록 미국 CPI를 기초자산으로 선정하였다"고 밝혔다.

이만열	이만열/NNP
미래에셋증권	미래에셋증권/NNP
