# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.218
metadata : {}


# id : NWRW1800000036.218.1.1
뚱뚱한 우리 애, 엄마의 짠음식 때문?

뚱뚱한	뚱뚱/MAG+하/XSA+ㄴ/ETM
우리	우리/NP
애,	애/NNG+,/SP
엄마의	엄마/NNG+의/JKG
짠음식	짜/VA+ㄴ/ETM+음식/NNG
때문?	때문/NNB+?/SF


# id : NWRW1800000036.218.2.1
[한겨레] 열량 무관, 비만가능성 커져

[한겨레]	[/SS+한겨레/NNP+]/SS
열량	열량/NNG
무관,	무관/NNG+,/SP
비만가능성	비만/NNG+가능/NNG+성/XSN
커져	커지/VV+어/EF


# id : NWRW1800000036.218.3.1
성인보다 청소년이 더 심각

성인보다	성인/NNG+보다/JKB
청소년이	청소년/NNG+이/JKS
더	더/MAG
심각	심각/XR


# id : NWRW1800000036.218.4.1
나트륨 섭취 증가 ‘경고등’

나트륨	나트륨/NNG
섭취	섭취/NNG
증가	증가/NNG
‘경고등’	‘/SS+경고/NNG+등/NNG+’/SS


# id : NWRW1800000036.218.5.1
음식을 짜게 먹을수록 비만해질 가능성이 높아진다는 조사 결과가 나왔다.

음식을	음식/NNG+을/JKO
짜게	짜/VA+게/EC
먹을수록	먹/VV+을수록/EC
비만해질	비만/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아진다는	높아지/VV+ㄴ다는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.218.5.2
특히 청소년에게서 이런 경향이 더 뚜렷하게 나타났다.

특히	특히/MAG
청소년에게서	청소년/NNG+에게서/JKB
이런	이런/MMD
경향이	경향/NNG+이/JKS
더	더/MAG
뚜렷하게	뚜렷하/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.218.6.1
보건복지부는 오상우 동국대 일산병원 가정의학과 교수팀과 함께 2007~2010년 국민건강영양조사 결과를 분석해보니, 19살 이상 성인의 경우 가장 짜게 먹는 20%에 속하는 사람들은 가장 덜 짜게 먹는 20%에 견줘 비만에 걸릴 위험이 1.2배로 나타났다고 10일 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
오상우	오상우/NNP
동국대	동국대/NNP
일산병원	일산/NNP+병원/NNG
가정의학과	가정/NNG+의학과/NNG
교수팀과	교수/NNG+팀/NNG+과/JKB
함께	함께/MAG
2007~2010년	2007/SN+~/SO+2010/SN+년/NNB
국민건강영양조사	국민/NNG+건강/NNG+영양/NNG+조사/NNG
결과를	결과/NNG+를/JKO
