# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.224
metadata : {}


# id : NWRW1800000029.224.1.1
[휴지통]“욕을 해?”

[휴지통]“욕을	[/SS+휴지통/NNG+]/SS+“/SS+욕/NNG+을/JKO
해?”	하/VV+아/EF+?/SF+”/SS


# id : NWRW1800000029.224.1.2
심야 10km 차량 추격전

심야	심야/NNG
10km	10/SN+km/SW
차량	차량/NNG
추격전	추격전/NNG


# id : NWRW1800000029.224.2.1
고의추돌-폭행 20대 5명 검거

고의추돌-폭행	고의/NNG+추돌/NNG+-/SO+폭행/NNG
20대	20/SN+대/NNB
5명	5/SN+명/NNB
검거	검거/NNG


# id : NWRW1800000029.224.3.1
“욕 한번 했다고….”

“욕	“/SS+욕/NNG
한번	한번/MAG
했다고….”	하/VV+았/EP+다고/EC+…/SE+./SF+”/SS


# id : NWRW1800000029.224.4.1
운전 중 다른 차량 운전자가 욕을 했다는 이유로 무려 10여 km를 쫓아가 고의로 추돌하고 보복 폭행을 한 20대 일행이 경찰에 붙잡혔다.

운전	운전/NNG
중	중/NNB
다른	다른/MMD
차량	차량/NNG
운전자가	운전자/NNG+가/JKS
욕을	욕/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
무려	무려/MAG
10여	10/SN+여/XSN
km를	km/SW+를/JKO
쫓아가	쫓아가/VV+아/EC
고의로	고의/NNG+로/JKB
추돌하고	추돌/NNG+하/XSV+고/EC
보복	보복/NNG
폭행을	폭행/NNG+을/JKO
한	하/VV+ㄴ/ETM
20대	20/SN+대/NNB
일행이	일행/NNG+이/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.224.5.1
15일 새벽 쏘나타 승용차를 타고 가던 회사원 김모 씨(24) 등 5명은 부산 남구 대연동 경성대 앞길에서 프라이드 승용차에 타고 있던 전모 씨(20·여·무직) 일행과 시비가 붙었다.

15일	15/SN+일/NNB
새벽	새벽/NNG
쏘나타	쏘나타/NNP
승용차를	승용차/NNG+를/JKO
타고	타/VV+고/EC
가던	가/VV+던/ETM
회사원	회사원/NNG
김모	김/NNP+모/NP
씨(24)	씨/NNB+(/SS+24/SN+)/SS
등	등/NNB
5명은	5/SN+명/NNB+은/JX
부산	부산/NNP
남구	남구/NNP
대연동	대연동/NNP
경성대	경성대/NNP
앞길에서	앞길/NNG+에서/JKB
프라이드	프라이드/NNG
승용차에	승용차/NNG+에/JKB
있던	있/VX+던/ETM
전모	전/NNP+모/NP
씨(20·여·무직)	씨/NNB+(/SS+20/SN+·/SP+여/NNG+·/SP+무직/NNG+)/SS
일행과	일행/NNG+과/JKB
시비가	시비/NNG+가/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.224.5.2
전 씨 일행이 길을 비켜 달라고 경적을 울리며 “뭘 봐 ××들”이라고 욕을 했기 때문.

전	전/NNP
씨	씨/NNB
일행이	일행/NNG+이/JKS
길을	길/NNG+을/JKO
비켜	비키/VV+어/EC
달라고	달/VX+라고/EC
경적을	경적/NNG+을/JKO
울리며	울리/VV+며/EC
“뭘	“/SS+뭐/NP+ㄹ/JKO
봐	보/VV+아/EC
××들”이라고	××/SW+들/XSN+”/SS+이라고/JKQ
욕을	욕/NNG+을/JKO
했기	하/VV+았/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000029.224.6.1
욕설이 오가며 분위기가 험악해지자 전 씨 일행은 차를 몰고 달아났고 김 씨 일행은 전 씨 뒤를 쫓기 시작했다.

욕설이	욕설/NNG+이/JKS
오가며	오가/VV+며/EC
분위기가	분위기/NNG+가/JKS
험악해지자	험악하/VA+아/EC+지/VX+자/EC
전	전/NNP
씨	씨/NNB
일행은	일행/NNG+은/JX
차를	차/NNG+를/JKO
몰고	몰/VV+고/EC
달아났고	달아나/VV+았/EP+고/EC
김	김/NNP
뒤를	뒤/NNG+를/JKO
쫓기	쫓/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.224.6.2
추격전은 경성대 입구∼대남 로터리∼동명대 입구∼대남 로터리∼황령산터널 입구 주유소 근처까지 10여 km에 걸쳐 이어졌다.

추격전은	추격전/NNG+은/JX
경성대	경성대/NNP
입구∼대남	입구/NNG+∼/SO+대남/NNP
로터리∼동명대	로터리/NNG+∼/SO+동명대/NNP
로터리∼황령산터널	로터리/NNG+∼/SO+황령산/NNP+터널/NNG
입구	입구/NNG
주유소	주유소/NNG
근처까지	근처/NNG+까지/JX
10여	10/SN+여/XSN
km에	km/SW+에/JKB
걸쳐	걸치/VV+어/EC
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.224.6.3
김 씨 일행은 전 씨 일행의 차가 주유소 근처에 멈추자 전 씨의 차문을 걷어차는 등 행패를 부렸다.

김	김/NNP
씨	씨/NNB
일행은	일행/NNG+은/JX
전	전/NNP
일행의	일행/NNG+의/JKG
차가	차/NNG+가/JKS
주유소	주유소/NNG
근처에	근처/NNG+에/JKB
멈추자	멈추/VV+자/EC
씨의	씨/NNB+의/JKG
차문을	차/NNG+문/NNG+을/JKO
걷어차는	걷어차/VV+는/ETM
등	등/NNB
행패를	행패/NNG+를/JKO
부렸다.	부리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.224.6.4
프라이드 승용차가 다시 달아나자 대연동 고려병원 앞까지 3.5km 더 추격전을 벌였고 이곳에서 다시 멈춘 프라이드 승용차를 차로 들이받았다.

프라이드	프라이드/NNG
승용차가	승용차/NNG+가/JKS
다시	다시/MAG
달아나자	달아나/VV+자/EC
대연동	대연동/NNP
고려병원	고려병원/NNP
앞까지	앞/NNG+까지/JX
3.5km	3/SN+./SP+5/SN+km/SW
더	더/MAG
추격전을	추격전/NNG+을/JKO
벌였고	벌이/VV+었/EP+고/EC
이곳에서	이곳/NP+에서/JKB
멈춘	멈추/VV+ㄴ/ETM
승용차를	승용차/NNG+를/JKO
차로	차/NNG+로/JKB
들이받았다.	들이받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.224.6.5
이 사고로 프라이드 차가 파손되고 전 씨 등이 부상을 입었다.

이	이/MMD
사고로	사고/NNG+로/JKB
프라이드	프라이드/NNG
차가	차/NNG+가/JKS
파손되고	파손/NNG+되/XSV+고/EC
전	전/NNP
씨	씨/NNB
등이	등/NNB+이/JKS
부상을	부상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.224.6.6
부산 남부경찰서는 17일 폭력행위 등 처벌에 관한 법률 위반 혐의로 김 씨 등 2명에 대해 구속영장을 신청하고 나머지 3명을 불구속 입건했다.

부산	부산/NNP
남부경찰서는	남부/NNG+경찰서/NNG+는/JX
17일	17/SN+일/NNB
폭력행위	폭력/NNG+행위/NNG
등	등/NNB
처벌에	처벌/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
김	김/NNP
씨	씨/NNB
2명에	2/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
신청하고	신청/NNG+하/XSV+고/EC
나머지	나머지/NNG
3명을	3/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


