# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.348
metadata : {}


# id : NWRW1800000028.348.1.1
한미FTA ‘손학규호’ 정체성 첫 시험대

한미FTA	한미/NNP+FTA/SL
‘손학규호’	‘/SS+손학규호/NNP+’/SS
정체성	정체/NNG+성/XSN
첫	첫/MMN
시험대	시험대/NNG


# id : NWRW1800000028.348.2.1
첫 시험치고는 난이도가 녹록잖다.

첫	첫/MMN
시험치고는	시험/NNG+치고/JX+는/JX
난이도가	난이도/NNG+가/JKS
녹록잖다.	녹록하/VA+지/EC+않/VX+다/EF+./SF


# id : NWRW1800000028.348.2.2
자칫 첨예한 노선 갈등으로 번지거나, 어렵게 추슬러온 시민사회·진보정당과의 연대 틀에 균열이 생길 수 있다.

자칫	자칫/MAG
첨예한	첨예하/VA+ㄴ/ETM
노선	노선/NNG
갈등으로	갈등/NNG+으로/JKB
번지거나,	번지/VV+거나/EC+,/SP
어렵게	어렵/VA+게/EC
추슬러온	추스르/VV+어/EC+오/VX+ㄴ/ETM
시민사회·진보정당과의	시민/NNG+사회/NNG+·/SP+진보/NNG+정당/NNG+과/JKB+의/JKG
연대	연대/NNG
틀에	틀/NNG+에/JKB
균열이	균열/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.348.2.3
민주당이 맞닥뜨린 이 난제는 한-미 자유무역협정(FTA)이란 고차방정식이다.

민주당이	민주당/NNP+이/JKS
맞닥뜨린	맞닥뜨리/VV+ㄴ/ETM
이	이/MMD
난제는	난제/NNG+는/JX
한-미	한-미/NNP
자유무역협정(FTA)이란	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+이/VCP+란/ETM
고차방정식이다.	고차/NNG+방정식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.3.1
정동영 최고위원이 시험지의 ‘봉인’을 풀었다.

정동영	정동영/NNP
최고위원이	최고/NNG+위원/NNG+이/JKS
시험지의	시험지/NNG+의/JKG
‘봉인’을	‘/SS+봉인/NNG+’/SS+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.348.3.2
정 최고위원은 6일 광주에서 열린 최고위원회에서 “한-미 에프티에이 초안은 거의 훼손되고, 미국의 재협상 요구에 끌려다니는 형국”이라며 “최고위가 (재협상에 대한) 공식 입장을 정해야 한다”고 말했다.

정	정/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
6일	6/SN+일/NNB
광주에서	광주/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
최고위원회에서	최고/NNG+위원회/NNG+에서/JKB
“한-미	“/SS+한-미/NNP
에프티에이	에프티에이/NNG
초안은	초안/NNG+은/JX
거의	거의/MAG
훼손되고,	훼손/NNG+되/XSV+고/EC+,/SP
미국의	미국/NNP+의/JKG
재협상	재/XPN+협상/NNG
요구에	요구/NNG+에/JKB
끌려다니는	끌리/VV+어/EC+다니/VV+는/ETM
형국”이라며	형국/NNG+”/SS+이/VCP+라며/EC
“최고위가	“/SS+최/XPN+고위/NNG+가/JKS
(재협상에	(/SS+재/XPN+협상/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
공식	공식/NNG
입장을	입장/NNG+을/JKO
정해야	정하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.348.3.3
전당대회 국면에서 ‘재협상 신중론’을 펼친 손학규 대표와 정세균 최고위원을 겨냥한 발언으로 보인다.

전당대회	전당/NNG+대회/NNG
국면에서	국면/NNG+에서/JKB
‘재협상	‘/SS+재/XPN+협상/NNG
신중론’을	신중/NNG+론/XSN+’/SS+을/JKO
펼친	펼치/VV+ㄴ/ETM
손학규	손학규/NNP
대표와	대표/NNG+와/JC
정세균	정세균/NNP
최고위원을	최고/NNG+위원/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
발언으로	발언/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.348.3.4
정동영 최고위원은 전대 기간 당내 ‘진보 경쟁’을 주도하면서 ‘독소조항 개정을 위한 전면 재협상’을 선도적으로 제기했다.

정동영	정동영/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
전대	전대/NNG
기간	기간/NNG
당내	당내/NNG
‘진보	‘/SS+진보/NNG
경쟁’을	경쟁/NNG+’/SS+을/JKO
주도하면서	주도/NNG+하/XSV+면서/EC
‘독소조항	‘/SS+독소/NNG+조항/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전면	전면/NNG
재협상’을	재/XPN+협상/NNG+’/SS+을/JKO
선도적으로	선도/NNG+적/XSN+으로/JKB
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.348.4.1
한-미 에프티에이 문제를 둘러싼 민주당의 기류는 전면 재협상론과 신중론으로 양분되는 양상이다.

한-미	한-미/NNP
에프티에이	에프티에이/NNG
문제를	문제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
민주당의	민주당/NNP+의/JKG
기류는	기류/NNG+는/JX
전면	전면/NNG
재협상론과	재/XPN+협상/NNG+론/XSN+과/JC
신중론으로	신중/NNG+론/XSN+으로/JKB
양분되는	양분/NNG+되/XSV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.4.2
재협상론은 정동영·천정배·이인영 최고위원이 중심이다.

재협상론은	재/XPN+협상/NNG+론/XSN+은/JX
정동영·천정배·이인영	정동영/NNP+·/SP+천정배/NNP+·/SP+이인영/NNP
최고위원이	최고/NNG+위원/NNG+이/JKS
중심이다.	중심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.4.3
이들은 전대 기간 “투자자-국가 제소, 서비스 분야 네거티브 리스트(수입을 자유화하되 예외적으로 수입을 금지하는 품목만 열거하는 방식) 조항 등 독소조항 삭제를 위해 전면 재협상이 필요하다”는 견해를 폈다.

이들은	이/NP+들/XSN+은/JX
전대	전대/NNG
기간	기간/NNG
“투자자-국가	“/SS+투자자/NNG+-/SO+국가/NNG
제소,	제소/NNG+,/SP
서비스	서비스/NNG
분야	분야/NNG
네거티브	네거티브/NNG
리스트(수입을	리스트/NNG+(/SS+수입/NNG+을/JKO
자유화하되	자유/NNG+화/XSN+하/XSV+되/EC
예외적으로	예외/NNG+적/XSN+으로/JKB
수입을	수입/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
품목만	품목/NNG+만/JX
열거하는	열거/NNG+하/XSV+는/ETM
방식)	방식/NNG+)/SS
조항	조항/NNG
등	등/NNB
독소조항	독소/NNG+조항/NNG
삭제를	삭제/NNG+를/JKO
위해	위하/VV+아/EC
전면	전면/NNG
재협상이	재/XPN+협상/NNG+이/JKS
필요하다”는	필요/NNG+하/XSA+다/EF+”/SS+는/ETM
견해를	견해/NNG+를/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.348.4.4
당내에선 박주선·조배숙 최고위원과 유선호·이낙연·문학진·김성순·강창일·최철국·주승용·김재균·안민석·김진애·박은수·김영진·이윤석·이종걸·신건·장세환·최문순·최규성·김춘진 의원(21명)이 재협상 요청서에 서명한 상태다.

당내에선	당내/NNG+에서/JKB+ㄴ/JX
박주선·조배숙	박주선/NNP+·/SP+조배숙/NNP
최고위원과	최고/NNG+위원/NNG+과/JC
유선호·이낙연·문학진·김성순·강창일·최철국·주승용·김재균·안민석·김진애·박은수·김영진·이윤석·이종걸·신건·장세환·최문순·최규성·김춘진	유선호/NNP+·/SP+이낙연/NNP+·/SP+문학진/NNP+·/SP+김성순/NNP+·/SP+강창일/NNP+·/SP+최철국/NNP+·/SP+주승용/NNP+·/SP+김재균/NNP+·/SP+안민석/NNP+·/SP+김진애/NNP+·/SP+박은수/NNP+·/SP+김영진/NNP+·/SP+이윤석/NNP+·/SP+이종걸/NNP+·/SP+신건/NNP+·/SP+장세환/NNP+·/SP+최문순/NNP+·/SP+최규성/NNP+·/SP+김춘진/NNP
의원(21명)이	의원/NNG+(/SS+21/SN+명/NNB+)/SS+이/JKS
재협상	재/XPN+협상/NNG
요청서에	요청서/NNG+에/JKB
서명한	서명/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.5.1
반면 손 대표와 정세균 최고위원은 경선 기간 “추가 양보를 요구하는 미국 의도에 휘말릴 수 있다”며 신중론을 펴왔다.

반면	반면/NNG
손	손/NNP
대표와	대표/NNG+와/JC
정세균	정세균/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
경선	경선/NNG
기간	기간/NNG
“추가	“/SS+추가/NNG
양보를	양보/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
미국	미국/NNP
의도에	의도/NNG+에/JKB
휘말릴	휘말리/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
신중론을	신중/NNG+론/XSN+을/JKO
펴왔다.	펴/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.348.5.2
손 대표의 핵심 측근은 “참모진에서 이 문제에 대한 입장이 정리되지 않았다”며 “(당론을 정하려면) 여러 가능성을 종합적으로 고려해야 하지 않겠느냐”고 말했다.

손	손/NNP
대표의	대표/NNG+의/JKG
핵심	핵심/NNG
측근은	측근/NNG+은/JX
“참모진에서	“/SS+참모진/NNG+에서/JKB
이	이/MMD
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장이	입장/NNG+이/JKS
정리되지	정리/NNG+되/XSV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“(당론을	“/SS+(/SS+당론/NNG+을/JKO
정하려면)	정하/VV+려면/EC+)/SS
여러	여러/MMN
가능성을	가능/NNG+성/XSN+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
고려해야	고려/NNG+하/XSV+아야/EC
하지	하/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.348.5.3
일각에선 2008년 통합민주당 대표 시절 에프티에이 비준을 찬성했던 손 대표로선 입장을 바꾸기가 쉽지 않을 것이란 전망도 나온다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
2008년	2008/SN+년/NNB
통합민주당	통합민주당/NNP
대표	대표/NNG
시절	시절/NNG
에프티에이	에프티에이/NNG
비준을	비준/NNG+을/JKO
찬성했던	찬성/NNG+하/XSV+았/EP+던/ETM
손	손/NNP
대표로선	대표/NNG+로서/JKB+ㄴ/JX
입장을	입장/NNG+을/JKO
바꾸기가	바꾸/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.348.6.1
양쪽 모두 고민은 있다.

양쪽	양쪽/NNG
모두	모두/MAG
고민은	고민/NNG+은/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.348.6.2
재협상파는 정부 통상 라인의 성향과 협상력을 미심쩍어 한다.

재협상파는	재/XPN+협상파/NNG+는/JX
정부	정부/NNG
통상	통상/NNG
라인의	라인/NNG+의/JKG
성향과	성향/NNG+과/JC
협상력을	협상력/NNG+을/JKO
미심쩍어	미심쩍/VA+어/EC
