# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.314
metadata : {}


# id : NWRW1800000040.314.1.1
[한겨레 프리즘] 고척돔과 진해구장 / 김양희

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
고척돔과	고척돔/NNP+과/JC
진해구장	진해구장/NNP
/	//SP
김양희	김양희/NNP


# id : NWRW1800000040.314.2.1
부천에서 서울로 출근할 때마다 고척돔 야구장과 마주한다.

부천에서	부천/NNP+에서/JKB
서울로	서울/NNP+로/JKB
출근할	출근/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
고척돔	고척돔/NNP
야구장과	야구장/NNG+과/JKB
마주한다.	마주/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.314.2.2
하얀 지붕을 씌우는 공사가 한창이다.

하얀	하얗/VA+ㄴ/ETM
지붕을	지붕/NNG+을/JKO
씌우는	씌우/VV+는/ETM
공사가	공사/NNG+가/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.314.2.3
고척돔을 볼 때마다 떠오르는 생각은 ‘저기에서 프로야구를 하면 보러 가야지’가 아니라 ‘프로야구 하면 어디로 우회해서 지나갈까’다.

고척돔을	고척돔/NNP+을/JKO
볼	보/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
떠오르는	떠오르/VV+는/ETM
생각은	생각/NNG+은/JX
‘저기에서	‘/SS+저기/NP+에서/JKB
프로야구를	프로/NNG+야구/NNG+를/JKO
하면	하/VV+면/EC
보러	보/VV+러/EC
가야지’가	가/VV+아야지/EF+’/SS+가/JKC
아니라	아니/VCN+라/EC
‘프로야구	‘/SS+프로/NNG+야구/NNG
어디로	어디/NP+로/JKB
우회해서	우회/NNG+하/XSV+아서/EC
지나갈까’다.	지나가/VV+ㄹ까/EF+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000040.314.2.4
지금도 고척교 인근 교통 체증이 심한데 프로야구까지 하게 되면 더 심해질 것이다.

지금도	지금/NNG+도/JX
고척교	고척교/NNP
인근	인근/NNG
교통	교통/NNG
체증이	체증/NNG+이/JKS
심한데	심하/VA+ㄴ데/EC
프로야구까지	프로/NNG+야구/NNG+까지/JX
하게	하/VV+게/EC
되면	되/VV+면/EC
더	더/MAG
심해질	심하/VA+아/EC+지/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.314.3.1
고척돔은 올해 12월 완공되는데, 아직까지 주인을 찾지 못했다.

고척돔은	고척돔/NNP+은/JX
올해	올해/NNG
12월	12/SN+월/NNB
완공되는데,	완공/NNG+되/XSV+는데/EC+,/SP
아직까지	아직/MAG+까지/JX
주인을	주인/NNG+을/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.314.3.2
서울에 연고를 둔 두산, 엘지(LG), 히어로즈가 난색을 표하고 있다.

서울에	서울/NNP+에/JKB
연고를	연고/NNG+를/JKO
둔	두/VV+ㄴ/ETM
두산,	두산/NNP+,/SP
엘지(LG),	엘지/NNP+(/SS+LG/SL+)/SS+,/SP
히어로즈가	히어로즈/NNP+가/JKS
난색을	난색/NNG+을/JKO
표하고	표/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.314.3.3
애초 야구계는 시장성, 접근성 등을 이유로 기존 잠실야구장 옆에 4만명 이상을 수용할 수 있는 돔구장을 원했다.

애초	애초/NNG
야구계는	야구/NNG+계/XSN+는/JX
시장성,	시장/NNG+성/XSN+,/SP
접근성	접근/NNG+성/XSN
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
기존	기존/NNG
잠실야구장	잠실야구장/NNP
옆에	옆/NNG+에/JKB
4만명	4/SN+만/NR+명/NNB
이상을	이상/NNG+을/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
돔구장을	돔/NNG+구장/NNG+을/JKO
원했다.	원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.314.3.4
그러나 서울시는 동대문야구장 철거에 따른 민심을 달래고 서남권을 활성화한다는 이유로 입지조건이 좋지 않은 곳에 2만2000석 규모의 돔구장 공사를 강행했다.

그러나	그러나/MAJ
서울시는	서울시/NNP+는/JX
동대문야구장	동대문야구장/NNP
철거에	철거/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
민심을	민심/NNG+을/JKO
달래고	달래/VV+고/EC
서남권을	서남/NNG+권/XSN+을/JKO
활성화한다는	활성/NNG+화/XSN+하/XSV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
입지조건이	입지/NNG+조건/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
곳에	곳/NNG+에/JKB
2만2000석	2/SN+만/NR+2000/SN+석/NNB
규모의	규모/NNG+의/JKG
돔구장	돔/NNG+구장/NNG
공사를	공사/NNG+를/JKO
강행했다.	강행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.314.3.5
공사비만 2000억원가량 드는 고척돔구장은, 프로 구단들이 입주를 거부할 경우 연간 운영비만 60억원 이상이 들어가는 돈 먹는 하마가 된다.

공사비만	공사비/NNG+만/JX
2000억원가량	2000/SN+억/NR+원/NNB+가량/XSN
드는	들/VV+는/ETM
고척돔구장은,	고척돔구장/NNP+은/JX+,/SP
프로	프로/NNG
구단들이	구단/NNG+들/XSN+이/JKS
입주를	입주/NNG+를/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
연간	연간/NNG
운영비만	운영비/NNG+만/JX
60억원	60/SN+억/NR+원/NNB
이상이	이상/NNG+이/JKS
들어가는	들어가/VV+는/ETM
돈	돈/NNG
먹는	먹/VV+는/ETM
하마가	하마/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.314.3.6
지방자치단체와 프로 구단의 불통이 빚어낸 결과다.

지방자치단체와	지방/NNG+자치/NNG+단체/NNG+와/JC
프로	프로/NNG
구단의	구단/NNG+의/JKG
불통이	불통/NNG+이/JKS
빚어낸	빚어내/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.314.4.1
프로야구 9구단 엔씨(NC)도 1군리그 데뷔도 하기 전에 통합창원시의 일방통행에 좌절하고 있다.

프로야구	프로/NNG+야구/NNG
9구단	9/SN+구단/NNG
엔씨(NC)도	엔씨/NNP+(/SS+NC/SL+)/SS+도/JX
1군리그	1/SN+군/NNG+리그/NNG
데뷔도	데뷔/NNG+도/JX
하기	하/VV+기/ETN
전에	전/NNG+에/JKB
통합창원시의	통합/NNG+창원시/NNP+의/JKG
일방통행에	일방통행/NNG+에/JKB
좌절하고	좌절/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.314.4.2
창원시는 구장을 사용하게 될 엔씨의 요구를 묵살한 채 신축 야구장을 인구 18만명인 옛 진해에 짓기로 지난달 말 결정했다.

창원시는	창원시/NNP+는/JX
구장을	구장/NNG+을/JKO
