# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.410
metadata : {}


# id : NWRW1800000054.410.1.1
WP "세계최강 무기가 33세 독재자 손에 들어가나"

WP	WP/SL
"세계최강	"/SS+세계/NNG+최강/NNG
무기가	무기/NNG+가/JKS
33세	33/SN+세/NNB
독재자	독재자/NNG
손에	손/NNG+에/JKB
들어가나"	들어가/VV+나/EF+"/SS


# id : NWRW1800000054.410.2.1
美전문가들 "수소탄 특징 갖춰… ICBM 장착엔 2~3년 필요할 것"

美전문가들	美/SH+전문가/NNG+들/XSN
"수소탄	"/SS+수소탄/NNG
특징	특징/NNG
갖춰…	갖추/VV+어/EF+…/SE
ICBM	ICBM/SL
장착엔	장착/NNG+에/JKB+ㄴ/JX
2~3년	2/SN+~/SO+3/SN+년/NNB
필요할	필요/NNG+하/XSA+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.410.3.1
미국 군사 전문가들은 4일(현지 시각) 북한의 6차 핵실험에 대해 "기술적으로 상당히 진전했다"고 평가하면서도 "대륙간탄도미사일(ICBM) 장착용 수소탄 시험에 성공했다"는 북한 주장에 대해선 신중한 반응을 보였다.

미국	미국/NNP
군사	군사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
북한의	북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험에	핵/NNG+실험/NNG+에/JKB
대해	대하/VV+아/EC
"기술적으로	"/SS+기술/NNG+적/XSN+으로/JKB
상당히	상당히/MAG
진전했다"고	진전/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
평가하면서도	평가/NNG+하/XSV+면서/EC+도/JX
"대륙간탄도미사일(ICBM)	"/SS+대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS
장착용	장착/NNG+용/XSN
수소탄	수소탄/NNG
시험에	시험/NNG+에/JKB
성공했다"는	성공/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
북한	북한/NNP
주장에	주장/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
신중한	신중/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.410.4.1
워싱턴포스트는 이날 "미국 내 다수 핵 전문가는 북한이 공개한 핵탄두는 미국과 소련이 보유한 것과 모양은 다르지만 수소탄의 특징을 갖춘 것으로 보인다"며 "5차 핵실험보다 최소 5배 이상의 폭발력을 보여준 이번 핵실험은 북한 핵 능력의 비약적 발전(quantum leap)을 보여주었다"고 했다.

워싱턴포스트는	워싱턴포스트/NNP+는/JX
이날	이날/NNG
"미국	"/SS+미국/NNP
내	내/NNB
다수	다수/NNG
핵	핵/NNG
전문가는	전문가/NNG+는/JX
북한이	북한/NNP+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
핵탄두는	핵탄두/NNG+는/JX
미국과	미국/NNP+과/JC
소련이	소련/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
