# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.214
metadata : {}


# id : NWRW1800000034.214.1.1
[서울교육감·경남지사 등 재보선] "여당, 2년반만에 道政 되찾아 겸손하게 도민 섬기겠습니다" •

[서울교육감·경남지사	[/SS+서울/NNP+교육감/NNG+·/SP+경남/NNP+지사/NNG
등	등/NNB
재보선]	재보선/NNG+]/SS
"여당,	"/SS+여당/NNG+,/SP
2년반만에	2/SN+년/NNB+반/NNG+만/NNB+에/JKB
道政	道政/SH
되찾아	되찾/VV+아/EC
겸손하게	겸손/NNG+하/XSA+게/EC
도민	도민/NNG
섬기겠습니다"	섬기/VV+겠/EP+습니다/EF+"/SS
•	•/SW


# id : NWRW1800000034.214.2.1
홍준표 경남지사 당선인, 4선 의원 지낸 검사 출신… 행정 경력까지 갖추게 돼

홍준표	홍준표/NNP
경남지사	경남/NNP+지사/NNG
당선인,	당선인/NNG+,/SP
4선	4/SN+선/NNB
의원	의원/NNG
지낸	지내/VV+ㄴ/ETM
검사	검사/NNG
출신…	출신/NNG+…/SE
행정	행정/NNG
경력까지	경력/NNG+까지/JX
갖추게	갖추/VV+게/EC
돼	되/VV+어/EF


# id : NWRW1800000034.214.3.1
홍준표 경남도지사 당선인은 19일 오후 7시 10분쯤 창원시 중앙동 대흥인터빌 건물 1층 선거사무실에 나타나 지지자와 운동원들의 환영을 받았다.

홍준표	홍준표/NNP
경남도지사	경남/NNP+도지사/NNG
당선인은	당선인/NNG+은/JX
19일	19/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
10분쯤	10/SN+분/NNB+쯤/XSN
창원시	창원시/NNP
중앙동	중앙동/NNP
대흥인터빌	대흥인터빌/NNP
건물	건물/NNG
1층	1/SN+층/NNG
선거사무실에	선거/NNG+사무실/NNG+에/JKB
나타나	나타나/VV+아/EC
지지자와	지지자/NNG+와/JC
운동원들의	운동원/NNG+들/XSN+의/JKG
환영을	환영/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.214.3.2
개표가 진행되고 당선이 확정되자 홍 당선인은 "2년 반 만에 새누리당이 도정을 되찾았다"며 "이겼다고 자만하지 않고, 겸손하게 도민을 섬기겠다"고 말했다.

개표가	개표/NNG+가/JKS
진행되고	진행/NNG+되/XSV+고/EC
당선이	당선/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
홍	홍/NNP
당선인은	당선인/NNG+은/JX
"2년	"/SS+2/SN+년/NNB
반	반/NNG
만에	만/NNB+에/JKB
새누리당이	새누리당/NNP+이/JKS
도정을	도정/NNG+을/JKO
되찾았다"며	되찾/VV+았/EP+다/EF+"/SS+며/EC
"이겼다고	"/SS+이기/VV+었/EP+다고/EC
자만하지	자만/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
겸손하게	겸손/NNG+하/XSA+게/EC
도민을	도민/NNG+을/JKO
섬기겠다"고	섬기/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.214.4.1
홍 당선인은 "내일(20일) 정상 출근해 약식으로 취임식을 가진 뒤 바로 업무를 시작하겠다"면서 "부자와 서민, 장애인과 비장애인 등이 함께 가는 경남을 만들겠다"고 말했다.

홍	홍/NNP
당선인은	당선인/NNG+은/JX
"내일(20일)	"/SS+내일/NNG+(/SS+20/SN+일/NNB+)/SS
정상	정상/NNG
출근해	출근/NNG+하/XSV+아/EC
약식으로	약식/NNG+으로/JKB
취임식을	취임식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
바로	바로/MAG
업무를	업무/NNG+를/JKO
시작하겠다"면서	시작/NNG+하/XSV+겠/EP+다/EF+"/SS+면서/EC
"부자와	"/SS+부자/NNG+와/JC
서민,	서민/NNG+,/SP
장애인과	장애인/NNG+과/JC
비장애인	비/XPN+장애인/NNG
등이	등/NNB+이/JKS
함께	함께/MAG
가는	가/VV+는/ETM
경남을	경남/NNP+을/JKO
만들겠다"고	만들/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.214.5.1
홍 당선인은 지사직은 처음이지만 정치적으로 보자면 여야 정치인 누구보다 화려한 경력을 갖고 있다.

홍	홍/NNP
당선인은	당선인/NNG+은/JX
지사직은	지사직/NNG+은/JX
처음이지만	처음/NNG+이/VCP+지만/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
보자면	보/VV+자면/EC
여야	여야/NNG
정치인	정치인/NNG
누구보다	누구/NP+보다/JKB
화려한	화려하/VA+ㄴ/ETM
경력을	경력/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000034.214.5.2
1954년 경남 창녕에서 태어난 홍 당선인의 원래 이름은 판표(判杓)였다.

1954년	1954/SN+년/NNB
경남	경남/NNP
창녕에서	창녕/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
홍	홍/NNP
당선인의	당선인/NNG+의/JKG
원래	원래/MAG
이름은	이름/NNG+은/JX
판표(判杓)였다.	판표/NNP+(/SS+判杓/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000034.214.5.3
법조계 선배가 "검사가 무슨 (판사를 의미하는) '판(判)'자를 쓰느냐"고 해서 준표(準杓)로 개명(改名)했다.

법조계	법조/NNG+계/XSN
선배가	선배/NNG+가/JKS
"검사가	"/SS+검사/NNG+가/JKS
무슨	무슨/MMD
(판사를	(/SS+판사/NNG+를/JKO
의미하는)	의미/NNG+하/XSV+는/ETM+)/SS
'판(判)'자를	'/SS+판/NNG+(/SS+判/SH+)/SS+'/SS+자/NNG+를/JKO
쓰느냐"고	쓰/VV+느냐/EF+"/SS+고/JKQ
해서	하/VV+아서/EC
준표(準杓)로	준표/NNP+(/SS+準杓/SH+)/SS+로/JKB
개명(改名)했다.	개명/NNG+(/SS+改名/SH+)/SS+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.214.5.4
본인 스스로 "조선소 경비원의 아들, 고리사채로 머리채를 잡혀 길거리를 끌려다녀야 했던 어머니의 아들"이라고 할 만큼 찢어지게 가난한 어린 시절을 보냈다.

본인	본인/NNG
스스로	스스로/MAG
"조선소	"/SS+조선소/NNG
경비원의	경비원/NNG+의/JKG
아들,	아들/NNG+,/SP
고리사채로	고리/NNG+사채/NNG+로/JKB
머리채를	머리채/NNG+를/JKO
잡혀	잡히/VV+어/EC
길거리를	길거리/NNG+를/JKO
끌려다녀야	끌려다니/VV+어야/EC
했던	하/VX+았/EP+던/ETM
어머니의	어머니/NNG+의/JKG
아들"이라고	아들/NNG+"/SS+이라고/JKQ
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
찢어지게	찢어지/VV+게/EC
가난한	가난/NNG+하/XSA+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
시절을	시절/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.214.5.5
본인은 "보리쌀 두 말을 들고 대구로 가 영남고를 졸업했고, 1만4000원을 쥐고 서울로 가서 고려대 법대를 졸업했다"고 말한다.

본인은	본인/NNG+은/JX
"보리쌀	"/SS+보리쌀/NNG
두	두/MMN
말을	말/NNB+을/JKO
들고	들/VV+고/EC
대구로	대구/NNP+로/JKB
가	가/VV+아/EC
영남고를	영남고/NNP+를/JKO
졸업했고,	졸업/NNG+하/XSV+았/EP+고/EC+,/SP
1만4000원을	1/SN+만/NR+4000/SN+원/NNB+을/JKO
쥐고	쥐/VV+고/EC
서울로	서울/NNP+로/JKB
가서	가/VV+아서/EC
고려대	고려대/NNP
법대를	법대/NNG+를/JKO
졸업했다"고	졸업/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000034.214.5.6
"어떻게든 가난한 삶에서 벗어나 보려고 사법시험을 쳤다"는 그는 1982년 합격한 뒤 85년부터 10년간 검사 생활을 했다.

"어떻게든	"/SS+어떻/VA+게/EC+든/JX
가난한	가난/NNG+하/XSA+ㄴ/ETM
삶에서	삶/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
보려고	보/VX+려고/EC
사법시험을	사법/NNG+시험/NNG+을/JKO
쳤다"는	치/VV+었/EP+다/EF+"/SS+는/ETM
그는	그/NP+는/JX
1982년	1982/SN+년/NNB
합격한	합격/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
85년부터	85/SN+년/NNB+부터/JX
10년간	10/SN+년/NNB+간/XSN
검사	검사/NNG
생활을	생활/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.214.5.7
슬롯머신 사건 등 권력층 수사로 드라마 '모래시계'의 모델이 되기도 했다.

슬롯머신	슬롯머신/NNG
사건	사건/NNG
등	등/NNB
권력층	권력/NNG+층/XSN
수사로	수사/NNG+로/JKB
드라마	드라마/NNG
'모래시계'의	'/SS+모래시계/NNP+'/SS+의/JKG
모델이	모델/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.214.6.1
1995년 15대 국회에 입성한 뒤 18대까지 4선 의원을 지냈다.

1995년	1995/SN+년/NNB
15대	15/SN+대/NNB
국회에	국회/NNG+에/JKB
입성한	입성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
18대까지	18/SN+대/NNB+까지/JX
4선	4/SN+선/NNB
의원을	의원/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.214.6.2
국회 환경노동위원장, 당 원내대표에 이어 2011년 당 대표에 선출됐다.

국회	국회/NNG
환경노동위원장,	환경/NNG+노동/NNG+위원장/NNG+,/SP
당	당/NNG
원내대표에	원내/NNG+대표/NNG+에/JKB
이어	잇/VV+어/EC
2011년	2011/SN+년/NNB
대표에	대표/NNG+에/JKB
선출됐다.	선출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000034.214.6.3
2007년에는 이명박·박근혜 후보와 함께 한나라당 대선 후보 경선에서 겨룬 적도 있다.

2007년에는	2007/SN+년/NNB+에/JKB+는/JX
이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
후보와	후보/NNG+와/JKB
함께	함께/MAG
한나라당	한나라당/NNP
대선	대선/NNG
후보	후보/NNG
경선에서	경선/NNG+에서/JKB
겨룬	겨루/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000034.214.6.4
어떤 고위직에 있는 사람에게도 대놓고 비판적인 말을 하기 때문에, 정치권에서는 '홍 반장' '버럭 준표'란 별명으로도 불린다.

어떤	어떤/MMD
고위직에	고위직/NNG+에/JKB
있는	있/VA+는/ETM
사람에게도	사람/NNG+에게/JKB+도/JX
대놓고	대놓고/MAG
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
말을	말/NNG+을/JKO
하기	하/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
'홍	'/SS+홍/NNP
반장'	반장/NNG+'/SS
'버럭	'/SS+버럭/MAG
준표'란	준표/NNP+'/SS+이/VCP+란/ETM
별명으로도	별명/NNG+으로/JKB+도/JX
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000034.214.6.5
"정열적이고 곧은 정치만 하겠다"며 빨간 넥타이, 빨간 점퍼, 빨간 티셔츠 등을 즐겨 입는다.

"정열적이고	"/SS+정열/NNG+적/XSN+이/VCP+고/EC
곧은	곧/VA+은/ETM
정치만	정치/NNG+만/JX
하겠다"며	하/VV+겠/EP+다/EF+"/SS+며/EC
빨간	빨갛/VA+ㄴ/ETM
넥타이,	넥타이/NNG+,/SP
점퍼,	점퍼/NNG+,/SP
티셔츠	티셔츠/NNG
등을	등/NNB+을/JKO
즐겨	즐기/VV+어/EC
입는다.	입/VV+는다/EF+./SF


# id : NWRW1800000034.214.7.1
홍 당선인은 작년 12월 당 대표직에서 물러난 뒤 지난 4월 총선에서 낙선하면서, 본인 스스로도 "이제 정치는 접을까 생각한다"고 했었다.

홍	홍/NNP
당선인은	당선인/NNG+은/JX
작년	작년/NNG
12월	12/SN+월/NNB
당	당/NNG
대표직에서	대표직/NNG+에서/JKB
물러난	물러나/VV+ㄴ/ETM
뒤	뒤/NNG
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
총선에서	총선/NNG+에서/JKB
낙선하면서,	낙선/NNG+하/XSV+면서/EC+,/SP
본인	본인/NNG
스스로도	스스로/NNG+도/JX
"이제	"/SS+이제/MAG
정치는	정치/NNG+는/JX
접을까	접/VV+을까/EF
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000034.214.7.2
그러나 이번 경남지사 보궐선거에서 승리하면서 법조·정치에 이어 행정 경력까지 갖추게 됐다.

그러나	그러나/MAJ
이번	이번/NNG
경남지사	경남/NNP+지사/NNG
보궐선거에서	보궐/NNG+선거/NNG+에서/JKB
승리하면서	승리/NNG+하/XSV+면서/EC
법조·정치에	법조/NNG+·/SP+정치/NNG+에/JKB
이어	잇/VV+어/EC
행정	행정/NNG
경력까지	경력/NNG+까지/JX
갖추게	갖추/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.214.7.3
본인 의지와는 무관하게 다음 대선에서 새누리당의 유력한 대선 후보로 거론될 수도 있다.

본인	본인/NNG
의지와는	의지/NNG+와/JKB+는/JX
무관하게	무관하/VA+게/EC
다음	다음/NNG
대선에서	대선/NNG+에서/JKB
새누리당의	새누리당/NNP+의/JKG
유력한	유력/NNG+하/XSA+ㄴ/ETM
대선	대선/NNG
후보로	후보/NNG+로/JKB
거론될	거론/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000034.214.7.4
보궐선거에 의해 당선됐기 때문에 지사직의 남은 임기는 1년 6개월이다.

보궐선거에	보궐/NNG+선거/NNG+에/JKB
의해	의하/VV+아/EC
당선됐기	당선/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
지사직의	지사직/NNG+의/JKG
남은	남/VV+은/ETM
임기는	임기/NNG+는/JX
1년	1/SN+년/NNB
6개월이다.	6/SN+개월/NNB+이/VCP+다/EF+./SF


