# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.114
metadata : {}


# id : NWRW1800000049.114.1.1
“지질한 삶 속에서도 순수함 잃지 않는 인간군상 그렸어요”

“지질한	“/SS+지질하/VA+ㄴ/ETM
삶	삶/NNG
속에서도	속/NNG+에서/JKB+도/JX
순수함	순수/NNG+하/XSA+ㅁ/ETN
잃지	잃/VV+지/EC
않는	않/VX+는/ETM
인간군상	인간군/NNG+상/NNG
그렸어요”	그리/VV+었/EP+어요/EF+”/SS


# id : NWRW1800000049.114.2.1
새 소설집 ‘너무 한낮의 연애’ 펴낸 김금희 작가

새	새/MMA
소설집	소설집/NNG
‘너무	‘/SS+너무/MAG
한낮의	한/XPN+낮/NNG+의/JKG
연애’	연애/NNG+’/SS
펴낸	펴내/VV+ㄴ/ETM
김금희	김금희/NNP
작가	작가/NNG


# id : NWRW1800000049.114.3.1
김금희 씨(37)의 새 소설집 ‘너무 한낮의 연애’(문학동네)는 전작 ‘센티멘털도 하루 이틀’이 나온 지 2년 만에 출간됐다.

김금희	김금희/NNP
씨(37)의	씨/NNB+(/SS+37/SN+)/SS+의/JKG
새	새/MMA
소설집	소설집/NNG
‘너무	‘/SS+너무/MAG
한낮의	한/XPN+낮/NNG+의/JKG
연애’(문학동네)는	연애/NNG+’/SS+(/SS+문학동네/NNP+)/SS+는/JX
전작	전작/NNG
‘센티멘털도	‘/SS+센티멘털/NNP+도/JX
하루	하루/NNG
이틀’이	이틀/NNG+’/SS+이/JKS
나온	나오/VV+ㄴ/ETM
지	지/NNB
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
출간됐다.	출간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.114.3.2
소설집 한 권이 나오는 데 걸리는 시간이 평균 3년 안팎인 걸 생각하면 빠르게 묶인 셈이다.

소설집	소설집/NNG
한	한/MMN
권이	권/NNB+이/JKS
나오는	나오/VV+는/ETM
데	데/NNB
걸리는	걸리/VV+는/ETM
시간이	시간/NNG+이/JKS
평균	평균/NNG
3년	3/SN+년/NNB
안팎인	안팎/NNG+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
생각하면	생각/NNG+하/XSV+면/EC
빠르게	빠르/VA+게/EC
묶인	묶이/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.114.3.3
