# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.343
metadata : {}


# id : NWRW1800000044.343.1.1
“원자력 방호법 처리 안돼 유감”…박대통령 뒤늦게 국회 탓

“원자력	“/SS+원자력/NNG
방호법	방호/NNG+법/NNG
처리	처리/NNG
안돼	안/MAG+되/XSV+어/EC
유감”…박대통령	유감/NNG+”/SS+…/SE+박/NNP+대통령/NNG
뒤늦게	뒤늦/VA+게/EC
국회	국회/NNG
탓	탓/NNG


# id : NWRW1800000044.343.2.1
[한겨레] 당정, 법안 제출뒤 관심 안가져

[한겨레]	[/SS+한겨레/NNP+]/SS
당정,	당정/NNG+,/SP
법안	법안/NNG
제출뒤	제출/NNG+뒤/NNG
관심	관심/NNG
안가져	안/MAG+가지/VV+어/EC


# id : NWRW1800000044.343.3.1
박대통령 ‘핵안보회의’ 참석 앞두고

박대통령	박/NNP+대통령/NNG
‘핵안보회의’	‘/SS+핵/NNG+안보/NNG+회의/NNG+’/SS
참석	참석/NNG
앞두고	앞두/VV+고/EC


# id : NWRW1800000044.343.4.1
“국가 신뢰 문제” 법안 처리 압박

“국가	“/SS+국가/NNG
신뢰	신뢰/NNG
문제”	문제/NNG+”/SS
법안	법안/NNG
처리	처리/NNG
압박	압박/NNG


# id : NWRW1800000044.343.5.1
야당 “방송법·기초연금법 등

야당	야당/NNG
“방송법·기초연금법	“/SS+방송법/NNG+·/SP+기초/NNG+연금법/NNG
등	등/NNB


# id : NWRW1800000044.343.6.1
함께 다루려는 진정성 보여야”

함께	함께/MAG
다루려는	다루/VV+려는/ETM
진정성	진정/NNG+성/XSN
보여야”	보이/VV+어야/EC+”/SS


# id : NWRW1800000044.343.7.1
박근혜 대통령이 18일 국회에 계류 중인 원자력방호방재법 개정안을 지목하며 “국회에서 (방송법 등) 다른 법안과 연계해 개정안을 통과시켜주지 않아 참으로 유감”이라며 정치권을 정면으로 비판했다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
18일	18/SN+일/NNB
국회에	국회/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
원자력방호방재법	원자력/NNG+방호/NNG+방재/NNG+법/NNG
개정안을	개정안/NNG+을/JKO
지목하며	지목/NNG+하/XSV+며/EC
“국회에서	“/SS+국회/NNG+에서/JKB
(방송법	(/SS+방송법/NNG
등)	등/NNB+)/SS
다른	다른/MMD
법안과	법안/NNG+과/JKB
연계해	연계/NNG+하/XSV+아/EC
통과시켜주지	통과/NNG+시키/XSV+어/EC+주/VX+지/EC
않아	않/VX+아/EC
참으로	참으로/MAG
유감”이라며	유감/NNG+”/SS+이/VCP+라며/EC
정치권을	정치/NNG+권/XSN+을/JKO
정면으로	정면/NNG+으로/JKB
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.7.2
민주당은 법안 처리 지연의 책임은 박근혜 정부에 있다며, 야당이 제기한 방송법과 기초노령연금법을 함께 처리하자고 요구했다.

민주당은	민주당/NNP+은/JX
법안	법안/NNG
처리	처리/NNG
지연의	지연/NNG+의/JKG
책임은	책임/NNG+은/JX
박근혜	박근혜/NNP
정부에	정부/NNG+에/JKB
있다며,	있/VA+다며/EC+,/SP
야당이	야당/NNG+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
방송법과	방송법/NNG+과/JC
기초노령연금법을	기초/NNG+노령/NNG+연금법/NNG+을/JKO
함께	함께/MAG
처리하자고	처리/NNG+하/XSV+자고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.8.1
박 대통령은 오전 청와대에서 열린 국무회의에서 이렇게 밝히고 “북한의 핵위협을 전세계가 지켜보고 있는데, 우리가 다른 나라를 앞서나가기는커녕 약속한 것마저 지키지 못하면 국익에 큰 손상이 될 것”이라고 강조했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
오전	오전/NNG
청와대에서	청와대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국무회의에서	국무/NNG+회의/NNG+에서/JKB
이렇게	이렇/VA+게/EC
밝히고	밝히/VV+고/EC
“북한의	“/SS+북한/NNP+의/JKG
핵위협을	핵/NNG+위협/NNG+을/JKO
전세계가	전/MMN+세계/NNG+가/JKS
지켜보고	지켜보/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
우리가	우리/NP+가/JKS
다른	다른/MMD
나라를	나라/NNG+를/JKO
앞서나가기는커녕	앞서/VV+어/EC+나가/VX+기/ETN+는커녕/JX
약속한	약속/NNG+하/XSV+ㄴ/ETM
것마저	것/NNB+마저/JX
지키지	지키/VV+지/EC
못하면	못하/VX+면/EC
국익에	국익/NNG+에/JKB
큰	크/VA+ㄴ/ETM
손상이	손상/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.8.2
박 대통령은 또 “우리나라가 2012년 핵안보 정상회의 의장국으로서 이 문제의 중요성을 강조하고 그 비준을 국제사회에 약속했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
또	또/MAG
“우리나라가	“/SS+우리나라/NNG+가/JKS
2012년	2012/SN+년/NNB
핵안보	핵/NNG+안보/NNG
정상회의	정상/NNG+회의/NNG
의장국으로서	의장국/NNG+으로서/JKB
이	이/MMD
문제의	문제/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
그	그/MMD
비준을	비준/NNG+을/JKO
국제사회에	국제/NNG+사회/NNG+에/JKB
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.8.3
국제공조를 통해 북핵 폐기에 나서고 있는 우리로서는 어느 나라보다 선제적으로 이 문제에 모범을 보여야 할 입장”이라고 덧붙였다.

국제공조를	국제/NNG+공조/NNG+를/JKO
통해	통하/VV+아/EC
북핵	북핵/NNG
폐기에	폐기/NNG+에/JKB
나서고	나서/VV+고/EC
있는	있/VX+는/ETM
우리로서는	우리/NP+로서/JKB+는/JX
어느	어느/MMD
나라보다	나라/NNG+보다/JKB
선제적으로	선제/NNG+적/XSN+으로/JKB
이	이/MMD
문제에	문제/NNG+에/JKB
모범을	모범/NNG+을/JKO
보여야	보이/VV+어야/EC
할	하/VX+ㄹ/ETM
입장”이라고	입장/NNG+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.343.9.1
박 대통령이 통과를 촉구한 법안은 서울 핵안보 정상회의 때 ‘핵테러 억제 협약’과 ‘핵물질방호협약’ 등이 2014년까지 발효되도록 노력한다는 ‘서울 코뮈니케’ 이행을 위한 것으로, 이 협약이 발효되려면 국내에서는 우선 원자력방호방재법이 국회를 통과해야 한다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
통과를	통과/NNG+를/JKO
촉구한	촉구/NNG+하/XSV+ㄴ/ETM
법안은	법안/NNG+은/JX
서울	서울/NNP
