# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.362
metadata : {}


# id : NWRW1800000038.362.1.1
[NEWS & VIEW] 청와대 "개성공단, 유고(유고슬라비아·Yugoslavia) 모델化 막겠다"

[NEWS	[/SS+NEWS/SL
&	&/SW
VIEW]	VIEW/SL+]/SS
청와대	청와대/NNP
"개성공단,	"/SS+개성공단/NNP+,/SP
유고(유고슬라비아·Yugoslavia)	유고/NNP+(/SS+유고슬라비아/NNP+·/SP+Yugoslavia/SL+)/SS
모델化	모델/NNG+化/SH
막겠다"	막/VV+겠/EP+다/EF+"/SS


# id : NWRW1800000038.362.2.1
"유고가 西歐에 했듯이… 北의 공단 독자운영 용납못해"

"유고가	"/SS+유고/NNP+가/JKS
西歐에	西歐/SH+에/JKB
했듯이…	하/VV+았/EP+듯이/EC+…/SE
北의	北/SH+의/JKG
공단	공단/NNG
독자운영	독자/NNG+운영/NNG
용납못해"	용납/NNG+못/MAG+하/VV+아/EF+"/SS


# id : NWRW1800000038.362.3.1
청와대 관계자는 28일 "북한이 개성공단을 과거 '유고슬라비아(Yugoslavia)식' 모델로 가져가려 한다는 분석이 있는데, 그렇게 되도록 내버려 두는 일은 결코 없을 것"이라고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
28일	28/SN+일/NNB
"북한이	"/SS+북한/NNP+이/JKS
개성공단을	개성공단/NNP+을/JKO
과거	과거/NNG
'유고슬라비아(Yugoslavia)식'	'/SS+유고슬라비아/NNP+(/SS+Yugoslavia/SL+)/SS+식/NNB+'/SS
모델로	모델/NNG+로/JKB
가져가려	가져가/VV+려/EC
한다는	하/VX+ㄴ다는/ETM
분석이	분석/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
그렇게	그렇/VA+게/EC
되도록	되/VV+도록/EC
내버려	내버리/VV+어/EC
두는	두/VX+는/ETM
일은	일/NNG+은/JX
결코	결코/MAG
없을	없/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.362.3.2
북한은 남측 인력이 철수한 뒤 개성공단 시설을 이용해 직접 제품을 생산하려 할 수 있는데 우리 정부는 그런 상황을 용인하지 않겠다는 것이다.

북한은	북한/NNP+은/JX
남측	남측/NNG
인력이	인력/NNG+이/JKS
철수한	철수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
개성공단	개성공단/NNP
시설을	시설/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
직접	직접/MAG
제품을	제품/NNG+을/JKO
생산하려	생산/NNG+하/XSV+려/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
우리	우리/NP
정부는	정부/NNG+는/JX
그런	그런/MMD
상황을	상황/NNG+을/JKO
용인하지	용인/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.362.3.3
이 관계자는 "북한이 그렇게까지 하지 않기를 바라지만 정부로서는 모든 가능성을 열어놓고 대응책을 마련 중"이라고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
그렇게까지	그렇/VA+게/EC+까지/JX
하지	하/VV+지/EC
않기를	않/VX+기/ETN+를/JKO
바라지만	바라/VV+지만/EC
정부로서는	정부/NNG+로서/JKB+는/JX
모든	모든/MMN
가능성을	가능/NNG+성/XSN+을/JKO
열어놓고	열/VV+어/EC+놓/VX+고/EC
대응책을	대응책/NNG+을/JKO
마련	마련/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.362.4.1
북한은 2008년 관광객 박왕자씨 총격 사건으로 금강산 관광이 중단된 후 2011년 현대아산의 재산권을 강제 몰수해 금강산호텔, 온정각 등 남측 시설을 무단으로 사용하고 있다.

북한은	북한/NNP+은/JX
2008년	2008/SN+년/NNB
관광객	관광객/NNG
박왕자씨	박왕자/NNP+씨/NNB
총격	총격/NNG
사건으로	사건/NNG+으로/JKB
금강산	금강산/NNP
관광이	관광/NNG+이/JKS
중단된	중단/NNG+되/XSV+ㄴ/ETM
후	후/NNG
2011년	2011/SN+년/NNB
현대아산의	현대아산/NNP+의/JKG
재산권을	재산/NNG+권/XSN+을/JKO
강제	강제/NNG
몰수해	몰수/NNG+하/XSV+아/EC
금강산호텔,	금강산호텔/NNP+,/SP
온정각	온정각/NNP
등	등/NNB
남측	남측/NNG
시설을	시설/NNG+을/JKO
무단으로	무단/NNG+으로/JKB
사용하고	사용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.362.4.2
현재 개성공단에 남측이 투자한 자산 규모는 9495억원(통일부 집계) 가량이다.

현재	현재/MAG
개성공단에	개성공단/NNP+에/JKB
남측이	남측/NNG+이/JKS
투자한	투자/NNG+하/XSV+ㄴ/ETM
자산	자산/NNG
규모는	규모/NNG+는/JX
9495억원(통일부	9495/SN+억/NR+원/NNB+(/SS+통일부/NNG
집계)	집계/NNG+)/SS
가량이다.	가량/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.362.5.1
정부의 다른 고위 관계자도 이날 "북한이 취할 수 있는 모든 행동에 대비한 우리 측 대응 조치를 검토 중"이라며 "남은 국민(50여명)이 전원 철수하는 29일 이후 후속 조치의 실행을 검토하겠다"고 말했다.

정부의	정부/NNG+의/JKG
다른	다른/MMD
고위	고위/NNG
관계자도	관계자/NNG+도/JX
이날	이날/NNG
"북한이	"/SS+북한/NNP+이/JKS
취할	취하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
행동에	행동/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
우리	우리/NP
측	측/NNB
대응	대응/NNG
조치를	조치/NNG+를/JKO
검토	검토/NNG
중"이라며	중/NNB+"/SS+이/VCP+라며/EC
"남은	"/SS+남/VV+은/ETM
국민(50여명)이	국민/NNG+(/SS+50/SN+여/XSN+명/NNB+)/SS+이/JKS
전원	전원/NNG
철수하는	철수/NNG+하/XSV+는/ETM
29일	29/SN+일/NNB
이후	이후/NNG
후속	후속/NNG
조치의	조치/NNG+의/JKG
실행을	실행/NNG+을/JKO
검토하겠다"고	검토/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.362.5.2
이 관계자는 "특히 북한이 투자 보장 합의를 어기고 개성공단에 있는 우리 국민의 재산을 임의로 사용할 경우 앞으로 남북 간 사업은 아무것도 안 될 것"이라고 했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"특히	"/SS+특히/MAG
북한이	북한/NNP+이/JKS
투자	투자/NNG
보장	보장/NNG
합의를	합의/NNG+를/JKO
어기고	어기/VV+고/EC
개성공단에	개성공단/NNP+에/JKB
있는	있/VA+는/ETM
우리	우리/NP
국민의	국민/NNG+의/JKG
재산을	재산/NNG+을/JKO
임의로	임의/NNG+로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
앞으로	앞/NNG+으로/JKB
남북	남북/NNP
간	간/NNB
사업은	사업/NNG+은/JX
아무것도	아무것/NNG+도/JX
안	안/MAG
될	되/VV+ㄹ/ETM
