# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.5
metadata : {}


# id : NWRW1800000040.5.1.1
CJ, 이관훈·김철하 대표 사장 승진

CJ,	CJ/SL+,/SP
이관훈·김철하	이관훈/NNP+·/SP+김철하/NNP
대표	대표/NNG
사장	사장/NNG
승진	승진/NNG


# id : NWRW1800000040.5.2.1
그룹 임원 96명 인사…계열사 CEO 모두 유임·승진

그룹	그룹/NNG
임원	임원/NNG
96명	96/SN+명/NNB
인사…계열사	인사/NNG+…/SE+계열사/NNG
CEO	CEO/SL
모두	모두/MAG
유임·승진	유임/NNG+·/SP+승진/NNG


# id : NWRW1800000040.5.3.1
씨제이(CJ)그룹은 이관훈(왼쪽 사진) 씨제이㈜ 대표와 김철하(오른쪽) 씨제이제일제당 대표를 각각 사장으로 승진시키는 등 96명에 대한 정기 임원인사를 28일 단행했다.

씨제이(CJ)그룹은	씨제이/NNP+(/SS+CJ/SL+)/SS+그룹/NNG+은/JX
이관훈(왼쪽	이관훈/NNP+(/SS+왼쪽/NNG
사진)	사진/NNG+)/SS
씨제이㈜	씨제이/NNP+㈜/SW
대표와	대표/NNG+와/JC
김철하(오른쪽)	김철하/NNP+(/SS+오른쪽/NNG+)/SS
씨제이제일제당	씨제이제일제당/NNP
대표를	대표/NNG+를/JKO
각각	각각/MAG
사장으로	사장/NNG+으로/JKB
승진시키는	승진/NNG+시키/XSV+는/ETM
등	등/NNB
96명에	96/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
정기	정기/NNG
임원인사를	임원/NNG+인사/NNG+를/JKO
28일	28/SN+일/NNB
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.5.4.1
이번 인사에선 서정 씨제이 시지브이(CGV) 대표, 허민회 씨제이푸드빌 대표가 부사장으로 승진하는 등 부사장 4명, 부사장대우 7명, 상무 22명, 상무대우 37명 등 72명의 승진인사가 이뤄졌다.

이번	이번/NNG
인사에선	인사/NNG+에서/JKB+ㄴ/JX
서정	서정/NNP
씨제이	씨제이/NNP
시지브이(CGV)	시지브이/NNP+(/SS+CGV/SL+)/SS
대표,	대표/NNG+,/SP
허민회	허민회/NNP
씨제이푸드빌	씨제이푸드빌/NNP
대표가	대표/NNG+가/JKS
부사장으로	부사장/NNG+으로/JKB
승진하는	승진/NNG+하/XSV+는/ETM
등	등/NNB
부사장	부사장/NNG
4명,	4/SN+명/NNB+,/SP
부사장대우	부사장/NNG+대우/NNG
7명,	7/SN+명/NNB+,/SP
상무	상무/NNG
22명,	22/SN+명/NNB+,/SP
상무대우	상무/NNG+대우/NNG
37명	37/SN+명/NNB
72명의	72/SN+명/NNB+의/JKG
승진인사가	승진/NNG+인사/NNG+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.5.4.2
또 이경훈 씨제이헬로비전 경인본부장이 씨제이텔레닉스 대표이사로 자리를 옮기는 등 24명의 임원이 전보 발령 또는 외부영입됐다.

또	또/MAG
이경훈	이경훈/NNP
씨제이헬로비전	씨제이헬로비전/NNP
경인본부장이	경인본부장/NNG+이/JKS
씨제이텔레닉스	씨제이텔레닉스/NNP
대표이사로	대표/NNG+이사/NNG+로/JKB
자리를	자리/NNG+를/JKO
옮기는	옮기/VV+는/ETM
등	등/NNB
24명의	24/SN+명/NNB+의/JKG
임원이	임원/NNG+이/JKS
전보	전보/NNG
발령	발령/NNG
또는	또는/MAG
외부영입됐다.	외부/NNG+영입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.5.5.1
이번 인사의 가장 큰 특징은 계열사 최고경영자(CEO) 대부분이 유임되거나 승진했다는 점이다.

이번	이번/NNG
인사의	인사/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징은	특징/NNG+은/JX
계열사	계열사/NNG
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
대부분이	대/XPN+부분/NNG+이/JKS
유임되거나	유임/NNG+되/XSV+거나/EC
승진했다는	승진/NNG+하/XSV+았/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.5.5.2
손관수 씨제이 지엘에스(GLS) 대표, 허민호 씨제이올리브영 대표 등 최고경영자 6명이 승진했고, 이해선 씨제이오쇼핑 대표, 변동식 씨제이헬로비전 대표, 박승환 씨제이프레시웨이 대표도 각각 유임됐다.

손관수	손관수/NNP
씨제이	씨제이/NNP
지엘에스(GLS)	지엘에스/NNP+(/SS+GLS/SL+)/SS
대표,	대표/NNG+,/SP
허민호	허민호/NNP
씨제이올리브영	씨제이올리브영/NNP
대표	대표/NNG
등	등/NNB
최고경영자	최고/NNG+경영자/NNG
6명이	6/SN+명/NNB+이/JKS
승진했고,	승진/NNG+하/XSV+았/EP+고/EC+,/SP
이해선	이해선/NNP
씨제이오쇼핑	씨제이오쇼핑/NNP
변동식	변동식/NNP
씨제이헬로비전	씨제이헬로비전/NNP
박승환	박승환/NNP
씨제이프레시웨이	씨제이프레시웨이/NNP
대표도	대표/NNG+도/JX
각각	각각/MAG
유임됐다.	유임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.5.5.3
씨제이그룹은 “기존 경영진에 대한 전폭적인 신뢰를 통해 안정적으로 그룹의 성장을 이끌겠다는 이재현 회장의 의중이 반영된 결과”라고 전했다.

씨제이그룹은	씨제이그룹/NNP+은/JX
“기존	“/SS+기존/NNG
경영진에	경영진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
통해	통하/VV+아/EC
안정적으로	안정/NNG+적/XSN+으로/JKB
그룹의	그룹/NNG+의/JKG
성장을	성장/NNG+을/JKO
이끌겠다는	이끌/VV+겠/EP+다는/ETM
이재현	이재현/NNP
회장의	회장/NNG+의/JKG
의중이	의중/NNG+이/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
결과”라고	결과/NNG+”/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.5.6.1
신임 임원은 역대 최대 규모인 37명이 나왔다.

신임	신임/NNG
임원은	임원/NNG+은/JX
역대	역대/NNG
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
37명이	37/SN+명/NNB+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.5.6.2
지난해 25명이 새로 임원이 된 것에 비해 50% 가까이 늘어난 수치다.

지난해	지난해/NNG
25명이	25/SN+명/NNB+이/JKS
새로	새로/MAG
임원이	임원/NNG+이/JKC
된	되/VV+ㄴ/ETM
것에	것/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
50%	50/SN+%/SW
가까이	가까이/MAG
늘어난	늘어나/VV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.5.6.3
바이오기술연구소 김소영 팀장과 지역채널 매체 경쟁력 강화에 성과를 보인 씨제이헬로비전 강명신 커뮤니티사업본부장이 상무대우로 승진해 여성 임원 2명이 새로 배출돼, 씨제이그룹 전체 여성 임원이 7명으로 늘어났다.

바이오기술연구소	바이오/NNG+기술/NNG+연구소/NNG
김소영	김소영/NNP
팀장과	팀장/NNG+과/JC
지역채널	지역/NNG+채널/NNG
매체	매체/NNG
경쟁력	경쟁력/NNG
강화에	강화/NNG+에/JKB
성과를	성과/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
씨제이헬로비전	씨제이헬로비전/NNP
강명신	강명신/NNP
커뮤니티사업본부장이	커뮤니티/NNG+사업/NNG+본부장/NNG+이/JKS
상무대우로	상무/NNG+대우/NNG+로/JKB
승진해	승진/NNG+하/XSV+아/EC
여성	여성/NNG
임원	임원/NNG
2명이	2/SN+명/NNB+이/JKS
새로	새로/MAG
배출돼,	배출/NNG+되/XSV+어/EC+,/SP
씨제이그룹	씨제이그룹/NNP
전체	전체/NNG
임원이	임원/NNG+이/JKS
7명으로	7/SN+명/NNB+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.5.6.4
씨제이그룹은 “실적이 있는 곳에 승진이 있다는 철저한 성과주의 원칙을 적용했다.

씨제이그룹은	씨제이그룹/NNP+은/JX
“실적이	“/SS+실적/NNG+이/JKS
있는	있/VA+는/ETM
곳에	곳/NNG+에/JKB
승진이	승진/NNG+이/JKS
있다는	있/VA+다는/ETM
철저한	철저/NNG+하/XSA+ㄴ/ETM
성과주의	성과주의/NNG
원칙을	원칙/NNG+을/JKO
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.5.6.5
글로벌 성장 가속화를 위해 글로벌 사업에서 성과를 내고 있는 인재들을 적극 발굴하고, 역량 있는 국내 인재를 해외로 전진 배치했다”고 설명했다.

글로벌	글로벌/NNG
