# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.106
metadata : {}


# id : NWRW1800000029.106.1.1
[김정일 사망]외국계 투자전문가들 진단 “한국 증시, 北보다 유럽위기가 더 큰 변수”

[김정일	[/SS+김정일/NNP
사망]외국계	사망/NNG+]/SS+외국/NNG+계/XSN
투자전문가들	투자/NNG+전문가/NNG+들/XSN
진단	진단/NNG
“한국	“/SS+한국/NNP
증시,	증시/NNG+,/SP
北보다	北/SH+보다/JKB
유럽위기가	유럽/NNP+위기/NNG+가/JKS
더	더/MAG
큰	크/VA+ㄴ/ETM
변수”	변수/NNG+”/SS


# id : NWRW1800000029.106.2.1
외국계 투자전문가들 진단

외국계	외국/NNG+계/XSN
투자전문가들	투자/NNG+전문가/NNG+들/XSN
진단	진단/NNG


# id : NWRW1800000029.106.3.1
“한국 주가는 늘 북한 리스크가 반영된 상태입니다.

“한국	“/SS+한국/NNP
주가는	주가/NNG+는/JX
늘	늘/MAG
북한	북한/NNP
리스크가	리스크/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
상태입니다.	상태/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000029.106.3.2
김정일 북한 국방위원장 사망으로 달라질 게 별로 없어요.”(홍콩 투자회사 ‘밸류 인베스트먼트 프린시플’의 샌디 메타 대표)

김정일	김정일/NNP
북한	북한/NNP
국방위원장	국방/NNG+위원장/NNG
사망으로	사망/NNG+으로/JKB
달라질	달라지/VV+ㄹ/ETM
게	거/NNB+이/JKS
별로	별로/MAG
없어요.”(홍콩	없/VA+어요/EF+./SF+”/SS+(/SS+홍콩/NNP
투자회사	투자/NNG+회사/NNG
‘밸류	‘/SS+밸류/NNP
인베스트먼트	인베스트먼트/NNP
프린시플’의	프린시플/NNP+’/SS+의/JKG
샌디	샌디/NNP
메타	메타/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000029.106.4.1
“싱가포르 투자자들은 중국 영향으로 북한이 개방 쪽으로 움직이면 되레 긍정적이라는 생각도 합니다.”(싱가포르 소재 헤지펀드 ‘퍼페티엘 캐피털’의 스콧 정 대표)

“싱가포르	“/SS+싱가포르/NNP
투자자들은	투자자/NNG+들/XSN+은/JX
중국	중국/NNP
영향으로	영향/NNG+으로/JKB
북한이	북한/NNP+이/JKS
개방	개방/NNG
쪽으로	쪽/NNB+으로/JKB
움직이면	움직이/VV+면/EC
되레	되레/MAG
긍정적이라는	긍정/NNG+적/XSN+이/VCP+라는/ETM
생각도	생각/NNG+도/JX
합니다.”(싱가포르	하/VV+ㅂ니다/EF+./SF+”/SS+(/SS+싱가포르/NNP
소재	소재/NNG
헤지펀드	헤지/NNG+펀드/NNG
‘퍼페티엘	‘/SS+퍼페티엘/NNP
캐피털’의	캐피털/NNP+’/SS+의/JKG
스콧	스콧/NNP
정	정/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000029.106.5.1
김 위원장의 돌연 사망을 접한 외국계 투자자들의 반응은 담담했다.

김	김/NNP
위원장의	위원장/NNG+의/JKG
돌연	돌연/MAG
사망을	사망/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
외국계	외국/NNG+계/XSN
투자자들의	투자자/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
담담했다.	담담하/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.106.5.2
20일 동아일보 경제부가 홍콩 싱가포르 등에 위치한 글로벌 투자자들과 한 긴급 전화 인터뷰에서 이들은 “이번 사태의 영향은 단기에 그칠 것”이라고 입을 모았다.

20일	20/SN+일/NNB
동아일보	동아일보/NNP
경제부가	경제부/NNG+가/JKS
홍콩	홍콩/NNP
싱가포르	싱가포르/NNP
등에	등/NNB+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
글로벌	글로벌/NNG
투자자들과	투자자/NNG+들/XSN+과/JKB
한	하/VV+ㄴ/ETM
긴급	긴급/NNG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
이들은	이/NP+들/XSN+은/JX
“이번	“/SS+이번/NNG
사태의	사태/NNG+의/JKG
영향은	영향/NNG+은/JX
단기에	단기/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.5.3
북한 리스크는 한국 증시에 늘 반영된 상태였고, 펀더멘털(기초체력)에서 달라질 게 없다는 반응을 보였다.

북한	북한/NNP
리스크는	리스크/NNG+는/JX
한국	한국/NNP
증시에	증시/NNG+에/JKB
늘	늘/MAG
반영된	반영/NNG+되/XSV+ㄴ/ETM
상태였고,	상태/NNG+이/VCP+었/EP+고/EC+,/SP
펀더멘털(기초체력)에서	펀더멘털/NNG+(/SS+기초/NNG+체력/NNG+)/SS+에서/JKB
달라질	달라지/VV+ㄹ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.106.5.4
장기적으로 이번 사태가 북한 체제 개편이나 개방으로 이어지면 한국 증시에 좋은 영향을 줄 것이란 전망도 나왔다.

장기적으로	장기/NNG+적/XSN+으로/JKB
이번	이번/NNG
사태가	사태/NNG+가/JKS
북한	북한/NNP
체제	체제/NNG
개편이나	개편/NNG+이나/JC
개방으로	개방/NNG+으로/JKB
이어지면	이어지/VV+면/EC
한국	한국/NNP
증시에	증시/NNG+에/JKB
좋은	좋/VA+은/ETM
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.5.5
외국계 투자전문가들은 한국 금융시장의 최대 변수는 유럽 재정위기 해소 과정이며 북한 권력승계는 그 다음으로 지켜봐야 할 ‘제2의 포인트’라고 지적했다.

외국계	외국/NNG+계/XSN
투자전문가들은	투자/NNG+전문가/NNG+들/XSN+은/JX
한국	한국/NNP
금융시장의	금융/NNG+시장/NNG+의/JKG
최대	최대/NNG
변수는	변수/NNG+는/JX
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
해소	해소/NNG
과정이며	과정/NNG+이/VCP+며/EC
북한	북한/NNP
권력승계는	권력/NNG+승계/NNG+는/JX
그	그/MMD
다음으로	다음/NNG+으로/JKB
지켜봐야	지켜보/VV+아야/EC
할	하/VX+ㄹ/ETM
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
포인트’라고	포인트/NNG+’/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.6.1
○ “북한 리스크, 새롭지 않다”

○	○/SW
“북한	“/SS+북한/NNP
리스크,	리스크/NNG+,/SP
새롭지	새롭/VA+지/EC
않다”	않/VX+다/EF+”/SS


# id : NWRW1800000029.106.7.1
프랜시스 챙 ‘크레디 아그리콜’(프랑스계 투자은행) 홍콩지부 애널리스트는 “홍콩의 외국계 투자자 대부분이 김 위원장의 사망 영향이 단기에 그칠 것으로 보고 있다”고 말했다.

프랜시스	프랜시스/NNP
챙	챙/NNP
‘크레디	‘/SS+크레디/NNP
아그리콜’(프랑스계	아그리콜/NNP+’/SS+(/SS+프랑스/NNP+계/XSN
투자은행)	투자/NNG+은행/NNG+)/SS
홍콩지부	홍콩/NNP+지부/NNG
애널리스트는	애널리스트/NNG+는/JX
“홍콩의	“/SS+홍콩/NNP+의/JKG
외국계	외국/NNG+계/XSN
투자자	투자자/NNG
대부분이	대/XPN+부분/NNG+이/JKS
김	김/NNP
위원장의	위원장/NNG+의/JKG
사망	사망/NNG
영향이	영향/NNG+이/JKS
단기에	단기/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.7.2
한국에서 아예 떠날 자금들은 유럽 재정위기의 영향으로 이미 떠났고, 과거 북한 이슈가 금융시장에 미친 영향은 미미했기 때문이다.

한국에서	한국/NNP+에서/JKB
아예	아예/MAG
떠날	떠나/VV+ㄹ/ETM
자금들은	자금/NNG+들/XSN+은/JX
유럽	유럽/NNP
재정위기의	재정/NNG+위기/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
이미	이미/MAG
떠났고,	떠나/VV+았/EP+고/EC+,/SP
과거	과거/NNG
북한	북한/NNP
이슈가	이슈/NNG+가/JKS
금융시장에	금융/NNG+시장/NNG+에/JKB
미친	미치/VV+ㄴ/ETM
영향은	영향/NNG+은/JX
미미했기	미미하/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.106.8.1
김 위원장의 사망이 대형 돌발변수이지만 북한 리스크는 늘 있었다는 분석도 나왔다.

김	김/NNP
위원장의	위원장/NNG+의/JKG
사망이	사망/NNG+이/JKS
대형	대형/NNG
돌발변수이지만	돌발/NNG+변수/NNG+이/VCP+지만/EC
북한	북한/NNP
리스크는	리스크/NNG+는/JX
늘	늘/MAG
있었다는	있/VA+었/EP+다는/ETM
분석도	분석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.8.2
메타 대표는 “한국 주가는 기존에도 북한 리스크를 반영한 상태여서 추가 하락 요인은 없다”며 홍콩 투자업계의 분위기를 설명했다.

메타	메타/NNP
대표는	대표/NNG+는/JX
“한국	“/SS+한국/NNP
주가는	주가/NNG+는/JX
기존에도	기존/NNG+에/JKB+도/JX
북한	북한/NNP
리스크를	리스크/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
상태여서	상태/NNG+이/VCP+어서/EC
추가	추가/NNG
하락	하락/NNG
요인은	요인/NNG+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
홍콩	홍콩/NNP
투자업계의	투자업/NNG+계/XSN+의/JKG
분위기를	분위기/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.9.1
싱가포르의 분위기도 다르지 않았다.

싱가포르의	싱가포르/NNP+의/JKG
분위기도	분위기/NNG+도/JX
다르지	다르/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.106.9.2
정 대표는 “아직 어리지만 김정은이라는 후계자는 분명히 존재한다”고 말했다.

정	정/NNP
대표는	대표/NNG+는/JX
“아직	“/SS+아직/MAG
어리지만	어리/VA+지만/EC
김정은이라는	김정은/NNP+이/VCP+라는/ETM
후계자는	후계자/NNG+는/JX
분명히	분명히/MAG
존재한다”고	존재/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.9.3
뱅크오브아메리카 아시아본부장을 지낸 그는 중국 효과에 주목했다.

뱅크오브아메리카	뱅크오브아메리카/NNP
아시아본부장을	아시아/NNP+본부장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
그는	그/NP+는/JX
중국	중국/NNP
효과에	효과/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.9.4
김 위원장의 사망 소식이 알려진 직후 중국이 김정은을 후계자로 인정했다는 얘기다.

김	김/NNP
위원장의	위원장/NNG+의/JKG
