# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.160
metadata : {}


# id : NWRW1800000041.160.1.1
[책의 향기/글로벌 북 카페]경제성장률 한계 부닥친 시진핑 체제… “과거가 비정상이고 현재가 정상” 최면

[책의	[/SS+책/NNG+의/JKG
향기/글로벌	향기/NNG+//SP+글로벌/NNG
북	북/NNG
카페]경제성장률	카페/NNG+]/SS+경제/NNG+성장/NNG+률/XSN
한계	한계/NNG
부닥친	부닥치/VV+ㄴ/ETM
시진핑	시진핑/NNP
체제…	체제/NNG+…/SE
“과거가	“/SS+과거/NNG+가/JKS
비정상이고	비/XPN+정상/NNG+이/VCP+고/EC
현재가	현재/NNG+가/JKS
정상”	정상/NNG+”/SS
최면	최면/NNG


# id : NWRW1800000041.160.2.1
23명의 中경제학자가 쓴 ‘신창타이가 중국을 바꾼다

23명의	23/SN+명/NNB+의/JKG
中경제학자가	中/SH+경제학자/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
‘신창타이가	‘/SS+신창타이/NNG+가/JKS
중국을	중국/NNP+을/JKO
바꾼다	바꾸/VV+ㄴ다/EF


# id : NWRW1800000041.160.3.1
‘신창타이(新常態).’ 2008년 금융위기 이후 세계 경제를 일컫는 ‘뉴 노멀(New Normal)’의 중국식 표현이다.

‘신창타이(新常態).’	‘/SS+신창타이/NNG+(/SS+新常態/SH+)/SS+./SF+’/SS
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
세계	세계/NNG
경제를	경제/NNG+를/JKO
일컫는	일컫/VV+는/ETM
‘뉴	‘/SS+뉴/NNG
노멀(New	노멀/NNG+(/SS+New/SL
Normal)’의	Normal/SL+)/SS+’/SS+의/JKG
중국식	중국식/NNG
표현이다.	표현/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.3.2
시진핑(習近平) 국가주석이 5월 “중국 경제가 중요한 도전에 직면했다.

시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
국가주석이	국가주석/NNG+이/JKS
5월	5/SN+월/NNB
“중국	“/SS+중국/NNP
경제가	경제/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
도전에	도전/NNG+에/JKB
직면했다.	직면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.160.3.3
신창타이에 접어들었다는 사실에 적응할 필요가 있다”고 말한 뒤 현재의 중국을 설명하는 핵심 키워드가 됐다.

신창타이에	신창타이/NNG+에/JKB
접어들었다는	접어들/VV+었/EP+다는/ETM
사실에	사실/NNG+에/JKB
적응할	적응/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
현재의	현재/NNG+의/JKG
중국을	중국/NNP+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
핵심	핵심/NNG
키워드가	키워드/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.160.4.1
신간 ‘신창타이가 중국을 바꾼다(新常態改變中國·사진)’는 23명의 관변 경제학자가 32편의 논문을 통해 신창타이의 특징과 정책 방향을 종합적으로 서술했다.

신간	신간/NNG
‘신창타이가	‘/SS+신창타이/NNG+가/JKS
중국을	중국/NNP+을/JKO
바꾼다(新常態改變中國·사진)’는	바꾸/VV+ㄴ다/EF+(/SS+新常態改變中國/SH+·/SP+사진/NNG+)/SS+’/SS+는/JX
23명의	23/SN+명/NNB+의/JKG
관변	관변/NNG
경제학자가	경제학자/NNG+가/JKS
32편의	32/SN+편/NNB+의/JKG
논문을	논문/NNG+을/JKO
통해	통하/VV+아/EC
신창타이의	신창타이/NNG+의/JKG
특징과	특징/NNG+과/JC
정책	정책/NNG
방향을	방향/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
서술했다.	서술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.160.4.2
관변이라고 하면 정책 의지가 강하게 배어 있을 것 같아 거부감이 생기기 마련이다.

관변이라고	관변/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
정책	정책/NNG
의지가	의지/NNG+가/JKS
강하게	강하/VA+게/EC
배어	배/VV+어/EC
있을	있/VX+을/ETM
것	것/NNB
같아	같/VA+아/EC
거부감이	거부감/NNG+이/JKS
생기기	생기/VV+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.4.3
하지만 중국 경제는 아직 관이 지배하고 있다.

하지만	하지만/MAJ
중국	중국/NNP
경제는	경제/NNG+는/JX
아직	아직/MAG
관이	관/NNG+이/JKS
지배하고	지배/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.160.5.1
중국이 신창타이를 강조하는 것은 강요된 현실 때문이다.

중국이	중국/NNP+이/JKS
신창타이를	신창타이/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
강요된	강요/NNG+되/XSV+ㄴ/ETM
현실	현실/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.5.2
1978년 개혁·개방 이후 연 10%가량 지속된 중국 경제의 성장세는 2012년 이후 2년 연속 7%대로 떨어졌다.

1978년	1978/SN+년/NNB
개혁·개방	개혁/NNG+·/SP+개방/NNG
이후	이후/NNG
연	연/NNG
10%가량	10/SN+%/SW+가량/XSN
지속된	지속/NNG+되/XSV+ㄴ/ETM
중국	중국/NNP
경제의	경제/NNG+의/JKG
성장세는	성장세/NNG+는/JX
2012년	2012/SN+년/NNB
2년	2/SN+년/NNB
연속	연속/NNG
7%대로	7/SN+%/SW+대/XSN+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.160.5.3
글로벌 불황 때문이다.

글로벌	글로벌/NNG
불황	불황/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.5.4
그런데 이를 극복할 대안이 마땅치 않다.

그런데	그런데/MAJ
이를	이/NP+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
대안이	대안/NNG+이/JKS
마땅치	마땅하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.160.5.5
중국은 금융위기 당시 4조 위안을 풀었다가 과잉 생산과 부동산 거품으로 지금까지 고생하고 있다.

중국은	중국/NNP+은/JX
금융위기	금융/NNG+위기/NNG
당시	당시/NNG
4조	4/SN+조/NR
위안을	위안/NNB+을/JKO
풀었다가	풀/VV+었/EP+다가/EC
과잉	과잉/NNG
생산과	생산/NNG+과/JC
부동산	부동산/NNG
거품으로	거품/NNG+으로/JKB
지금까지	지금/NNG+까지/JX
고생하고	고생/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.160.5.6
당국이 “인위적 부양을 하지 않겠다”고 말하는 이면에는 “내놓을 만한 카드가 없다”는 뜻이 숨어 있다.

당국이	당국/NNG+이/JKS
“인위적	“/SS+인위/NNG+적/XSN
부양을	부양/NNG+을/JKO
하지	하/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
이면에는	이면/NNG+에/JKB+는/JX
“내놓을	“/SS+내놓/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
카드가	카드/NNG+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
뜻이	뜻/NNG+이/JKS
숨어	숨/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.160.6.1
중국의 성장률은 공산당의 독재를 정당화하는 수단이었다.

중국의	중국/NNP+의/JKG
성장률은	성장/NNG+률/XSN+은/JX
공산당의	공산당/NNP+의/JKG
독재를	독재/NNG+를/JKO
정당화하는	정당화/NNG+하/XSV+는/ETM
수단이었다.	수단/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.160.6.2
혁명이나 건국 과정에 참여하지 않아 정치적 정당성이 부족한 장쩌민(江澤民) 이후의 지도자가 성장률에 집착한 것도 이 때문이다.

혁명이나	혁명/NNG+이나/JC
건국	건국/NNG
과정에	과정/NNG+에/JKB
참여하지	참여/NNG+하/XSV+지/EC
않아	않/VX+아/EC
정치적	정치/NNG+적/XSN
정당성이	정당성/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
장쩌민(江澤民)	장쩌민/NNP+(/SS+江澤民/SH+)/SS
이후의	이후/NNG+의/JKG
지도자가	지도자/NNG+가/JKS
성장률에	성장/NNG+률/XSN+에/JKB
집착한	집착/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이	이/MMD
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.6.3
‘선거로 뽑히진 않았지만 유능한 권력’이라는 것이다.

‘선거로	‘/SS+선거/NNG+로/JKB
뽑히진	뽑히/VV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
유능한	유능/NNG+하/XSA+ㄴ/ETM
