# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.55
metadata : {}


# id : NWRW1800000046.55.1.1
[생생 ART] 세계 미술계를 쥐락펴락, 알 마야사 카타르 공주·알 카시미 UAE 샤르자 공주

[생생	[/SS+생생/XR
ART]	ART/SL+]/SS
세계	세계/NNG
미술계를	미술/NNG+계/XSN+를/JKO
쥐락펴락,	쥐락펴락/MAG+,/SP
알	알/NNP
마야사	마야사/NNP
카타르	카타르/NNP
공주·알	공주/NNG+·/SP+알/NNP
카시미	카시미/NNP
UAE	UAE/SL
샤르자	샤르자/NNP
공주	공주/NNG


# id : NWRW1800000046.55.2.1
권력·재력에 심미안까지… 미술계 큰손 '닮은꼴 공주'

권력·재력에	권력/NNG+·/SP+재력/NNG+에/JKB
심미안까지…	심미안/NNG+까지/JX+…/SE
미술계	미술/NNG+계/XSN
큰손	큰손/NNG
'닮은꼴	'/SS+닮은꼴/NNG
공주'	공주/NNG+'/SS


# id : NWRW1800000046.55.3.1
이슬람국가(IS) 무장 세력의 고대 유적 파괴가 연일 핫 이슈다.

이슬람국가(IS)	이슬람국가/NNP+(/SS+IS/SL+)/SS
무장	무장/NNG
세력의	세력/NNG+의/JKG
고대	고대/NNG
유적	유적/NNG
파괴가	파괴/NNG+가/JKS
연일	연일/MAG
핫	핫/NNG
이슈다.	이슈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.55.3.2
하지만 중동 땅 한편에선 막대한 돈을 투입해 현대미술의 맹주(盟主) 자리를 차지하려는 문화 전쟁이 펼쳐지고 있다.

하지만	하지만/MAJ
중동	중동/NNP
땅	땅/NNG
한편에선	한편/NNG+에서/JKB+ㄴ/JX
막대한	막대하/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
투입해	투입/NNG+하/XSV+아/EC
현대미술의	현대/NNG+미술/NNG+의/JKG
맹주(盟主)	맹주/NNG+(/SS+盟主/SH+)/SS
자리를	자리/NNG+를/JKO
차지하려는	차지/NNG+하/XSV+려는/ETM
문화	문화/NNG
전쟁이	전쟁/NNG+이/JKS
펼쳐지고	펼쳐지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.55.3.3
중동 산유 부국들의 혈안인 세계 미술 주도권 잡기 얘기다.

중동	중동/NNP
산유	산유/NNG
부국들의	부국/NNG+들/XSN+의/JKG
혈안인	혈안/NNG+이/VCP+ㄴ/ETM
세계	세계/NNG
미술	미술/NNG
주도권	주도/NNG+권/XSN
잡기	잡/VV+기/ETN
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.55.4.1
이 사막 위 대결의 중심에 두 '아랍 공주'가 있다.

이	이/MMD
사막	사막/NNG
위	위/NNG
대결의	대결/NNG+의/JKG
