# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.86
metadata : {}


# id : NWRW1800000032.86.1.1
“잡스, 생부 모른채 여러번 만났다”

“잡스,	“/SS+잡스/NNP+,/SP
생부	생부/NNG
모른채	모르/VV+ㄴ/ETM+채/NNB
여러번	여러/MMN+번/NNB
만났다”	만나/VV+았/EP+다/EF+”/SS


# id : NWRW1800000032.86.2.1
미리 보는 ‘스티브 잡스’ 전기

미리	미리/MAG
보는	보/VV+는/ETM
‘스티브	‘/SS+스티브/NNP
잡스’	잡스/NNP+’/SS
전기	전기/NNG


# id : NWRW1800000032.86.3.1
“자주간 실리콘밸리 음식점 부친이 운영…팁 후하게 줘”

“자주간	“/SS+자주/MAG+가/VV+ㄴ/ETM
실리콘밸리	실리콘밸리/NNP
음식점	음식점/NNG
부친이	부친/NNG+이/JKS
운영…팁	운영/NNG+…/SE+팁/NNG
후하게	후하/VA+게/EC
줘”	주/VV+어/EF+”/SS


# id : NWRW1800000032.86.4.1
“어린시절땐 학교서 왕따”

“어린시절땐	“/SS+어리/VA+ㄴ/ETM+시절/NNG+때/NNG+ㄴ/JX
학교서	학교/NNG+서/JKB
왕따”	왕따/NNG+”/SS


# id : NWRW1800000032.86.5.1
“10대때 과일 다이어트 중 농장서 사과에 영감받아 ‘애플’로 회사명 지어”

“10대때	“/SS+10/SN+대/NNB+때/NNG
과일	과일/NNG
다이어트	다이어트/NNG
중	중/NNB
농장서	농장/NNG+서/JKB
사과에	사과/NNG+에/JKB
영감받아	영감/NNG+받/XSV+아/EC
‘애플’로	‘/SS+애플/NNP+’/SS+로/JKB
회사명	회사명/NNG
지어”	짓/VV+어/EC+”/SS


# id : NWRW1800000032.86.6.1
자신을 버린 아버지에 대한 ‘애증’이었을까.

자신을	자신/NNG+을/JKO
버린	버리/VV+ㄴ/ETM
아버지에	아버지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘애증’이었을까.	‘/SS+애증/NNG+’/SS+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000032.86.7.1
스티브 잡스는 “직접 만나 커피라도 한잔하고 싶다”던 생부 압둘파타 존 잔달리의 부탁을 끝내 외면한 채 세상을 떠났다.

스티브	스티브/NNP
잡스는	잡스/NNP+는/JX
“직접	“/SS+직접/MAG
만나	만나/VV+아/EC
커피라도	커피/NNG+이/VCP+라도/EC
한잔하고	한잔/NNG+하/XSV+고/EC
싶다”던	싶/VX+다/EF+”/SS+던/ETM
생부	생부/NNG
압둘파타	압둘파타/NNP
존	존/NNP
잔달리의	잔달리/NNP+의/JKG
부탁을	부탁/NNG+을/JKO
끝내	끝내/MAG
외면한	외면/NNG+하/XSV+ㄴ/ETM
채	채/NNB
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.7.2
하지만 그도 한때 친부모를 찾아 헤맸던 날이 있었던 것으로 드러났다.

하지만	하지만/MAJ
그도	그/NP+도/JX
한때	한때/MAG
친부모를	친/XPN+부모/NNG+를/JKO
찾아	찾/VV+아/EC
헤맸던	헤매/VV+었/EP+던/ETM
날이	날/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.8.1
잡스의 전기 <스티브 잡스>의 전세계 동시 발매(24일)를 앞두고, 철저하게 베일에 가려 있던 잡스에 대한 얘기들이 흘러나오고 있다.

잡스의	잡스/NNP+의/JKG
전기	전기/NNG
<스티브	</SS+스티브/NNP
잡스>의	잡스/NNP+>/SS+의/JKG
전세계	전/MMN+세계/NNG
동시	동시/NNG
발매(24일)를	발매/NNG+(/SS+24/SN+일/NNB+)/SS+를/JKO
앞두고,	앞두/VV+고/EC+,/SP
철저하게	철저/NNG+하/XSA+게/EC
베일에	베일/NNG+에/JKB
가려	가리/VV+어/EC
있던	있/VX+던/ETM
잡스에	잡스/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
얘기들이	얘기/NNG+들/XSN+이/JKS
흘러나오고	흘러나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.86.8.2
미국 <시비에스>(CBS) 방송은 20일(현지시각) 서로 부자간임을 알지 못한 채 잡스와 생부가 여러차례 만난 일도 있다고 보도했다.

미국	미국/NNP
<시비에스>(CBS)	</SS+시비에스/NNP+>/SS+(/SS+CBS/SL+)/SS
방송은	방송/NNG+은/JX
20일(현지시각)	20/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
서로	서로/MAG
부자간임을	부자간/NNG+이/VCP+ㅁ/ETN+을/JKO
알지	알/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
잡스와	잡스/NNP+와/JC
생부가	생부/NNG+가/JKS
여러차례	여러/MMN+차례/NNG
만난	만나/VV+ㄴ/ETM
일도	일/NNG+도/JX
있다고	있/VA+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.8.3
잡스의 전기 작가 월터 아이작슨이 이 방송의 프로그램 ‘60분’에서 밝힌 얘기다.

잡스의	잡스/NNP+의/JKG
전기	전기/NNG
작가	작가/NNG
월터	월터/NNP
아이작슨이	아이작슨/NNP+이/JKS
이	이/MMD
방송의	방송/NNG+의/JKG
프로그램	프로그램/NNG
‘60분’에서	‘/SS+60/SN+분/NNB+’/SS+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.86.9.1
아이작슨에 따르면, 잡스는 생모 조앤 심슨을 찾아내 소설가 모나 심슨이 여동생인 걸 알게 됐고 이후 여동생과 함께 아버지를 찾아나섰다.

아이작슨에	아이작슨/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
잡스는	잡스/NNP+는/JX
생모	생모/NNG
조앤	조앤/NNP
심슨을	심슨/NNP+을/JKO
찾아내	찾아내/VV+어/EC
소설가	소설가/NNG
모나	모나/NNP
심슨이	심슨/NNP+이/JKS
여동생인	여동생/NNG+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
알게	알/VV+게/EC
됐고	되/VV+었/EP+고/EC
이후	이후/NNG
여동생과	여동생/NNG+과/JKB
함께	함께/MAG
아버지를	아버지/NNG+를/JKO
찾아나섰다.	찾/VV+아/EC+나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.86.9.2
생부를 먼저 찾아낸 건 여동생이었다.

생부를	생부/NNG+를/JKO
먼저	먼저/MAG
찾아낸	찾아내/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
여동생이었다.	여동생/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.86.9.3
커피숍을 운영하던 아버지 잔달리가 회한에 찬 채 딸에게 한 얘기는 잡스 부자의 엇갈린 ‘인연’을 보여준다.

커피숍을	커피숍/NNG+을/JKO
운영하던	운영/NNG+하/XSV+던/ETM
아버지	아버지/NNG
잔달리가	잔달리/NNP+가/JKS
회한에	회한/NNG+에/JKB
찬	차/VV+ㄴ/ETM
채	채/NNB
딸에게	딸/NNG+에게/JKB
한	하/VV+ㄴ/ETM
얘기는	얘기/NNG+는/JX
잡스	잡스/NNP
부자의	부자/NNG+의/JKG
엇갈린	엇갈리/VV+ㄴ/ETM
‘인연’을	‘/SS+인연/NNG+’/SS+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.86.9.4
“내가 실리콘밸리에서 커다란 지중해 음식점을 할 때 만났으면 좋았을 텐데.

“내가	“/SS+내/NP+가/JKS
실리콘밸리에서	실리콘밸리/NNP+에서/JKB
커다란	커다랗/VA+ㄴ/ETM
지중해	지중해/NNP
음식점을	음식점/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
만났으면	만나/VV+았/EP+으면/EC
좋았을	좋/VA+았/EP+을/ETM
텐데.	터/NNB+이/VCP+ㄴ데/EF+./SF


# id : NWRW1800000032.86.9.5
거기엔 정말 모든 사람들이 왔단다.

거기엔	거기/NP+에/JKB+ㄴ/JX
정말	정말/MAG
모든	모든/MMN
사람들이	사람/NNG+들/XSN+이/JKS
왔단다.	오/VV+았/EP+단다/EF+./SF


# id : NWRW1800000032.86.9.6
심지어 스티브 잡스도 자주 왔지.

심지어	심지어/MAG
스티브	스티브/NNP
잡스도	잡스/NNP+도/JX
자주	자주/MAG
왔지.	오/VV+았/EP+지/EF+./SF


# id : NWRW1800000032.86.9.7
잡스는 팁을 아주 후하게 줬단다.”

잡스는	잡스/NNP+는/JX
팁을	팁/NNG+을/JKO
아주	아주/MAG
후하게	후하/VA+게/EC
줬단다.”	주/VV+었/EP+단다/EF+./SF+”/SS


# id : NWRW1800000032.86.9.8
심슨은 오빠에게 먼저 이 얘길 전했지만, 잡스는 생부에게 자신의 이야기를 하지 말라고 여동생에게 당부한다.

심슨은	심슨/NNP+은/JX
오빠에게	오빠/NNG+에게/JKB
먼저	먼저/MAG
이	이/MMD
얘길	얘기/NNG+ㄹ/JKO
전했지만,	전하/VV+았/EP+지만/EC+,/SP
잡스는	잡스/NNP+는/JX
생부에게	생부/NNG+에게/JKB
자신의	자신/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
하지	하/VV+지/EC
말라고	말/VX+라고/EC
여동생에게	여동생/NNG+에게/JKB
당부한다.	당부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.86.9.9
훗날 잡스는 아이작슨과의 인터뷰에서 “물론 (그때) 생부를 찾고 있었지만, 조금이나마 내가 그에 대해 알고 있는 것, 나는 그게 맘에 들지 않았다”고 말했다.

훗날	훗날/NNG
잡스는	잡스/NNP+는/JX
아이작슨과의	아이작슨/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“물론	“/SS+물론/MAG
(그때)	(/SS+그때/NNG+)/SS
생부를	생부/NNG+를/JKO
찾고	찾/VV+고/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
조금이나마	조금/NNG+이나마/JX
내가	내/NP+가/JKS
그에	그/NP+에/JKB
대해	대하/VV+아/EC
알고	알/VV+고/EC
있는	있/VX+는/ETM
것,	것/NNB+,/SP
나는	나/NP+는/JX
그게	그거/NP+이/JKS
맘에	맘/NNG+에/JKB
들지	들/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.10.1
아이작슨은 잡스가 죽음을 앞두고선 진작 수술을 받지 않은 걸 크게 후회하기도 했다고 전했다.

아이작슨은	아이작슨/NNP+은/JX
잡스가	잡스/NNP+가/JKS
죽음을	죽음/NNG+을/JKO
앞두고선	앞두/VV+고서/EC+ㄴ/JX
진작	진작/MAG
수술을	수술/NNG+을/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
걸	거/NNB+ㄹ/JKO
크게	크/VA+게/EC
후회하기도	후회/NNG+하/XSV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.10.2
잡스는 가족들의 요청에도 9개월 동안 암 수술을 거부했으며, 외과 수술보다는 식이요법과 정신요법에 매달렸다.

잡스는	잡스/NNP+는/JX
가족들의	가족/NNG+들/XSN+의/JKG
요청에도	요청/NNG+에/JKB+도/JX
9개월	9/SN+개월/NNB
동안	동안/NNG
암	암/NNG
수술을	수술/NNG+을/JKO
거부했으며,	거부/NNG+하/XSV+았/EP+으며/EC+,/SP
외과	외과/NNG
수술보다는	수술/NNG+보다/JKB+는/JX
식이요법과	식이/NNG+요법/NNG+과/JC
정신요법에	정신/NNG+요법/NNG+에/JKB
매달렸다.	매달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.86.10.3
