# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.230
metadata : {}


# id : NWRW1800000022.230.1.1
[충청] '토바우' 명품화 위한 사료공장 완공 전국 최대 하루 400t 생산

[충청]	[/SS+충청/NNP+]/SS
'토바우'	'/SS+토바우/NNP+'/SS
명품화	명품/NNG+화/XSN
위한	위하/VV+ㄴ/ETM
사료공장	사료/NNG+공장/NNG
완공	완공/NNG
전국	전국/NNG
최대	최대/NNG
하루	하루/NNG
400t	400/SN+t/SW
생산	생산/NNG


# id : NWRW1800000022.230.2.1
충남 한우 공동브랜드인 '토바우' 전용 사료제조 공장이 건립돼 더욱 우수한 한우 생산이 가능해졌다.

충남	충남/NNP
한우	한우/NNG
공동브랜드인	공동/NNG+브랜드/NNG+이/VCP+ㄴ/ETM
'토바우'	'/SS+토바우/NNP+'/SS
전용	전용/NNG
사료제조	사료/NNG+제조/NNG
공장이	공장/NNG+이/JKS
건립돼	건립/NNG+되/XSV+어/EC
더욱	더욱/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
생산이	생산/NNG+이/JKS
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.230.3.1
토바우조합장운영협의회(의장 정창현 서산축협장)와 농업회사법인 ㈜토바우(대표 박연교 예산축협장)는 26일 충남 예산군 대술면 산정리에서 청보리 등 국내산 자급 조사료를 이용한 조사료(TMF) 가공 공장 준공식을 가졌다.

토바우조합장운영협의회(의장	토바우조합장운영협의회/NNP+(/SS+의장/NNG
정창현	정창현/NNP
서산축협장)와	서산축협장/NNG+)/SS+와/JC
농업회사법인	농업/NNG+회사/NNG+법인/NNG
㈜토바우(대표	㈜/SW+토바우/NNP+(/SS+대표/NNG
박연교	박연교/NNP
예산축협장)는	예산축협장/NNG+)/SS+는/JX
26일	26/SN+일/NNB
충남	충남/NNP
예산군	예산군/NNP
대술면	대술면/NNP
산정리에서	산정리/NNP+에서/JKB
청보리	청보리/NNG
등	등/NNB
국내산	국내/NNG+산/XSN
자급	자급/NNG
조사료를	조사료/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
조사료(TMF)	조사료/NNG+(/SS+TMF/SL+)/SS
가공	가공/NNG
공장	공장/NNG
준공식을	준공식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.230.4.1
충남 14개 축협으로 구성된 토바우조합장운영협의회가 토바우를 국내 최고 한우 브랜드로 육성하기 위해 모두 132억원을 투입해 건립했다.

충남	충남/NNP
