# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.241
metadata : {}


# id : NWRW1800000048.241.1.1
검찰 칼끝, 정동화 ‘정조준’

검찰	검찰/NNG
칼끝,	칼끝/NNG+,/SP
정동화	정동화/NNP
‘정조준’	‘/SS+정조준/NNG+’/SS


# id : NWRW1800000048.241.2.1
전 포스코건설 부회장 주내 소환

전	전/MMD
포스코건설	포스코건설/NNP
부회장	부회장/NNG
주내	주/NNG+내/NNB
소환	소환/NNG


# id : NWRW1800000048.241.3.1
MB정권 인사 등 수사임박 신호

MB정권	MB/SL+정권/NNG
인사	인사/NNG
등	등/NNB
수사임박	수사/NNG+임박/NNG
신호	신호/NNG


# id : NWRW1800000048.241.4.1
경남기업 수사 회계비리 전반 확대

경남기업	경남기업/NNP
수사	수사/NNG
회계비리	회계/NNG+비리/NNG
전반	전반/NNG
확대	확대/NNG


# id : NWRW1800000048.241.5.1
검찰의 칼끝이 정동화(64) 전 포스코건설 부회장을 직접 겨누게 됐다.

검찰의	검찰/NNG+의/JKG
칼끝이	칼끝/NNG+이/JKS
정동화(64)	정동화/NNP+(/SS+64/SN+)/SS
전	전/MMD
포스코건설	포스코건설/NNP
부회장을	부회장/NNG+을/JKO
직접	직접/MAG
겨누게	겨누/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.241.5.2
검찰은 이번주에 정 전 부회장을 소환조사할 계획이다.

검찰은	검찰/NNG+은/JX
이번주에	이번/NNG+주/NNG+에/JKB
정	정/NNP
전	전/MMD
부회장을	부회장/NNG+을/JKO
소환조사할	소환/NNG+조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.241.6.1
서울중앙지검 특수2부(부장 조상준)가 지난 27일 포스코건설 김익희 부사장을 소환조사한 것은 정 전 부회장 소환을 앞둔 마무리 작업의 성격이 짙다.

서울중앙지검	서울중앙지검/NNP
특수2부(부장	특수/NNG+2/SN+부/NNG+(/SS+부장/NNG
조상준)가	조상준/NNP+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
포스코건설	포스코건설/NNP
김익희	김익희/NNP
부사장을	부사장/NNG+을/JKO
소환조사한	소환/NNG+조사/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
정	정/NNP
전	전/MMD
부회장	부회장/NNG
소환을	소환/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
마무리	마무리/NNG
작업의	작업/NNG+의/JKG
성격이	성격/NNG+이/JKS
짙다.	짙/VA+다/EF+./SF


# id : NWRW1800000048.241.6.2
김 부사장은 포스코건설 토목환경사업본부장을 지내고, 국내외 각종 플랜트·토목 공사를 총괄 지휘했다.

김	김/NNP
부사장은	부사장/NNG+은/JX
포스코건설	포스코건설/NNP
토목환경사업본부장을	토목/NNG+환경/NNG+사업/NNG+본부장/NNG+을/JKO
지내고,	지내/VV+고/EC+,/SP
국내외	국내외/NNG
각종	각종/NNG
플랜트·토목	플랜트/NNG+·/SP+토목/NNG
공사를	공사/NNG+를/JKO
총괄	총괄/NNG
지휘했다.	지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.241.6.3
베트남 고속도로 건설 사업에서 조성된 비자금 100억여원 가운데 국내로 반입된 40억여원이 윗선으로 전달되는 길목에 있는 인물인 셈이다.

베트남	베트남/NNP
고속도로	고속/NNG+도로/NNG
건설	건설/NNG
사업에서	사업/NNG+에서/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
비자금	비자금/NNG
100억여원	100/SN+억/NR+여/XSN+원/NNB
가운데	가운데/NNG
국내로	국내/NNG+로/JKB
반입된	반입/NNG+되/XSV+ㄴ/ETM
40억여원이	40/SN+억/NR+여/XSN+원/NNB+이/JKS
윗선으로	윗선/NNG+으로/JKB
전달되는	전달/NNG+되/XSV+는/ETM
길목에	길목/NNG+에/JKB
있는	있/VA+는/ETM
인물인	인물/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.241.7.1
2009~2012년 하도급업체에 지급한 공사대금을 부풀리는 수법으로 비자금을 만들어 40억여원을 국내로 반입한 혐의(업무상 횡령)로 구속된 베트남법인장 출신 박아무개 전 상무는 김 부사장이 비자금 조성을 지시했으며, 그 배후에 정 전 부회장이 있다는 취지의 진술을 한 것으로 전해졌다.

2009~2012년	2009/SN+~/SO+2012/SN+년/NNB
하도급업체에	하도급/NNG+업체/NNG+에/JKB
지급한	지급/NNG+하/XSV+ㄴ/ETM
공사대금을	공사/NNG+대금/NNG+을/JKO
부풀리는	부풀리/VV+는/ETM
수법으로	수법/NNG+으로/JKB
비자금을	비자금/NNG+을/JKO
만들어	만들/VV+어/EC
40억여원을	40/SN+억/NR+여/XSN+원/NNB+을/JKO
국내로	국내/NNG+로/JKB
반입한	반입/NNG+하/XSV+ㄴ/ETM
혐의(업무상	혐의/NNG+(/SS+업무/NNG+상/XSN
횡령)로	횡령/NNG+)/SS+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
베트남법인장	베트남/NNP+법인장/NNG
출신	출신/NNG
박아무개	박/NNP+아무개/NP
전	전/MMD
상무는	상무/NNG+는/JX
김	김/NNP
부사장이	부사장/NNG+이/JKS
비자금	비자금/NNG
조성을	조성/NNG+을/JKO
지시했으며,	지시/NNG+하/XSV+았/EP+으며/EC+,/SP
그	그/MMD
배후에	배후/NNG+에/JKB
정	정/NNP
부회장이	부회장/NNG+이/JKS
있다는	있/VA+다는/ETM
취지의	취지/NNG+의/JKG
진술을	진술/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.241.8.1
검찰은 김 부사장을 소환한 날 정 전 부회장 집도 압수수색했다.

검찰은	검찰/NNG+은/JX
김	김/NNP
부사장을	부사장/NNG+을/JKO
소환한	소환/NNG+하/XSV+ㄴ/ETM
날	날/NNG
정	정/NNP
전	전/MMD
부회장	부회장/NNG
집도	집/NNG+도/JX
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.241.8.2
검찰이 정 전 부회장을 정조준한 것은 포스코그룹 수뇌부와 전 정권 인사들에 대한 수사도 임박했다는 신호로 보인다.

검찰이	검찰/NNG+이/JKS
정	정/NNP
전	전/MMD
부회장을	부회장/NNG+을/JKO
정조준한	정조준/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
포스코그룹	포스코그룹/NNP
수뇌부와	수뇌부/NNG+와/JC
정권	정권/NNG
인사들에	인사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
수사도	수사/NNG+도/JX
임박했다는	임박/NNG+하/XSV+았/EP+다는/ETM
신호로	신호/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.241.8.3
정 전 부회장은 정준양(67) 전 포스코그룹 회장과 함께 경영을 이끈 2인자로 전 정권 인사들과의 유착설이 제기돼 왔다.

정	정/NNP
전	전/MMD
부회장은	부회장/NNG+은/JX
정준양(67)	정준양/NNP+(/SS+67/SN+)/SS
포스코그룹	포스코그룹/NNP
회장과	회장/NNG+과/JKB
함께	함께/MAG
경영을	경영/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
2인자로	2인자/NNG+로/JKB
정권	정권/NNG
인사들과의	인사/NNG+들/XSN+과/JKB+의/JKG
유착설이	유착설/NNG+이/JKS
제기돼	제기/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.241.9.1
경남기업의 자원외교 정부융자금(성공불융자) 유용을 수사하는 서울중앙지검 특수1부(부장 임관혁)도 성완종(64) 전 회장 소환을 눈앞에 두고 있다.

경남기업의	경남기업/NNP+의/JKG
자원외교	자원/NNG+외교/NNG
정부융자금(성공불융자)	정부/NNG+융자금/NNG+(/SS+성공불/NNG+융자/NNG+)/SS
유용을	유용/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
서울중앙지검	서울중앙지검/NNP
특수1부(부장	특수/NNG+1/SN+부/NNG+(/SS+부장/NNG
임관혁)도	임관혁/NNP+)/SS+도/JX
성완종(64)	성완종/NNP+(/SS+64/SN+)/SS
전	전/MMD
회장	회장/NNG
소환을	소환/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.241.9.2
검찰은 경남기업이 380억원에 이르는 정부 융자금을 받은 뒤 성 전 회장 일가가 실소유주인 협력업체 10여곳을 통해 수십억원을 횡령한 혐의를 수사해 왔다.

검찰은	검찰/NNG+은/JX
경남기업이	경남기업/NNP+이/JKS
380억원에	380/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
정부	정부/NNG
융자금을	융자금/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
성	성/NNP
전	전/MMD
회장	회장/NNG
일가가	일가/NNG+가/JKS
실소유주인	실소유주/NNG+이/VCP+ㄴ/ETM
협력업체	협력/NNG+업체/NNG
10여곳을	10/SN+여/XSN+곳/NNG+을/JKO
통해	통하/VV+아/EC
수십억원을	수십억/NR+원/NNB+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
수사해	수사/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.241.9.3
검찰은 횡령 혐의를 입증할 자료를 상당 부분 확보한 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
횡령	횡령/NNG
혐의를	혐의/NNG+를/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
자료를	자료/NNG+를/JKO
상당	상당/NNG
부분	부분/NNG
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.241.10.1
경남기업 수사는 분식회계 등 기업회계 비리 전반으로도 확대되고 있다.

경남기업	경남기업/NNP
수사는	수사/NNG+는/JX
분식회계	분식/NNG+회계/NNG
등	등/NNB
기업회계	기업/NNG+회계/NNG
비리	비리/NNG
전반으로도	전반/NNG+으로/JKB+도/JX
확대되고	확대/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.241.10.2
검찰은 2009년 워크아웃을 신청한 경남기업이 성공불융자를 지원받을 당시 대출 심의 규정이 정한 신용등급을 충족하기 위해 재무상태를 조작한 정황을 찾아내 당시 이 업체의 회계 전반을 분석하고 있다.

검찰은	검찰/NNG+은/JX
2009년	2009/SN+년/NNB
워크아웃을	워크아웃/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
경남기업이	경남기업/NNP+이/JKS
성공불융자를	성공불/NNG+융자/NNG+를/JKO
지원받을	지원/NNG+받/XSV+을/ETM
당시	당시/NNG
대출	대출/NNG
심의	심의/NNG
규정이	규정/NNG+이/JKS
정한	정하/VV+ㄴ/ETM
신용등급을	신용/NNG+등급/NNG+을/JKO
충족하기	충족/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
재무상태를	재무/NNG+상태/NNG+를/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
찾아내	찾아내/VV+어/EC
이	이/MMD
업체의	업체/NNG+의/JKG
회계	회계/NNG
전반을	전반/NNG+을/JKO
분석하고	분석/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.241.11.1
성공불융자금을 지원받으려면 신용평가 등급 ‘CCC’ 이상을 받아야 하는데, 당시 사실상 채무불이행 상태였던 경남기업은 그보다 높은 ‘BBB-’ 등급을 받았다.

성공불융자금을	성공불/NNG+융자금/NNG+을/JKO
지원받으려면	지원/NNG+받/XSV+으려면/EC
신용평가	신용/NNG+평가/NNG
등급	등급/NNG
‘CCC’	‘/SS+CCC/SL+’/SS
이상을	이상/NNG+을/JKO
받아야	받/VV+아야/EC
하는데,	하/VX+는데/EC+,/SP
당시	당시/NNG
사실상	사실/NNG+상/XSN
채무불이행	채무/NNG+불/XPN+이행/NNG
상태였던	상태/NNG+이/VCP+었/EP+던/ETM
경남기업은	경남기업/NNP+은/JX
그보다	그/NP+보다/JKB
높은	높/VA+은/ETM
‘BBB-’	‘/SS+BBB/SL+-/SO+’/SS
등급을	등급/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.241.11.2
검찰은 신용평가기업 및 금융권, 금융당국이 외압에 의해 신용등급을 결정했는지도 조사할 방침이다.

검찰은	검찰/NNG+은/JX
신용평가기업	신용/NNG+평가/NNG+기업/NNG
및	및/MAG
금융권,	금융/NNG+권/XSN+,/SP
금융당국이	금융/NNG+당국/NNG+이/JKS
외압에	외압/NNG+에/JKB
의해	의하/VV+아/EC
신용등급을	신용/NNG+등급/NNG+을/JKO
결정했는지도	결정/NNG+하/XSV+았/EP+는지/EF+도/JX
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.241.11.3
앞서 경남기업이 워크아웃에 들어가기 전 이상득 전 의원이 주채권은행인 신한은행 고위 관계자에게 전화를 걸어 워크아웃 대상에서 제외해 달라고 요구한 사실이 드러나기도 했다.

앞서	앞서/MAG
경남기업이	경남기업/NNP+이/JKS
워크아웃에	워크아웃/NNG+에/JKB
들어가기	들어가/VV+기/ETN
전	전/MMD
이상득	이상득/NNP
의원이	의원/NNG+이/JKS
주채권은행인	주/MMA+채권/NNG+은행/NNG+이/VCP+ㄴ/ETM
신한은행	신한은행/NNP
고위	고위/NNG
관계자에게	관계자/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
워크아웃	워크아웃/NNG
대상에서	대상/NNG+에서/JKB
제외해	제외/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요구한	요구/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나기도	드러나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


