# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.147
metadata : {}


# id : NWRW1800000046.147.1.1
"착륙高度 너무 낮아… 2년전 참사(美샌프란시스코공항 사고) 되풀이할 뻔"

"착륙高度	"/SS+착륙/NNG+高度/SH
너무	너무/MAG
낮아…	낮/VA+아/EC+…/SE
2년전	2/SN+년/NNB+전/NNG
참사(美샌프란시스코공항	참사/NNG+(/SS+美/SH+샌프란시스코공항/NNP
사고)	사고/NNG+)/SS
되풀이할	되풀이/NNG+하/XSV+ㄹ/ETM
뻔"	뻔/NNB+"/SS


# id : NWRW1800000046.147.2.1
아시아나機 日히로시마공항 활주로 이탈… 日정부, 원인 분석 나서

아시아나機	아시아나/NNP+機/SH
日히로시마공항	日/SH+히로시마공항/NNP
활주로	활주로/NNG
이탈…	이탈/NNG+…/SE
日정부,	日/SH+정부/NNG+,/SP
원인	원인/NNG
분석	분석/NNG
나서	나서/VV+어/EF


# id : NWRW1800000046.147.3.1
아시아나항공 여객기(A320)가 14일 저녁 일본 히로시마공항에 착륙하다 활주로를 벗어난 사고와 관련, 일본 언론은 "대형 참사가 날 뻔했다"며 대대적으로 보도했다.

아시아나항공	아시아나항공/NNP
여객기(A320)가	여객기/NNG+(/SS+A/SL+320/SN+)/SS+가/JKS
14일	14/SN+일/NNB
저녁	저녁/NNG
일본	일본/NNP
히로시마공항에	히로시마공항/NNP+에/JKB
착륙하다	착륙/NNG+하/XSV+다/EC
활주로를	활주로/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
사고와	사고/NNG+와/JKB
관련,	관련/NNG+,/SP
언론은	언론/NNG+은/JX
"대형	"/SS+대형/NNG
참사가	참사/NNG+가/JKS
날	나/VV+ㄹ/ETM
뻔했다"며	뻔/NNB+하/XSA+았/EP+다/EF+"/SS+며/EC
대대적으로	대대적/NNG+으로/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.3.2
NHK 등 일본 방송은 14일 밤 이 사고 소식을 톱뉴스로 다뤘고, 15일자 조간들도 1면에 사고기 사진과 함께 주요 뉴스로 보도했다.

NHK	NHK/SL
등	등/NNB
일본	일본/NNP
방송은	방송/NNG+은/JX
14일	14/SN+일/NNB
밤	밤/NNG
이	이/MMD
사고	사고/NNG
소식을	소식/NNG+을/JKO
톱뉴스로	톱뉴스/NNG+로/JKB
다뤘고,	다루/VV+었/EP+고/EC+,/SP
15일자	15/SN+일자/NNG
조간들도	조간/NNG+들/XSN+도/JX
1면에	1/SN+면/NNG+에/JKB
사고기	사고기/NNG
사진과	사진/NNG+과/JKB
함께	함께/MAG
주요	주요/NNG
뉴스로	뉴스/NNG+로/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.3.3
항공 전문가 고바야시 히로유키(小林宏之)씨는 마이니치신문 인터뷰에서 "고도가 조금 더 낮았으면 대형 참사로 이어질 수 있었다"고 했다.

항공	항공/NNG
전문가	전문가/NNG
고바야시	고바야시/NNP
히로유키(小林宏之)씨는	히로유키/NNP+(/SS+小林宏之/SH+)/SS+씨/NNB+는/JX
마이니치신문	마이니치신문/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
"고도가	"/SS+고도/NNG+가/JKS
조금	조금/MAG
더	더/MAG
낮았으면	낮/VA+았/EP+으면/EC
대형	대형/NNG
참사로	참사/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.4.1
이번 사고는 자칫 2년 전 샌프란시스코공항 사고의 재판(再版)이 될 뻔했다는 점에서 주목을 받았다.

이번	이번/NNG
사고는	사고/NNG+는/JX
자칫	자칫/MAG
2년	2/SN+년/NNB
전	전/NNG
샌프란시스코공항	샌프란시스코공항/NNP
사고의	사고/NNG+의/JKG
재판(再版)이	재판/NNG+(/SS+再版/SH+)/SS+이/JKC
될	되/VV+ㄹ/ETM
뻔했다는	뻔/NNB+하/XSA+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.4.2
2013년 7월 아시아나항공기는 미국 샌프란시스코공항에 낮은 고도로 착륙하다 활주로 앞 방파제에 충돌한 뒤 활주로를 벗어났다.

2013년	2013/SN+년/NNB
7월	7/SN+월/NNB
아시아나항공기는	아시아나/NNP+항공기/NNG+는/JX
미국	미국/NNP
샌프란시스코공항에	샌프란시스코공항/NNP+에/JKB
낮은	낮/VA+은/ETM
고도로	고도/NNG+로/JKB
착륙하다	착륙/NNG+하/XSV+다/EC
활주로	활주로/NNG
앞	앞/NNG
방파제에	방파제/NNG+에/JKB
충돌한	충돌/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
활주로를	활주로/NNG+를/JKO
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.4.3
이 사고로 3명이 숨지고 180여명이 다쳤다.

이	이/MMD
사고로	사고/NNG+로/JKB
3명이	3/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
180여명이	180/SN+여/XSN+명/NNB+이/JKS
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.4.4
