# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.397
metadata : {}


# id : NWRW1800000029.397.1.1
민주 ‘12월 통합의결-1월 全大’ 합의

민주	민주/NNP
‘12월	‘/SS+12/SN+월/NNB
통합의결-1월	통합/NNG+의결/NNG+-/SO+1/SN+월/NNB
全大’	全大/SH+’/SS
합의	합의/NNG


# id : NWRW1800000029.397.2.1
손학규-박지원 어젯밤 회동

손학규-박지원	손학규/NNP+-/SO+박지원/NNP
어젯밤	어젯밤/NNG
회동	회동/NNG


# id : NWRW1800000029.397.3.1
야권 통합 방식을 놓고 격돌해온 민주당 내 신당파와 구당파 간의 ‘한랭전선’에 기류 변화가 나타나고 있다.

야권	야권/NNG
통합	통합/NNG
방식을	방식/NNG+을/JKO
놓고	놓/VV+고/EC
격돌해온	격돌/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
민주당	민주당/NNP
내	내/NNB
신당파와	신당파/NNG+와/JC
구당파	구당파/NNG
간의	간/NNB+의/JKG
‘한랭전선’에	‘/SS+한랭/NNG+전선/NNG+’/SS+에/JKB
기류	기류/NNG
변화가	변화/NNG+가/JKS
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.397.3.2
민주당은 25일 긴급 의총을 열고 손학규 대표의 ‘12월 17일 원샷 통합전대’, 박지원 의원의 ‘선(先)독자전대, 후(後)통합 추진’, 그리고 신기남 상임고문의 절충안(12월 17일 합당 의결, 내년 1월 새 지도부 선출)에 대한 의견을 수렴했으나 결론을 내리지 못했다.

민주당은	민주당/NNP+은/JX
25일	25/SN+일/NNB
긴급	긴급/NNG
의총을	의총/NNG+을/JKO
열고	열/VV+고/EC
손학규	손학규/NNP
대표의	대표/NNG+의/JKG
‘12월	‘/SS+12/SN+월/NNB
17일	17/SN+일/NNB
원샷	원샷/NNG
통합전대’,	통합/NNG+전대/NNG+’/SS+,/SP
박지원	박지원/NNP
의원의	의원/NNG+의/JKG
‘선(先)독자전대,	‘/SS+선/NNG+(/SS+先/SH+)/SS+독자/NNG+전대/NNG+,/SP
후(後)통합	후/NNG+(/SS+後/SH+)/SS+통합/NNG
추진’,	추진/NNG+’/SS+,/SP
그리고	그리고/MAJ
신기남	신기남/NNP
상임고문의	상임/NNG+고문/NNG+의/JKG
절충안(12월	절충안/NNG+(/SS+12/SN+월/NNB
합당	합당/NNG
의결,	의결/NNG+,/SP
내년	내년/NNG
1월	1/SN+월/NNB
새	새/MMA
지도부	지도부/NNG
선출)에	선출/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴했으나	수렴/NNG+하/XSV+았/EP+으나/EC
결론을	결론/NNG+을/JKO
내리지	내리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.397.3.3
그러나 신 고문이 제안한 절충안이 주말을 거치며 공감대를 얻어가고 있는 분위기다.

그러나	그러나/MAJ
신	신/NNP
고문이	고문/NNG+이/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
절충안이	절충안/NNG+이/JKS
주말을	주말/NNG+을/JKO
거치며	거치/VV+며/EC
공감대를	공감대/NNG+를/JKO
얻어가고	얻/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.397.4.1
박 의원은 27일 동아일보와의 통화에서 “아직 신 고문의 중재안에 대해 긍정적이라고 볼 수는 없지만 주변 이야기를 더 들어보겠다”고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
27일	27/SN+일/NNB
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“아직	“/SS+아직/MAG
신	신/NNP
고문의	고문/NNG+의/JKG
중재안에	중재안/NNG+에/JKB
대해	대하/VV+아/EC
긍정적이라고	긍정/NNG+적/XSN+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
주변	주변/NNG
이야기를	이야기/NNG+를/JKO
더	더/MAG
들어보겠다”고	듣/VV+어/EC+보/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.397.4.2
자신의 태도가 조금 바뀔 수도 있음을 내비친 것이다.

자신의	자신/NNG+의/JKG
태도가	태도/NNG+가/JKS
조금	조금/MAG
바뀔	바뀌/VV+ㄹ/ETM
수도	수/NNB+도/JX
있음을	있/VA+음/ETN+을/JKO
내비친	내비치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.397.4.3
이와 관련해 손 대표와 박 의원은 27일 저녁 서울 시내 모처에서 손 대표의 제안으로 긴급 회동을 하고 야권 통합 방식에 대해 ‘선통합-후경선’으로 합의한 것으로 알려졌다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
손	손/NNP
대표와	대표/NNG+와/JC
박	박/NNP
의원은	의원/NNG+은/JX
27일	27/SN+일/NNB
저녁	저녁/NNG
서울	서울/NNP
시내	시내/NNG
모처에서	모처/NNG+에서/JKB
대표의	대표/NNG+의/JKG
제안으로	제안/NNG+으로/JKB
긴급	긴급/NNG
회동을	회동/NNG+을/JKO
하고	하/VV+고/EC
야권	야권/NNG
통합	통합/NNG
방식에	방식/NNG+에/JKB
대해	대하/VV+아/EC
‘선통합-후경선’으로	‘/SS+선/NNG+통합/NNG+-/SO+후/NNG+경선/NNG+’/SS+으로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.397.5.1
신 고문은 이날 ‘당원 동지들과 박지원 의원께 드리는 글’이라는 보도 자료를 내고 “민주당 단독 전대 주장을 거둬들이고 대다수 의원의 공감대가 모인 ‘선통합-후경선’ 방안에 합의를 이루자”며 박 의원을 거듭 압박했다.

신	신/NNP
고문은	고문/NNG+은/JX
이날	이날/NNG
‘당원	‘/SS+당원/NNG
동지들과	동지/NNG+들/XSN+과/JC
박지원	박지원/NNP
의원께	의원/NNG+께/JKB
드리는	드리/VV+는/ETM
글’이라는	글/NNG+’/SS+이/VCP+라는/ETM
보도	보도/NNG
자료를	자료/NNG+를/JKO
내고	내/VV+고/EC
“민주당	“/SS+민주당/NNP
단독	단독/NNG
전대	전대/NNG
주장을	주장/NNG+을/JKO
거둬들이고	거둬들이/VV+고/EC
대다수	대/XPN+다수/NNG
의원의	의원/NNG+의/JKG
공감대가	공감대/NNG+가/JKS
모인	모이/VV+ㄴ/ETM
‘선통합-후경선’	‘/SS+선/NNG+통합/NNG+-/SO+후/NNG+경선/NNG+’/SS
방안에	방안/NNG+에/JKB
합의를	합의/NNG+를/JKO
이루자”며	이루/VV+자/EF+”/SS+며/EC
박	박/NNP
의원을	의원/NNG+을/JKO
거듭	거듭/MAG
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.397.5.2
하지만 구당파 일각에선 여전히 절충안의 문제점을 거론하고 있어 논란의 불씨는 남아 있다.

하지만	하지만/MAJ
구당파	구당파/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
여전히	여전히/MAG
절충안의	절충안/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
거론하고	거론/NNG+하/XSV+고/EC
있어	있/VX+어/EC
논란의	논란/NNG+의/JKG
불씨는	불씨/NNG+는/JX
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.397.5.3
박주선 최고위원은 “통합의 방향과 원칙을 위임받은 수임기구가 만들어져 통합을 추진해야 당헌 당규에 맞는다”며 “(신 고문의) 중재안이 (그전에 비해 양측 주장에) 근접된 것이지만 중재안에 따르더라도 수임기구는 통합의 부속기관 역할밖에 못하기 때문에 (당헌당규상) 문제가 있다”고 지적했다.

박주선	박주선/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
“통합의	“/SS+통합/NNG+의/JKG
방향과	방향/NNG+과/JC
원칙을	원칙/NNG+을/JKO
위임받은	위임/NNG+받/XSV+은/ETM
수임기구가	수임/NNG+기구/NNG+가/JKS
만들어져	만들/VV+어/EC+지/VX+어/EC
통합을	통합/NNG+을/JKO
추진해야	추진/NNG+하/XSV+아야/EC
