# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.320
metadata : {}


# id : NWRW1800000029.320.1.1
[오늘과 내일] 오바마가 김정일에게 해야 할 말

[오늘과	[/SS+오늘/NNG+과/JC
내일]	내일/NNG+]/SS
오바마가	오바마/NNP+가/JKS
김정일에게	김정일/NNP+에게/JKB
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
말	말/NNG


# id : NWRW1800000029.320.2.1
북한이 아세안지역안보포럼(ARF)을 계기로 남북 6자회담 수석대표회담에 응한 지 6일 만에 북-미 회담이 재개됐다.

북한이	북한/NNP+이/JKS
아세안지역안보포럼(ARF)을	아세안지역안보포럼/NNP+(/SS+ARF/SL+)/SS+을/JKO
계기로	계기/NNG+로/JKB
남북	남북/NNP
6자회담	6/SN+자/NNB+회담/NNG
수석대표회담에	수석대표/NNG+회담/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
지	지/NNB
6일	6/SN+일/NNB
만에	만/NNB+에/JKB
북-미	북/NNP+-/SO+미/NNP
회담이	회담/NNG+이/JKS
재개됐다.	재개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.320.2.2
미국과의 회담을 위해 뉴욕에 간 김계관 북한 외무성 제1부상은 기자들에게 “지금은 모든 나라가 화해를 해야 할 시기”라고 말했다.

미국과의	미국/NNP+과/JKB+의/JKG
회담을	회담/NNG+을/JKO
위해	위하/VV+아/EC
뉴욕에	뉴욕/NNP+에/JKB
간	가/VV+ㄴ/ETM
김계관	김계관/NNP
북한	북한/NNP
외무성	외무성/NNG
제1부상은	제/XPN+1/SN+부상/NNG+은/JX
기자들에게	기자/NNG+들/XSN+에게/JKB
“지금은	“/SS+지금/NNG+은/JX
모든	모든/MMN
나라가	나라/NNG+가/JKS
화해를	화해/NNG+를/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
시기”라고	시기/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.320.2.3
북한이 대결과 도발을 포기하고 대화와 화해로 방향을 선회하겠다는 것인가.

북한이	북한/NNP+이/JKS
대결과	대결/NNG+과/JC
도발을	도발/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
대화와	대화/NNG+와/JC
화해로	화해/NNG+로/JKB
방향을	방향/NNG+을/JKO
선회하겠다는	선회/NNG+하/XSV+겠/EP+다는/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000029.320.2.4
남북, 북-미 접촉 자체에 몰입하면 희망적인 전망을 할 수도 있지만 북한의 행태에 조금만 관심을 기울이면 김계관의 말장난을 금방 확인할 수 있다.

남북,	남북/NNP+,/SP
북-미	북/NNP+-/SO+미/NNP
접촉	접촉/NNG
자체에	자체/NNG+에/JKB
몰입하면	몰입/NNG+하/XSV+면/EC
희망적인	희망/NNG+적/XSN+이/VCP+ㄴ/ETM
전망을	전망/NNG+을/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지만	있/VA+지만/EC
북한의	북한/NNP+의/JKG
행태에	행태/NNG+에/JKB
조금만	조금/NNG+만/JX
관심을	관심/NNG+을/JKO
기울이면	기울이/VV+면/EC
김계관의	김계관/NNP+의/JKG
말장난을	말장난/NNG+을/JKO
금방	금방/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.320.3.1
북-미 회담 징검다리 남북 접촉

북-미	북/NNP+-/SO+미/NNP
회담	회담/NNG
징검다리	징검다리/NNG
